fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK SMART RENTA FIJA INFLACION, FI*CAIXABANK SMART MONEY RENTA FIJA INFLACION, FI*87961553*Semester 2 2018*2018-07-01*2018-12-31*5232*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*3 - Medio-bajo*0.05*0.0**1144071.4*4431*0.0*6683112*false*5.8415*0.17*0.0*0.17*0.01*-0.63*3.21*0.11*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0115653000
CAIXABANK SMART RENTA FIJA INFLACION, FI*CAIXABANK SMART MONEY RENTA FIJA INFLACION, FI*87961553*Trimester 3 2018*2018-07-01*2018-09-30*5232*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*3 - Medio-bajo*0.04*0.0**957375.78*3401*0.0*5628248*false*5.8788*0.08*0.0*0.08*0.0*-1.51*2.75*0.12*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0115653000
CAIXABANK SMART RENTA FIJA INFLACION, FI*CAIXABANK SMART MONEY RENTA FIJA INFLACION, FI*87961553*Semester 1 2018*2018-01-01*2018-06-30*5232*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*3 - Medio-bajo*0.55*-0.18**473721.27*1450*0.0*2827680*false*5.9691*0.16*0.0*0.16*0.01*-1.06*4.89*0.35*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0115653000
CAIXABANK SMART RENTA FIJA INFLACION, FI*CAIXABANK SMART MONEY RENTA FIJA INFLACION, FI*87961553*Trimester 1 2018*2018-01-01*2018-03-31*5232*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*3 - Medio-bajo*1.0*-0.18**135326.15*120*0.0*816396*false*6.0328*0.07*0.0*0.07*0.0***0.22*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0115653000
CAIXABANK SMART RENTA FIJA INFLACION, FI*CAIXABANK SMART MONEY RENTA FIJA INFLACION, FI*87961553*Semester 2 2019*2019-07-01*2019-12-31*5232*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.07*0.0**45258978.97*51862*0.0*279952393*false*6.1856*0.17*0.0*0.17*0.01*-1.47*3.35*0.09*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0115653000
CAIXABANK SMART RENTA FIJA INFLACION, FI*CAIXABANK SMART MONEY RENTA FIJA INFLACION, FI*87961553*Trimester 3 2019*2019-07-01*2019-09-30*5232*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.04*0.0**33594977.76*36638*0.0*210896228*false*6.2776*0.08*0.0*0.08*0.0*3.64*4.72*0.1*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0115653000
CAIXABANK SMART RENTA FIJA INFLACION, FI*CAIXABANK SMART MONEY RENTA FIJA INFLACION, FI*87961553*Semester 1 2019*2019-01-01*2019-06-30*5232*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.0*0.0**10165802.13*16883*0.0*61578152*false*6.0574*0.16*0.0*0.16*0.01*2.57*4.28*0.1*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0115653000
CAIXABANK SMART RENTA FIJA INFLACION, FI*CAIXABANK SMART MONEY RENTA FIJA INFLACION, FI*87961553*Trimester 1 2019*2019-01-01*2019-03-31*5232*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*3 - Medio-bajo*0.0*0.0**1237287.92*5053*0.0*7307108*false*5.9057*0.08*0.0*0.08*0.0*1.1*3.06*0.11*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0115653000
CAIXABANK SMART RENTA FIJA INFLACION, FI*CAIXABANK SMART RENTA FIJA INFLACION, FI*87961553*Semester 2 2020*2020-07-01*2020-12-31*5232*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.23*-0.11**28588156.93*90511*0.0*181784443*false*6.3587*0.17*0.0*0.17*0.01*2.93*2.75*0.09*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0115653000
CAIXABANK SMART RENTA FIJA INFLACION, FI*CAIXABANK SMART RENTA FIJA INFLACION, FI*87961553*Trimester 3 2020*2020-07-01*2020-09-30*5232*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.08*-0.16**22071619.09*77897*0.0*136348809*false*6.1776*0.08*0.0*0.08*0.01*1.66*3.46*0.09*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0115653000
CAIXABANK SMART RENTA FIJA INFLACION, FI*CAIXABANK SMART RENTA FIJA INFLACION, FI*87961553*Semester 1 2020*2020-01-01*2020-06-30*5232*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.05*0.0**51375657.59*64518*0.0*312196263*false*6.0767*0.16*0.0*0.16*0.01*3.61*4.92*0.19*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0115653000
