fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 2 2009*2009-07-01*2009-12-31*3492*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Bajo*0.07*0.44**5712.67*1925*0.0*46290730*false*8103.1687***0.5*0.0*-0.07*0.32*0.28*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL DINERO FI*81565822*Trimester 3 2009*2009-07-01*2009-09-30*3492*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Bajo*0.04*0.51**6370.67*2138*0.0*51657207*false*8108.5981***0.25*0.0*0.09*0.35*0.26*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL DINERO FI*81565822*Semester 1 2009*2009-01-01*2009-06-30*3492*atencion.cliente.gescooperativo@cajarural.com*A*Medio / Bajo*0.19*1.06**6659.6*2187*0.0*53953858*false*8101.6688***0.5*0.0*0.22*0.31*0.25*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 2 2010*2010-07-01*2010-12-31*3492*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Bajo*0.0*0.54**3946.05*1321*0.0*31838427*false*8068.4217***0.5*0.0*-0.17*0.41*0.26*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 3 2010*2010-07-01*2010-09-30*3492*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Bajo*0.0*0.45**4352.39*1415*0.0*35176298*false*8082.0603***0.25*0.0*0.44*0.23*0.26*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 1 2010*2010-01-01*2010-06-30*3492*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Bajo*0.15*0.35**4919.5*1576*0.0*39585410*false*8046.6309***0.5*0.0*-0.66*0.72*0.25*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 1 2010*2010-01-01*2010-03-31*3492*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Bajo*0.14*0.33**5407.77*1759*0.0*43804095*false*8100.2108***0.25*0.0*-0.04*0.63*0.25*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 2 2011*2011-07-01*2011-12-31*3492*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Bajo*0.0*0.94**3506.27*1361*0.0*28754368*false*8200.8363*0.5**0.5*0.0*0.49*0.46*0.26*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 3 2011*2011-07-01*2011-09-30*3492*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Bajo*0.0*1.01**3423.01*1251*0.0*27934747*false*8160.8684***0.25*0.0*0.27*0.37*0.26*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Semester 1 2011*2011-01-01*2011-06-30*3492*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Bajo*0.0*0.88**3577.11*1292*0.0*29114208*false*8139.0382***0.5*0.0*0.23*0.22*0.25*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL RENDIMIENTO SOSTENIBLE, FI*RURAL RENDIMIENTO FI*81565822*Trimester 1 2011*2011-01-01*2011-03-31*3492*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Bajo*0.0*0.69**3656.08*1278*0.0*29689487*false*8120.5713***0.25*0.0*0.65*0.4*0.25*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
