fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.M.F*2009 T3*2009-07-01*2009-09-30*ALTO*0.21*0.24**1540365.08*166*0.0*15521130*false*10.0763***0.18*0.0*2.03*1.56*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.M.F*2009 S1*2009-01-01*2009-06-30*ALTO*1.02*0.75**1218649.09*160*0.0*12034886*false*9.8756***0.35*0.0*3.72*3.07*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2010 S2*2010-07-01*2010-12-31*Alto*0.64*0.35**2100540.18*157*0.0*21329557*false*10.1543***0.35*0.0*1.38*5.5*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2010 T3*2010-07-01*2010-09-30*Alto*0.18*0.34**2147720.16*167*0.0*21512734*false*10.0165***0.18*0.0*-0.18*3.93*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2010 S1*2010-01-01*2010-06-30*Alto*0.74*0.24**2131986.23*166*0.0*21393324*false*10.0345***0.35*0.0*-0.72*4.56*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.M.F*2010 T1*2010-01-01*2010-03-31*Alto*0.32*0.23**2168781.85*174*0.0*21919370*false*10.1068***0.17*0.0*-0.23*2.28*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2011 T3*2011-07-01*2011-09-30*Alto*0.12*0.65**427059.64*113*0.0*3925807*false*9.1926***0.18*0.0*-6.6*8.18*0.19*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2011 S1*2011-01-01*2011-06-30*Alto*0.82*0.51**1627125.19*131*0.0*16014668*false*9.8423***0.35*0.0*-0.68*4.27*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2011 T1*2011-01-01*2011-03-31*Alto*0.45*0.4**2030621.43*149*0.0*20122570*false*9.9096***0.17*0.0*-2.41*4.97*0.18*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2012 S2*2012-07-01*2012-12-31*3, en una escala del 1 al 7*0.98*0.06**1549772.76*105*0.0*15031530*false*9.6992*0.3**0.3*0.05*1.27*1.68*0.26*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2012 T3*2012-07-01*2012-09-30*3, en una escala del 1 al 7*0.23*0.08**1293767.94*103*0.0*12391179*false*9.5776*0.17**0.17*0.0*1.79*2.8*0.27*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2012 S1*2012-01-01*2012-06-30*3, en una escala del 1 al 7*1.13*0.11**170753.78*105*0.0*1606647*false*9.4091*0.35**0.35*0.0***0.32*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.GLOBAL III F.I.*2012 T1*2012-01-01*2012-03-31*Alto*0.56*0.06**330444.82*102*0.0*3126238*false*9.4607*0.17**0.17*0.0*2.16*3.49*0.28*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2013 S2*2013-07-01*2013-12-31*3, en una escala del 1 al 7*1.83*0.05**1749713.62*107*0.0*17755257*false*10.1475*0.3**0.3*0.05*1.79*2.86*0.25*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2013 T3*2013-07-01*2013-09-30*3, en una escala del 1 al 7*1.06*0.03**1725397.4*97*0.0*17201067*false*9.9693*0.15**0.15*0.03*2.76*3.6*0.24*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2013 S1*2013-01-01*2013-06-30*3, en una escala del 1 al 7*1.28*0.03**1740101.48*102*0.0*16881922*false*9.7017*0.3**0.3*0.05*-1.17*5.92*0.24*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2013 T1*2013-01-01*2013-03-31*3, en una escala del 1 al 7*0.33*0.02**1707658.31*102*0.0*16764069*false*9.817*0.15**0.15*0.02*1.21*2.54*0.25*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2014 S2*2014-07-01*2014-12-31*3, en una escala del 1 al 7*1.08*-0.01**2527808.33*117*0.0*27218666*false*10.7677*0.3**0.3*0.05*0.07*6.5*0.25*False
BNP PARIBAS PORTFOLIO MAX 45, FI*BNP P.MIXTO MODERADO F.I.*2014 T3*2014-07-01*2014-09-30*3, en una escala del 1 al 7*0.66*-0.01**2169695.49*106*0.0*23347362*false*10.7607*0.15**0.15*0.03*1.98*3.72*0.25*False
