fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 2 2009*2009-07-01*2009-12-31*2469*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.05*0.84**3136671.67*1292*0.0*16869770*false*5.3785***1.13*0.02*6.23*8.54*0.75*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Trimester 3 2009*2009-07-01*2009-09-30*2469*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.0*1.09**2692895.7*1150*0.0*13651631*false*5.0632***0.57*0.01*12.44*12.81*0.67*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 1 2009*2009-01-01*2009-06-30*2469*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.0*0.58**2522723.15*1061*0.0*11359514*false*4.503***1.12*0.02*15.76*33.49*0.29*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 2 2010*2010-07-01*2010-12-31*2469*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.44*0.75**3526180.83*1455*0.0*20784925*false*5.8945***1.13*0.03*9.36*7.54*0.59*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Trimester 3 2010*2010-07-01*2010-09-30*2469*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.17*0.59**3599652.63*1459*0.0*19406910*false*5.3902***0.57*0.01*8.75*12.92*0.58*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 1 2010*2010-01-01*2010-06-30*2469*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.06*0.5**3703163.8*1498*0.0*18355048*false*4.9566***1.12*0.02*-11.6*17.95*0.61*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Trimester 1 2010*2010-01-01*2010-03-31*2469*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.0*0.48**3513466.9*1424*0.0*19782729*false*5.6067***0.55*0.01*4.24*9.92*0.57*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Trimester 3 2011*2011-07-01*2011-09-30*2469*FondosdeInversion@cajalaboral.es*A*Alto*0.0*1.34**3726217.8*1522*0.0*19235277*false*5.1793***0.57*0.01*-15.43*24.52*0.59*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 1 2011*2011-01-01*2011-06-30*2469*FondosdeInversion@cajalaboral.es*A*riesgo alto*0.0*1.04**3810022.63*1575*0.0*23334468*false*6.1245***1.11*0.02*-1.1*9.69*0.58*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Trimester 1 2011*2011-01-01*2011-03-31*2469*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.0*0.99**3873921.91*1540*0.0*23980455*false*6.1929***0.55*0.01*5.06*9.79*0.57*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
LABORAL KUTXA BOLSA USA, FI*Caja Laboral Bolsa USA, FI*20729570*Semester 2 2010*2010-07-01*2010-12-31*2469*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.44*0.75**3526180.83*1455*0.0*20784925*false*5.8945***1.13*0.03*9.36*7.54*0.59*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115304034
