fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 2 2009*2009-07-01*2009-12-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.06*0.0****0.0**false****0.71*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Trimester 3 2009*2009-07-01*2009-09-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.05*0.76****0.0**false****0.35*0.05*0.72*0.3*0.41*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 1 2009*2009-01-01*2009-06-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.04*2.06****0.0**false****0.69*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 2 2010*2010-07-01*2010-12-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.63*0.0****0.0**false****0.71*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Trimester 3 2010*2010-07-01*2010-09-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.07*0.43****0.0**false****0.35*0.05*0.97*0.69*0.41*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 1 2010*2010-01-01*2010-06-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.43*0.37****0.0**false****0.69*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Trimester 1 2010*2010-01-01*2010-03-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.21*0.39****0.0**false****0.35*0.05*0.09*0.28*0.4*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Trimester 3 2011*2011-07-01*2011-09-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.32*1.29**2058370.1*1066*0.0*25695000*false*12.4834***0.35*0.05*-0.03*0.95*0.41*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 1 2011*2011-01-01*2011-06-30*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.59*0.87****0.0**false****0.7*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Trimester 1 2011*2011-01-01*2011-03-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.11*0.78****0.0**false****0.35*0.05*1.49*0.77*0.4*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
FONDMAPFRE RENTA CORTO, FI*FONDMAPFRE ESTABILIDAD F.I.*80480593*Semester 2 2010*2010-07-01*2010-12-31*380*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*BAJO*0.63*0.0****0.0**false****0.71*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0165197031
