fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Semester 2 2015*2015-07-01*2015-12-31*4932*N/D*ND*4 en una escala de 1 a 7*0.0*0.0**56840.83*20*0.0*567049*false*9.9761*0.08*0.0*0.08*0.01***0.23*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Semester 2 2016*2016-07-01*2016-12-31*4932*N/D*ND*4 en una escala de 1 a 7*0.15*0.0**1819795.31*1027*0.0*17277813*false*9.4944*0.76*0.0*0.76*0.05*-1.83*2.88*0.41*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Trimester 3 2016*2016-07-01*2016-09-30*4932*N/D*ND*4 en una escala de 1 a 7*0.19*0.0**2104022.07*1114*0.0*20348826*false*9.6714*0.38*0.0*0.38*0.03*-1.24*2.32*0.41*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Semester 1 2016*2016-01-01*2016-06-30*4932*N/D*ND*4 en una escala de 1 a 7*0.0*0.0**2269388.22*1089*0.0*22223814*false*9.7929*0.74*0.0*0.74*0.05*-0.24*3.22*0.41*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Trimester 1 2016*2016-01-01*2016-03-31*4932*N/D*ND*4 en una escala de 1 a 7*0.15*-0.01**1579301.68*756*0.0*15502590*false*9.8161*0.36*0.0*0.36*0.02*-1.6*2.51*0.42*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Trimester 3 2017*2017-07-01*2017-09-30*4932*N/D*ND*4 en una escala de 1 a 7*1.07*0.0**1004472.05*619*0.0*9361879*false*9.3202*0.33*0.0*0.33*0.03***0.38*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Semester 1 2017*2017-01-01*2017-06-30*4932*N/D*ND*4 en una escala de 1 a 7*0.0*0.0**1017176.8*650*0.0*9441081*false*9.2817*0.75*0.0*0.75*0.05*-1.34*1.89*0.43*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Trimester 1 2017*2017-01-01*2017-03-31*4932*N/D*ND*4 en una escala de 1 a 7*0.0*0.0**1360051.62*790*0.0*12795625*false*9.4082*0.37*0.0*0.37*0.02*-0.91*1.6*0.41*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Semester 2 2016*2016-07-01*2016-12-31*4932*N/D*ND*4 en una escala de 1 a 7*0.15*0.0**1819795.31*1027*0.0*17277813*false*9.4944*0.76*0.0*0.76*0.05*-1.83*2.88*0.41*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Semester 2 2018*2018-07-01*2018-12-31*4932*N/D*BBB (S&P)*4 en una escala de 1 a 7*0.55*-0.36**1269344.15*660*0.0*10934109*false*8.614*0.66*0.0*0.66*0.05*-7.02*5.87*0.59*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Trimester 3 2018*2018-07-01*2018-09-30*4932*N/D*BBB (S&P)*4 en una escala de 1 a 7*0.27*0.0**1354442.62*684*0.0*12547900*false*9.2643*0.33*0.0*0.33*0.03*0.46*2.41*0.55*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Semester 1 2018*2018-01-01*2018-06-30*4932*N/D*BBB (S&P)*4 en una escala de 1 a 7*0.8*0.03**1411390.41*698*0.0*13015173*false*9.2215*0.64*0.0*0.64*0.05*0.07*3.12*0.59*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Trimester 1 2018*2018-01-01*2018-03-31*4932*N/D*BBB (S&P)*4 en una escala de 1 a 7*0.44*0.0**1474985.04*734*0.0*13591575*false*9.2147*0.32*0.0*0.32*0.02*-1.65*3.8*0.59*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Trimester 3 2019*2019-07-01*2019-09-30*4932*N/D*BBB+ (S&P)*4 en una escala de 1 a 7*0.08*0.03**1523562.28*620*0.0*13821328*false*9.0717*0.33*0.0*0.33*0.03*0.78*2.19*0.54*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Semester 1 2019*2019-01-01*2019-06-30*4932*N/D*BBB+ (S&P)*4 en una escala de 1 a 7*0.32*-0.17**1551845.94*619*0.0*13968552*false*9.0012*0.64*0.0*0.64*0.05*0.61*1.96*0.56*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Trimester 1 2019*2019-01-01*2019-03-31*4932*N/D*BBB (S&P)*4 en una escala de 1 a 7*0.29*-0.22**1371349.47*651*0.0*12268461*false*8.9463*0.32*0.0*0.32*0.02*3.86*3.0*0.57*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
TREA CAJAMAR FLEXIBLE, FI*TREA CAJAMAR FLEXIBLE FI*66641267*Semester 2 2018*2018-07-01*2018-12-31*4932*N/D*BBB (S&P)*4 en una escala de 1 a 7*0.55*-0.36**1269344.15*660*0.0*10934109*false*8.614*0.66*0.0*0.66*0.05*-7.02*5.87*0.59*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180678007
