fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Semester 2 2009*2009-07-01*2009-12-31*3721*info@profitgestion.es*n.d.*Bajo*0.4*0.58**44697.84*312*0.0*66526011*false *1488.3496***0.15*0.04*0.32*0.15*0.09*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Trimester 3 2009*2009-07-01*2009-09-30*3721*info@profitgestion.es*n.d.*Bajo*0.26*0.35**44030.33*306*0.0*65326228*false *1483.6642***0.07*0.02*0.48*0.14*0.1*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Semester 1 2009*2009-01-01*2009-06-30*3721*info@profitgestion.es*n.d.*Bajo*0.34*1.11**42810.87*301*0.0*63215839*false*1476.6305***0.16*0.03*1.59*0.23*0.1*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Semester 2 2010*2010-07-01*2010-12-31*3721*info@profitgestion.es*n.d.*Bajo*0.06*0.48**41635.92*305*0.0*62625043*false *1504.1111***0.15*0.04*0.39*0.22*0.09*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Trimester 3 2010*2010-07-01*2010-09-30*3721*info@profitgestion.es*n.d.*Bajo*0.0*0.36**42680.65*309*0.0*63947855*false *1498.2868***0.08*0.02*0.67*0.15*0.1*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Semester 1 2010*2010-01-01*2010-06-30*3721*info@profitgestion.es*n.d.*Bajo*0.4*0.29**43193.06*311*0.0*64286688*false *1488.3569***0.12*0.03*-0.34*0.55*0.09*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Trimester 1 2010*2010-01-01*2010-03-31*3721*info@profitgestion.es*n.d.*Bajo*0.14*0.23**45728.24*320*0.0*68293141*false *1493.4565***0.07*0.02*0.34*0.16*0.09*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Semester 2 2011*2011-07-01*2011-12-31*3721*info@profitgestion.es*n.d.*Bajo*0.21*1.19**41086.6*313*0.0*63578770*false *1547.4334*0.13*0.03*0.16*0.04*0.67*0.58*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Trimester 3 2011*2011-07-01*2011-09-30*3721*info@profitgestion.es*n.d.*Bajo*0.12*1.01**41374.45*308*0.0*63598507*false *1537.1444***0.08*0.02*0.6*0.33*0.1*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Semester 1 2011*2011-01-01*2011-06-30*3721*info@profitgestion.es*n.d.*Bajo*0.1*0.75**43227.12*312*0.0*66049298*false *1527.9596***0.16*0.03*0.67*0.15*0.1*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Trimester 1 2011*2011-01-01*2011-03-31*3721*info@profitgestion.es*n.d.*Bajo*0.0*0.55**44514.77*305*0.0*67561645*false *1517.7355***0.08*0.02*0.91*0.15*0.1*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Trimester 3 2012*2012-07-01*2012-09-30*3721*info@profitgestion.es*n.d.*Bajo*0.02*1.02**37796.49*321*0.0*59915122*false *1585.2035*0.06*0.03*0.09*0.02*1.24*0.44*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Semester 1 2012*2012-01-01*2012-06-30*3721*info@profitgestion.es*n.d.*Bajo*0.22*0.34**40121.77*321*0.0*62823050*false *1565.8096*0.12*0.03*0.15*0.03*-0.03*0.42*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Trimester 1 2012*2012-01-01*2012-03-31*3721*info@profitgestion.es*n.d.*Bajo*0.14*0.23**40583.23*314*0.0*63562067*false *1566.2149*0.06*0.03*0.09*0.02*1.21*0.23*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, F.I.*80031107*Semester 2 2011*2011-07-01*2011-12-31*3721*info@profitgestion.es*n.d.*Bajo*0.21*1.19**41086.6*313*0.0*63578770*false *1547.4334*0.13*0.03*0.16*0.04*0.67*0.58*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, FIAMM*80031107*Semester 1 2008*2008-01-01*2012-12-31*3721*info@profitgestion.es*n.d.*BAJO*****************GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, FIAMM*80031107*Trimester 1 2013*2013-01-01*2013-03-31*3721*info@profitgestion.es*n.d.*BAJO**************0.7*0.15*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, FIAMM*80031107*Semester 1 2010*2010-01-01*2012-12-31*3721*info@profitgestion.es*n.d.*BAJO*****************GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, FIAMM*80031107*Semester 1 2010*2010-01-01*2012-12-31*3721*info@profitgestion.es*n.d.*BAJO*****************GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, FI*80031107*Semester 2 2014*2014-07-01*2014-12-31*3721*info@profitgestion.es*n.d.*BAJO*0.0*0.04**40137.98*305*0.0*66007234*false*1644.5082*0.13*0.01*0.14*0.04*0.09*0.06*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, FI*80031107*Trimester 3 2014*2014-07-01*2014-09-30*3721*info@profitgestion.es*n.d.*BAJO*0.0*0.05**40504.34*313*0.0*66553138*false*1643.1111*0.06*0.0*0.06*0.02*0.14*0.05*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
PROFIT CORTO PLAZO, FI*PROFIT DINERO, FIAMM*80031107*Semester 1 2014*2014-01-01*2014-06-30*3721*info@profitgestion.es*n.d.*BAJO*0.0*0.11**42101.23*317*0.0*69078368*false*1640.7686*0.12*0.01*0.13*0.03*0.21*0.07*0.08*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171629035
