fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IBERCAJA BP HIGH YIELD 2023, FI*IBERCAJA BP HIGH YIELD 2023 CLASE A*99553281*Semester 2 2019*2019-07-01*2019-12-31*5406*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.18*-0.33**4113479.73*607*0.0*24712569*false*6.0077*0.3*0.0*0.3*0.02*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA BP HIGH YIELD 2023, FI*IBERCAJA BP HIGH YIELD 2023 CLASE A*99553281*Trimester 3 2019*2019-07-01*2019-09-30*5406*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.06*-0.32**1438086.76*228*0.0*8609306*false*5.9866*0.14*0.0*0.14*0.01*[]*[]*0.19*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA BP HIGH YIELD 2023, FI*IBERCAJA BP HIGH YIELD 2023 CLASE B*99553281*Trimester 3 2019*2019-07-01*2019-09-30*5406*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.06*-0.32**3586786.95*4508*0.0*21483031*false*5.9895*0.07*0.0*0.07*0.01*[]*[]*0.12*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA BP HIGH YIELD 2023, FI*IBERCAJA BP HIGH YIELD 2023 CLASE A*99553281*Semester 2 2020*2020-07-01*2020-12-31*5406*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.59*-0.12**3889046.98*569*0.0*23334412*false*6.0*0.3*0.0*0.3*0.02*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA BP HIGH YIELD 2023, FI*IBERCAJA BP HIGH YIELD 2023 CLASE B*99553281*Semester 2 2020*2020-07-01*2020-12-31*5406*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.59*-0.12**6106501.3*3759*0.0*36797132*false*6.0259*0.15*0.0*0.15*0.02*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA BP HIGH YIELD 2023, FI*IBERCAJA BP HIGH YIELD 2023 CLASE A*99553281*Trimester 3 2020*2020-07-01*2020-09-30*5406*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.29*-0.12**3901662.77*571*0.0*22504639*false*5.768*0.15*0.0*0.15*0.01*1.9*1.47*0.16*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA BP HIGH YIELD 2023, FI*IBERCAJA BP HIGH YIELD 2023 CLASE B*99553281*Trimester 3 2020*2020-07-01*2020-09-30*5406*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.29*-0.12**6404728.26*3914*0.0*37072922*false*5.7884*0.07*0.0*0.07*0.01*1.98*1.47*0.09*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA BP HIGH YIELD 2023, FI*IBERCAJA BP HIGH YIELD 2023 CLASE A*99553281*Semester 1 2020*2020-01-01*2020-06-30*5406*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.08*-0.19**3984016.77*583*0.0*22551279*false*5.6604*0.3*0.0*0.3*0.02*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA BP HIGH YIELD 2023, FI*IBERCAJA BP HIGH YIELD 2023 CLASE B*99553281*Semester 1 2020*2020-01-01*2020-06-30*5406*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.08*-0.19**6680214.13*4046*0.0*37917537*false*5.6761*0.15*0.0*0.15*0.02*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA BP HIGH YIELD 2023, FI*IBERCAJA BP HIGH YIELD 2023 CLASE A*99553281*Trimester 1 2020*2020-01-01*2020-03-31*5406*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.08*-0.1**3985253.49*584*0.0*21099382*false*5.2944*0.15*0.0*0.15*0.01*-11.87*10.69*0.16*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA BP HIGH YIELD 2023, FI*IBERCAJA BP HIGH YIELD 2023 CLASE B*99553281*Trimester 1 2020*2020-01-01*2020-03-31*5406*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*4 (en una escala del 1 al 7)*0.08*-0.1**6763929.68*4130*0.0*35882456*false*5.305*0.07*0.0*0.07*0.01*-11.81*10.69*0.09*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
