fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER PB SYSTEMATIC BALANCED, FI*SANTANDER PB CARTERA FLEXIBLE 30, F.I.*87479036*Semester 2 2016*2016-07-01*2016-12-31*4959*contactesantanderpb@gruposantander.com*A3*3 en una escala del 1 al 7*0.0*-0.16**278956.53*203*0.0*27624759*false*99.0289*0.67*0.05*0.72*0.05*0.29*1.26*0.44*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0174978009
SANTANDER PB SYSTEMATIC BALANCED, FI*SANTANDER PB CARTERA FLEXIBLE 30, F.I.*87479036*Trimester 3 2016*2016-07-01*2016-09-30*4959*contactesantanderpb@gruposantander.com*A3*3 en una escala del 1 al 7*0.0*-0.04**126432.48*93*0.0*12484622*false*98.7454*0.33*0.0*0.33*0.02*0.27*1.22*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0174978009
SANTANDER PB SYSTEMATIC BALANCED, FI*SANTANDER PB CARTERA FLEXIBLE 30, F.I.*87479036*Semester 1 2016*2016-01-01*2016-06-30*4959*contactesantanderpb@gruposantander.com*A3*3 en una escala del 1 al 7*0.0*0.0**46584.53*34*0.0*4587686*false*98.4809*0.41*0.0*0.41*0.03*-1.51*2.56*0.43*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0174978009
SANTANDER PB SYSTEMATIC BALANCED, FI*SANTANDER PB CARTERA SELECCIÓN CONSERVADOR, F.I.*87479036*Trimester 1 2016*2016-01-01*2016-03-31*4959*contactesantanderpb@gruposantander.com*A 3*3 en una escala del 1 al 7*0.0*0.0**3000.0*1*0.0*299964*false*99.9881*0.01*0.0*0.01*0.0****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0174978009
SANTANDER PB SYSTEMATIC BALANCED, FI*Santander Pb Cartera Flexible 30, F.I.*87479036*Semester 2 2017*2017-07-01*2017-12-31*4959*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.0*-0.36**2376633.14*1460*0.0*236497229*false*99.5094*0.68*0.0*0.68*0.05*-0.05*0.98*0.43*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0174978009
SANTANDER PB SYSTEMATIC BALANCED, FI*Santander Pb Cartera Flexible 30, F.I.*87479036*Trimester 3 2017*2017-07-01*2017-09-30*4959*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.14*-0.38**2171330.92*1343*0.0*216185524*false*99.5636*0.34*0.01*0.35*0.03*0.1*1.52*0.41*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0174978009
SANTANDER PB SYSTEMATIC BALANCED, FI*SANTANDER PB CARTERA FLEXIBLE 30, F.I.*87479036*Semester 1 2017*2017-01-01*2017-06-30*4959*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.0*-0.35**1716265.31*1136*0.0*170710446*false*99.4662*0.67*0.0*0.67*0.05*-0.16*1.25*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0174978009
SANTANDER PB SYSTEMATIC BALANCED, FI*SANTANDER PB CARTERA FLEXIBLE 30, F.I.*87479036*Trimester 1 2017*2017-01-01*2017-03-31*4959*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.0*-0.35**865688.25*574*0.0*86246620*false*99.6278*0.33*0.07*0.4*0.02*0.6*1.04*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0174978009
SANTANDER PB SYSTEMATIC BALANCED, FI*Santander Pb Cartera Flexible 30, F.I.*87479036*Trimester 3 2018*2018-07-01*2018-09-30*4959*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7*0.0*-0.3**2189695.05*1324*0.0*213991429*false*97.7266*0.34*0.0*0.34*0.03*-0.02*1.48*0.44*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0174978009
SANTANDER PB SYSTEMATIC BALANCED, FI*Santander Pb Cartera Flexible 30, F.I.*87479036*Semester 1 2018*2018-01-01*2018-06-30*4959*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7*0.0*-0.29**2454274.45*1469*0.0*239890396*false*97.7439*0.67*0.0*0.67*0.05*-0.41*1.81*0.42*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0174978009
SANTANDER PB SYSTEMATIC BALANCED, FI*Santander Pb Cartera Flexible 30, F.I.*87479036*Trimester 1 2018*2018-01-01*2018-03-31*4959*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7*0.0*-0.28**2541330.78*1533*0.0*249432317*false*98.1503*0.33*0.0*0.33*0.02*-1.37*2.88*0.42*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0174978009
