fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
COSMOS EQUITY TRENDS, FI*COSMOS EQUITY TRENDS FI A*88291851*Trimester 3 2019*2019-07-01*2019-09-30*5343*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.0*-0.04**885792.01*364*0.0*9213407*false*10.4013*0.34*[]*0.57*0.03*2.77*9.84*0.54*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
COSMOS EQUITY TRENDS, FI*COSMOS EQUITY TRENDS FI A*88291851*Semester 1 2019*2019-01-01*2019-06-30*5343*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.0*-0.07**662300.25*254*0.0*6702858*false*10.1206*0.44*[]*0.55*0.03*[]*[]*[]*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
COSMOS EQUITY TRENDS, FI*GES COSMOS EQUITY TRENDS FI L*88291851*Semester 1 2019*2019-01-01*2019-06-30*5343*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.0*-0.07**142041.81*37*0.0*1441071*false*10.1454*0.24*[]*0.36*0.03*[]*[]*[]*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
COSMOS EQUITY TRENDS, FI*COSMOS EQUITY TRENDS FI A*88291851*Trimester 1 2019*2019-01-01*2019-03-31*5343*informacion@atlcapital.es*Baa2((Moodys))*Alto*0.0*-0.02**245822.85*72*0.0*2455516*false*9.989*0.0*[]*0.0*0.0*[]*[]*0.06*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
COSMOS EQUITY TRENDS, FI*GES COSMOS EQUITY TRENDS FI L*88291851*Trimester 1 2019*2019-01-01*2019-03-31*5343*informacion@atlcapital.es*Baa2((Moodys))*Alto*0.0*-0.02**60655.97*26*0.0*606471*false*9.9985*0.0*[]*0.0*0.0*[]*[]*0.06*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
COSMOS EQUITY TRENDS, FI*COSMOS EQUITY TRENDS FI A*88291851*Semester 2 2020*2020-07-01*2020-12-31*5343*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.21*-0.02**2943163.83*848*0.0*34570003*false*11.7459*0.68*[]*1.68*0.05*[]*[]*[]*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
COSMOS EQUITY TRENDS, FI*GES COSMOS EQUITY TRENDS FI L*88291851*Semester 2 2020*2020-07-01*2020-12-31*5343*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.21*-0.02**249620.59*62*0.0*2973488*false*11.912*0.29*[]*1.16*0.05*[]*[]*[]*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
COSMOS EQUITY TRENDS, FI*COSMOS EQUITY TRENDS FI A*88291851*Trimester 3 2020*2020-07-01*2020-09-30*5343*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.28*-0.02**2695947.02*791*0.0*29599226*false*10.9792*0.34*[]*0.71*0.03*3.43*9.5*0.52*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
COSMOS EQUITY TRENDS, FI*GES COSMOS EQUITY TRENDS FI L*88291851*Trimester 3 2020*2020-07-01*2020-09-30*5343*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.28*-0.02**229102.15*56*0.0*2545798*false*11.1121*0.15*[]*0.38*0.03*3.75*9.92*0.33*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
COSMOS EQUITY TRENDS, FI*COSMOS EQUITY TRENDS FI A*88291851*Semester 1 2020*2020-01-01*2020-06-30*5343*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.0*-0.04**2471593.12*744*0.0*26236439*false*10.6152*0.67*[]*0.67*0.05*[]*[]*[]*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
COSMOS EQUITY TRENDS, FI*GES COSMOS EQUITY TRENDS FI L*88291851*Semester 1 2020*2020-01-01*2020-06-30*5343*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.0*-0.04**190271.02*53*0.0*2037892*false*10.7105*0.37*[]*0.37*0.05*[]*[]*[]*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
COSMOS EQUITY TRENDS, FI*COSMOS EQUITY TRENDS FI A*88291851*Trimester 1 2020*2020-01-01*2020-03-31*5343*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.0*-0.04**1699120.73*618*0.0*15842377*false*9.3239*0.33*[]*0.33*0.02*-13.71*30.99*0.52*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
COSMOS EQUITY TRENDS, FI*GES COSMOS EQUITY TRENDS FI L*88291851*Trimester 1 2020*2020-01-01*2020-03-31*5343*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.0*-0.04**175555.98*53*0.0*1649068*false*9.3934*0.19*[]*0.19*0.02*-13.54*30.99*0.37*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
