fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2010*2010-07-01*2010-12-31*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.0*0.43**41025.18*3*0.0*410774*false*10.0127***0.24*0.02***0.96
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2011*2011-07-01*2011-12-31*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.58*0.19**108452.66*35*0.0*1091964*false*10.0686*0.5*0.0*0.5*0.05*6.77*19.73*0.4
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 3 2011*2011-07-01*2011-09-30*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.15*0.11**101939.07*30*0.0*961294*false*9.4301***0.25*0.03*-9.38*20.15*0.38
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 1 2011*2011-01-01*2011-06-30*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.47*0.66**97999.09*27*0.0*1019795*false*10.4062***0.5*0.05*1.26*5.73*0.34
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 1 2011*2011-01-01*2011-03-31*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.03*0.52**91625.44*23*0.0*941564*false*10.2762***0.25*0.02*2.63*4.9*0.4
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 3 2012*2012-07-01*2012-09-30*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.22*0.0**172475.01*51*0.0*1747348*false*10.131*0.25*0.0*0.25*0.03*5.36*10.98*0.37
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 1 2012*2012-01-01*2012-06-30*4269*atencionalcliente@gesiuris.com*ND*Muy alto*1.03*0.09**168784.98*44*0.0*1623009*false*9.6158*0.5*0.0*0.5*0.05*-7.16*17.58*0.36
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 1 2012*2012-01-01*2012-03-31*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.11*0.17**172003.2*43*0.0*1781526*false*10.3575*0.25*0.0*0.25*0.02*2.87*7.29*0.36
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2011*2011-07-01*2011-12-31*4269*atencionalcliente@gesiuris.com*ND*Muy alto*0.58*0.19**108452.66*35*0.0*1091964*false*10.0686*0.5*0.0*0.5*0.05*6.77*19.73*0.4
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2013*2013-07-01*2013-12-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.38*0.0**289153.0*100*0.0*3395831*false*11.7441*0.5*0.0*0.5*0.05***0.32
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 3 2013*2013-07-01*2013-09-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.26*0.0**303654.3*100*0.0*3392713*false*11.1729*0.25*0.0*0.25*0.03*4.57*6.06*0.34
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 1 2013*2013-01-01*2013-06-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.47*0.0**299862.69*98*0.0*3203913*false*10.6846*0.5*0.0*0.5*0.05*2.41*9.34*0.35
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 1 2013*2013-01-01*2013-03-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.07*0.0**309678.03*101*0.0*3231066*false*10.4336*0.25*0.0*0.25*0.02*1.36*6.18*0.32
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2014*2014-07-01*2014-12-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.07*0.0**400767.01*119*0.0*4973463*false*12.4099*0.5*0.0*0.5*0.05*-0.3*11.3*0.3
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 3 2014*2014-07-01*2014-09-30*4269*atencionalcliente@gesiuris.com*ND*7 en una escala del 1al 7,*0.09*0.0**344802.66*114*0.0*4292015*false*12.4477*0.25*0.0*0.25*0.03*-0.69*6.86*0.3
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 1 2014*2014-01-01*2014-06-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.35*0.0**331911.84*110*0.0*4160141*false*12.5339*0.5*0.0*0.5*0.05*3.71*5.68*0.3
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 1 2014*2014-01-01*2014-03-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.3*0.0**293220.14*104*0.0*3543777*false*12.0857*0.25*0.0*0.25*0.02*2.91*9.21*0.3
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Semester 2 2015*2015-07-01*2015-12-31*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.07*-0.1**488760.01*145*0.0*6453675*false*13.2042*0.5*0.0*0.5*0.05*5.57*12.4*0.32
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*-6543393*Trimester 3 2015*2015-07-01*2015-09-30*4269*atencionalcliente@gesiuris.com*ND*5 en una escala del 1al 7,*0.02*-0.09**461968.09*135*0.0*5778140*false*12.507*0.25*0.0*0.25*0.03*-5.19*15.88*0.3
