fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Semester 2 2009*2009-07-01*2009-12-31*1920*informesfondos@gruposantander.com*Aa2*Alto*0.0*0.32**618867.87*3080*0.0*13798952*false*22.2971***1.12*0.05*-1.94*12.05*0.74*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 3 2009*2009-07-01*2009-09-30*1920*comsanassetm@gruposantander.com*Aa2*Alto*0.0*0.42**786483.93*3195*0.0*17884000*false*22.7392***0.56*0.03*4.25*15.6*0.7*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER JAPÓN, F.I.*82424706*Semester 1 2009*2009-01-01*2009-06-30*1920*comsanassetm@gruposantander.com*Aa1*Alto*0.44*1.23**616655.88*2324*0.0*13450000*false*21.8113***1.12*0.07*15.06*24.8*0.62*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Semester 2 2010*2010-07-01*2010-12-31*1920*informesfondos@gruposantander.com*Aa2*Alto*0.0*0.43**632297.52*2962*0.0*16845063*false*26.641***1.11*0.05*13.22*10.49*0.61*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 3 2010*2010-07-01*2010-09-30*1920*informesfondos@gruposantander.com*Aa2*Alto*0.0*0.32**724345.96*3130*0.0*17044297*false*23.5306***0.56*0.03*-6.01*11.37*0.61*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Semester 1 2010*2010-01-01*2010-06-30*1920*informesfondos@gruposantander.com*Aa2*Alto*0.0*0.27**817450.46*3250*0.0*20466002*false*25.0364***1.09*0.05*-1.7*13.89*0.61*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 1 2010*2010-01-01*2010-03-31*1920*informesfondos@gruposantander.com*Aa2*Alto*0.0*0.21**756508.55*3160*0.0*19266876*false*25.4682***0.54*0.02*14.22*10.08*0.61*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 3 2011*2011-07-01*2011-09-30*1920*informesfondos@gruposantander.com*Aa2*Alto*0.0*0.7**509119.69*2620*0.0*12148529*false*23.8618***0.55*0.03*0.73*15.16*0.62*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Semester 1 2011*2011-01-01*2011-06-30*1920*informesfondos@gruposantander.com*Aa2*Alto*0.0*0.63**524011.22*2675*0.0*12413143*false*23.6887***1.09*0.05*-0.68*12.11*0.61*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 1 2011*2011-01-01*2011-03-31*1920*informesfondos@gruposantander.com*Aa2*Alto*0.0*0.52**549112.1*2745*0.0*13097299*false*23.8518***0.54*0.02*-10.47*24.78*0.6*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Semester 2 2010*2010-07-01*2010-12-31*1920*informesfondos@gruposantander.com*Aa2*Alto*0.0*0.43**632297.52*2962*0.0*16845063*false*26.641***1.11*0.05*13.22*10.49*0.61*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 3 2012*2012-07-01*2012-09-30*1920*informesfondos@gruposantander.com*Baa2*Alto*1.0*0.2**459068.81*2356*0.0*10805726*false*23.5384*0.55**0.55*0.03*-4.35*11.8*0.78*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Semester 1 2012*2012-01-01*2012-06-30*1920*informesfondos@gruposantander.com*Baa2*Alto*1.11*0.22**463288.07*2419*0.0*11400707*false*24.6082*1.09**1.09*0.05*-3.65*12.21*0.72*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 1 2012*2012-01-01*2012-03-31*1920*informesfondos@gruposantander.com*Aa3*Alto*0.19*0.22**474259.58*2468*0.0*12112940*false*25.5407*0.55**0.55*0.02*7.31*9.25*0.69*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIï¿½N RV JAPï¿½N, F.I.*82424706*Semester 2 2011*2011-07-01*2011-12-31*1920*informesfondos@gruposantander.com*Aa3*Alto*0.23*0.96**478610.12*2522*0.0*11390952*false*23.8001*1.11**1.11*0.05*-0.26*12.31*1.74*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIï¿½N RV JAPï¿½N, F.I.*82424706*Semester 2 2013*2013-07-01*2013-12-31*1920*informesfondos@gruposantander.com*Baa2*Alto*0.27*0.05**487427.35*2309*0.0*13839236*false*28.3924*1.11**1.11*0.05*-0.02*10.23*0.74*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 3 2013*2013-07-01*2013-09-30*1920*informesfondos@gruposantander.com*Baa2*Alto*0.19*0.03**502069.72*2348*0.0*14258150*false*28.3987*0.55**0.55*0.03*2.15*16.72*0.75*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Semester 1 2013*2013-01-01*2013-06-30*1920*informesfondos@gruposantander.com*Baa2*Alto*0.2*0.04**496975.12*2356*0.0*13815843*false*27.7999*1.09**1.09*0.05*0.67*26.0*0.74*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 1 2013*2013-01-01*2013-03-31*1920*informesfondos@gruposantander.com*Baa2*Alto*0.1*0.04**425657.69*2259*0.0*11755018*false*27.6161*0.54**0.54*0.02*13.91*15.81*0.74*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIï¿½N RV JAPï¿½N, F.I.*82424706*Semester 2 2014*2014-07-01*2014-12-31*1920*comsanassetm@gruposantander.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**383152.78*2020*0.0*11459022*false*29.9072*1.11**1.11*0.05*0.3*17.84*0.71*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 3 2014*2014-07-01*2014-09-30*1920*comsanassetm@gruposantander.com*Baa1*6 en una escala del 1 al 7*0.0*0.01**386546.97*2068*0.0*11526293*false*29.8186*0.55**0.55*0.03*5.19*9.91*0.74*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Semester 1 2014*2014-01-01*2014-06-30*1920*informesfondos@gruposantander.com*Baa1*6 en una escala del 1 al 7*0.12*0.13**383222.01*2118*0.0*10863210*false*28.347*1.09**1.09*0.05*6.77*12.6*0.74*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 1 2014*2014-01-01*2014-03-31*1920*informesfondos@gruposantander.com*Baa1*6 en una escala del 1 al 7*0.0*0.12**431510.45*2212*0.0*11456427*false*26.5496*0.54**0.54*0.02*-6.49*18.02*0.73*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIï¿½N RV JAPï¿½N, F.I.*82424706*Semester 2 2015*2015-07-01*2015-12-31*1920*comsanassetm@gruposantander.com*A 3*6 en una escala del 1 al 7*0.0*-0.04**607367.03*2355*0.0*21704419*false*35.7353*1.11**1.11*0.05*10.99*16.7*0.71*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Trimester 3 2015*2015-07-01*2015-09-30*1920*comsanassetm@gruposantander.com*A3*6 en una escala del 1 al 7*0.0*-0.06**586742.87*2381*0.0*18890638*false*32.1958*0.56**0.56*0.03*-12.35*30.29*0.74*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
SANTANDER SELECCION RV JAPON, FI*SANTANDER SELECCIÓN RV JAPÓN, F.I.*82424706*Semester 1 2015*2015-01-01*2015-06-30*1920*comsanassetm@gruposantander.com*A 3*6 en una escala del 1 al 7*0.0*-0.04**585286.52*2432*0.0*21497771*false*36.7303*1.09**1.09*0.05*-0.41*16.03*0.71*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0112757036
