fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Semester 2 2013*2013-07-01*2013-12-31*4604*edm@edm.es*n.d.*Alto*0.3*0.0**885498.7*36*0.0*10026167*false*11.3226*0.25**0.25*0.04*9.22*8.02*-0.26*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Trimester 3 2013*2013-07-01*2013-09-30*4604*edm@edm.es*n.d.*Alto*0.09*0.0**869597.33*35*0.0*9015127*false*10.367*0.57**0.57*0.02*7.1*8.14*0.61*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Semester 1 2013*2013-01-01*2013-06-30*4604*edm@edm.es*n.d.*Alto*0.0*0.0**876017.72*28*0.0*8479422*false*9.6795*0.35**0.35*0.01***0.39*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Semester 2 2014*2014-07-01*2014-12-31*4604*edm@edm.es*n.d.*Alto*0.25*0.0**1163470.39*119*0.0*13577253*false*11.6696*0.35**0.35*0.04*2.03*14.44*0.22*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Trimester 3 2014*2014-07-01*2014-09-30*4604*edm@edm.es*n.d.*Alto*0.14*0.0**963644.79*116*0.0*11021910*false*11.4377*0.18**0.18*0.02*-2.35*10.79*0.21*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Semester 1 2014*2014-01-01*2014-06-30*4604*edm@edm.es*n.d.*Alto*0.21*0.0**952421.32*117*0.0*11156060*false*11.7134*0.35**0.35*0.03*4.54*8.83*0.21*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Trimester 1 2014*2014-01-01*2014-03-31*4604*edm@edm.es*n.d.*Alto*0.13*0.0**940094.04*54*0.0*10533230*false*11.2044*0.17**0.17*0.02*-1.04*11.12*0.21*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Trimester 3 2015*2015-07-01*2015-09-30*4604*edm@edm.es*n.d.*Alto*0.1*0.0**1064971.0*126*0.0*12368514*false*11.6139*0.18**0.18*0.02*-7.37*19.64*0.21*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Semester 1 2015*2015-01-01*2015-06-30*4604*edm@edm.es*n.d.*Alto*0.56*0.0**1048687.98*123*0.0*13148859*false*12.5384*0.35**0.35*0.03*-1.83*12.64*0.23*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Trimester 1 2015*2015-01-01*2015-03-31*4604*edm@edm.es*n.d.*Alto*0.44*0.0**1160783.5*124*0.0*14825491*false*12.772*0.17**0.17*0.02*9.45*11.26*0.21*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
EDM RENTA VARIABLE INTERNACIONAL, FI*EDM RENTA VARIABLE INT.,FI*66053737*Semester 2 2014*2014-07-01*2014-12-31*4604*edm@edm.es*n.d.*Alto*0.25*0.0**1163470.39*119*0.0*13577253*false*11.6696*0.35**0.35*0.04*2.03*14.44*0.22*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0128271006
