fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SMART-ISH FONDO DE GESTORES F.I.*GESTIOHNA DINERO F.I.*85264687*Trimester 3 2009*2009-07-01*2009-09-30*3956*info@abanteasesores.com*A (Standard & Poor's)*Bajo*0.0*0.24**262669.71*96*0.0*2713000*false*10.3292***0.09*0.01*0.04*0.01*0.13*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*GESTIOHNA DINERO F.I.*85264687*Semester 1 2009*2009-01-01*2009-06-30*3956*info@abanteasesores.com*A (Standard & Poor's)*Bajo*0.0*0.96**323559.72*123*0.0*3341000*false*10.3246***0.17*0.02*0.05*0.02*0.12*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*GESTIOHNA DINERO F.I.*85264687*Semester 2 2010*2010-07-01*2010-12-31*3956*info@abanteasesores.com*A (Standard & Poor's)*Bajo*0.0*0.5**291138.78*105*0.0*3011567*false*10.3441***0.18*0.03*0.04*0.01*0.13*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*GESTIOHNA DINERO F.I.*85264687*Trimester 3 2010*2010-07-01*2010-09-30*3956*info@abanteasesores.com*A (Standard & Poor's)*Bajo*0.0*0.4**311570.87*111*0.0*3222000*false*10.34***0.09*0.01*0.01*0.03*0.13*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*GESTIOHNA DINERO F.I.*85264687*Semester 1 2010*2010-01-01*2010-06-30*3956*info@abanteasesores.com*A (Standard & Poor's)*Bajo*0.0*0.32**122323.25*47*0.0*1265000*false*10.3389***0.17*0.02*-0.01*0.21*0.19*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*GESTIOHNA DINERO F.I.*85264687*Trimester 1 2010*2010-01-01*2010-03-31*3956*info@abanteasesores.com*A (Standard & Poor's)*Bajo*0.0*0.24**210309.48*60*0.0*2175000*false*10.3404***0.09*0.01*-0.02*0.1*0.13*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES F.I.*85264687*Trimester 3 2011*2011-07-01*2011-09-30*3956*info@abanteasesores.com*A*Alto*0.0*1.13**741765.66*342*0.0*6782299*false*9.1435***0.31*0.03*-11.31*17.88*0.36*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES F.I.*85264687*Semester 1 2011*2011-01-01*2011-06-30*3956*info@abanteasesores.com*A*Alto*0.0*0.82**552359.33*273*0.0*5694521*false*10.3095***0.31*0.03***0.28*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*GESTIOHNA DINERO F.I.*85264687*Trimester 1 2011*2011-01-01*2011-03-31*3956*info@abanteasesores.com*A (Standard & Poor's)*Bajo*-0.0*0.64**291137.55*104*0.0*3012400*false*10.347***0.09*0.01*0.03*0.02*0.13*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*GESTIOHNA DINERO F.I.*85264687*Semester 2 2010*2010-07-01*2010-12-31*3956*info@abanteasesores.com*A (Standard & Poor's)*Bajo*0.0*0.5**291138.78*105*0.0*3011567*false*10.3441***0.18*0.03*0.04*0.01*0.13*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
SMART-ISH FONDO DE GESTORES F.I.*SMART-ISH FONDO DE GESTORES FI*85264687*Trimester 3 2012*2012-07-01*2012-09-30*3956*info@abanteasesores.com*BB+ (S&P)*Alto*0.0*0.2**623744.75*293*0.0*5975686*false*9.5803*0.31*0.0*0.31*0.03*3.24*8.93*0.66*ABANTE ASESORES GESTION, SGIIC, S.A.*BANKINTER, S.A.*ES0152505006
