fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UNIFOND CARTERA DEFENSIVA, FI*UNIFOND CARTERA DEFENSIVA, FI*93474344*Semester 2 2016*2016-07-01*2016-12-31*5000*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2, en una escala de 1 a 7*0.43*0.0**4805563.2*914*0.0*28793597*false*5.9917*0.25**0.25*0.02*-0.4*0.63*0.26*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND CARTERA DEFENSIVA, FI*UNIFOND CARTERA DEFENSIVA, FI*93474344*Trimester 3 2016*2016-07-01*2016-09-30*5000*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2, en una escala de 1 a 7*0.18*0.01**3939912.36*797*0.0*23700504*false*6.0155*0.12**0.12*0.01*0.45*0.62*0.29*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND CARTERA DEFENSIVA, FI*UNIFOND CARTERA DEFENSIVA, FI*93474344*Semester 1 2016*2016-01-01*2016-06-30*5000*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2, en una escala de 1 a 7*0.0*0.0**1047018.79*226*0.0*6270271*false*5.9887*0.11**0.11*0.01***0.27*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND CARTERA DEFENSIVA, FI*UNIFOND CARTERA DEFENSIVA, FI*93474344*Semester 2 2017*2017-07-01*2017-12-31*5000*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2, en una escala de 1 a 7*0.26*0.0**47876215.97*7926*0.0*288721300*false*6.0306*0.25**0.25*0.03*0.03*0.38*0.24*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND CARTERA DEFENSIVA, FI*UNIFOND CARTERA DEFENSIVA, FI*93474344*Trimester 3 2017*2017-07-01*2017-09-30*5000*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2, en una escala de 1 a 7*0.24*-0.01**37354425.65*5927*0.0*225204753*false*6.0289*0.13**0.13*0.01*0.26*0.34*0.25*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND CARTERA DEFENSIVA, FI*UNIFOND CARTERA DEFENSIVA, FI*93474344*Semester 1 2017*2017-01-01*2017-06-30*5000*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2, en una escala de 1 a 7*0.0*-0.03**23915844.44*3964*0.0*143804703*false*6.0129*0.25**0.25*0.02*0.18*0.32*0.22*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND CARTERA DEFENSIVA, FI*UNIFOND CARTERA DEFENSIVA, FI*93474344*Trimester 1 2017*2017-01-01*2017-03-31*5000*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2, en una escala de 1 a 7*0.0*-0.02**9529754.76*1644*0.0*57201389*false*6.0024*0.12**0.12*0.01*0.18*0.33*0.23*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND CARTERA DEFENSIVA, FI*UNIFOND CARTERA DEFENSIVA, FI*93474344*Semester 2 2018*2018-07-01*2018-12-31*5000*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*2, en una escala de 1 a 7*1.33*0.0**41290620.36*7109*0.0*238531098*false*5.7769*0.25**0.25*0.03*-2.38*1.8*0.27*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND CARTERA DEFENSIVA, FI*UNIFOND CARTERA DEFENSIVA, FI*93474344*Trimester 3 2018*2018-07-01*2018-09-30*5000*apoyoredunigest@grupounicaja.es*BBB (Standard & Poor's)*2, en una escala de 1 a 7*0.78*0.0**45810029.48*7780*0.0*271087041*false*5.9176*0.13**0.13*0.01***0.26*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND CARTERA DEFENSIVA, FI*UNIFOND CARTERA DEFENSIVA, FI*93474344*Semester 1 2018*2018-01-01*2018-06-30*5000*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2, en una escala de 1 a 7*1.92*0.0**48643297.62*8203*0.0*288068556*false*5.9221*0.25**0.25*0.02*-1.12*1.01*0.25*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND CARTERA DEFENSIVA, FI*UNIFOND CARTERA DEFENSIVA, FI*93474344*Trimester 1 2018*2018-01-01*2018-03-31*5000*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2, en una escala de 1 a 7*0.95*0.0**50111947.14*8347*0.0*300127755*false*5.9891*0.12**0.12*0.01*-0.69*0.81*0.24*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
