fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE A FUND*67310821*Semester 2 2019*2019-07-01*2019-12-31*5332*info@gvcgaesco.es*A+*7 (En una escala del 1 al 7)*0.0*-0.4**1869531.36*620*0.0*20600178*false*11.0189*0.75*0.0*0.75*0.04*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE A FUND*67310821*Trimester 3 2019*2019-07-01*2019-09-30*5332*info@gvcgaesco.es*A+*7 (En una escala del 1 al 7)*0.0*-0.4**1565186.38*520*0.0*16291940*false*10.4089*0.38*0.0*0.38*0.02*-0.09*8.4*0.42*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE I FUND*67310821*Trimester 3 2019*2019-07-01*2019-09-30*5332*info@gvcgaesco.es*A+*7 (En una escala del 1 al 7)*0.0*-0.4**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.1*8.4*0.0*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE E FUND*67310821*Trimester 3 2019*2019-07-01*2019-09-30*5332*info@gvcgaesco.es*A+*7 (En una escala del 1 al 7)*0.0*-0.4**436051.39*2*0.0*4571035*false*10.4828*0.11*0.0*0.11*0.02*0.18*8.37*0.15*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE A FUND*67310821*Semester 1 2019*2019-01-01*2019-06-30*5332*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.0*-0.4**1290736.96*426*0.0*13446870*false*10.418*0.74*0.0*0.74*0.04*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE I FUND*67310821*Semester 1 2019*2019-01-01*2019-06-30*5332*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.0*-0.4**0.0*0*0.0*0*false*10.4514*0.0*0.0*0.0*0.0*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE E FUND*67310821*Semester 1 2019*2019-01-01*2019-06-30*5332*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.0*-0.4**426897.04*2*0.0*4467230*false*10.4644*0.22*0.0*0.22*0.03*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE A FUND*67310821*Trimester 1 2019*2019-01-01*2019-03-31*5332*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.0*-0.4**843595.21*254*0.0*8730389*false*10.349*0.35*0.0*0.35*0.02*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE I FUND*67310821*Trimester 1 2019*2019-01-01*2019-03-31*5332*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.0*-0.4**0.0*0*0.0*0*false*10.3629*0.0*0.0*0.0*0.0*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE E FUND*67310821*Trimester 1 2019*2019-01-01*2019-03-31*5332*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.0*-0.4**438447.41*2*0.0*4545881*false*10.3681*0.0*0.0*0.0*0.01*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE A FUND*67310821*Trimester 3 2020*2020-07-01*2020-09-30*5332*info@gvcgaesco.es*A+*7 (En una escala del 1 al 7)*0.0*-0.5**2571884.42*891*0.0*24857899*false*9.6652*0.38*0.0*0.38*0.02*-0.99*12.23*0.41*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE I FUND*67310821*Trimester 3 2020*2020-07-01*2020-09-30*5332*info@gvcgaesco.es*A+*7 (En una escala del 1 al 7)*0.0*-0.5**0.0*0*0.0*0*false*9.788*0.0*0.0*0.0*0.0*-0.8*12.23*0.0*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE E FUND*67310821*Trimester 3 2020*2020-07-01*2020-09-30*5332*info@gvcgaesco.es*A+*7 (En una escala del 1 al 7)*0.0*-0.5**460452.07*9*0.0*4528811*false*9.8356*0.11*0.0*0.11*0.02*-0.72*12.16*0.15*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE A FUND*67310821*Semester 1 2020*2020-01-01*2020-06-30*5332*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.23*-0.5**2402493.21*776*0.0*23453010*false*9.7619*0.74*0.0*0.74*0.04*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE I FUND*67310821*Semester 1 2020*2020-01-01*2020-06-30*5332*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.23*-0.5**0.0*0*0.0*0*false*9.8672*0.0*0.0*0.0*0.0*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
GVC GAESCO DIVIDEND FOCUS, F.I.*GVC GAESCO DIVIDEND FOCUS CLASE E FUND*67310821*Semester 1 2020*2020-01-01*2020-06-30*5332*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.23*-0.5**462026.82*8*0.0*4577357*false*9.9071*0.22*0.0*0.22*0.03*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
