fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 2 2009*2009-07-01*2009-12-31*2073*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.06**6467.4*83*0.0*3399854*false*525.6909***0.88*0.03*0.46*7.02*0.49*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 3 2009*2009-07-01*2009-09-30*2073*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.07**7072.19*84*0.0*3700683*false*523.2722***0.44*0.01*-2.87*6.14*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 1 2009*2009-01-01*2009-06-30*2073*atencion.cliente.gescooperativo@cajarural.com*A*Medio*0.79*0.26**9206.41*117*0.0*4959782*false*538.7314***0.86*0.02*-0.92*9.58*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 2 2010*2010-07-01*2010-12-31*2073*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.13**6450.56*104*0.0*3603502*false*558.6344***0.88*0.03*1.07*9.11*0.49*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 3 2010*2010-07-01*2010-09-30*2073*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.07**5656.11*114*0.0*3126224*false*552.7168***0.44*0.01*-8.04*9.76*0.5*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 1 2010*2010-01-01*2010-06-30*2073*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.14**6396.54*157*0.0*3844373*false*601.0078***0.87*0.02*9.56*10.25*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 1 2010*2010-01-01*2010-03-31*2073*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.06*0.1**6973.24*151*0.0*3825202*false*548.5544***0.43*0.01*4.35*7.13*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 2 2011*2011-07-01*2011-12-31*2073*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.21**4720.53*79*0.0*2706173*false*573.2772*0.88**0.88*0.03*3.61*9.24*0.49*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 3 2011*2011-07-01*2011-09-30*2073*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.02*0.29**6187.2*90*0.0*3423469*false*553.315***0.44*0.01*5.88*8.85*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 1 2011*2011-01-01*2011-06-30*2073*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.28**6057.59*103*0.0*3165680*false*522.5973***0.87*0.02*-1.44*9.96*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 1 2011*2011-01-01*2011-03-31*2073*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.31**6190.24*101*0.0*3282236*false*530.2275***0.43*0.01*-5.09*7.11*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
