fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
R4 ACTIVA DOLCE 0-30, FI*RENTA 4 TOP SELECCION CONSERVADOR FI*87287827*Trimester 3 2015*2015-07-01*2015-09-30*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.36*0.07**51894.113767*7*0.0*509340*false*9.815*0.11*0.0*0.11*0.02*0.0*3.3*0.38*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*RENTA 4 TOP SELECCION CONSERVADOR FI*87287827*Trimester 3 2016*2016-07-01*2016-09-30*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.0*0.26**170764.919464*143*0.0*1711260*false*10.0211*0.12*0.02*0.14*0.02*1.21*1.21*0.34*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*RENTA 4 TOP SELECCION CONSERVADOR FI*87287827*Semester 1 2016*2016-01-01*2016-06-30*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.42*0.25**127716.121019*129*0.0*1264609*false*9.9017*0.25*0.0*0.25*0.05*0.49*2.3*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*RENTA 4 TOP SELECCION CONSERVADOR FI*87287827*Trimester 1 2016*2016-01-01*2016-03-31*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.0*0.25**123941.146252*26*0.0*1221257*false*9.8535*0.12*0.0*0.12*0.02*-0.26*3.48*0.28*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*RENTA 4 TOP SELECCION CONSERVADOR FI*87287827*Semester 2 2015*2015-07-01*2015-12-31*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.29*0.17**105223.509561*19*0.0*1039493*false*9.8789*0.24*0.0*0.24*0.05*0.65*2.08*0.38*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA FI*87287827*Semester 2 2017*2017-07-01*2017-12-31*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.09*0.25**2024533.964878*778*0.0*20493409*false*10.1225*0.25*0.03*0.28*0.05*0.12*0.77*0.29*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA FI*87287827*Trimester 3 2017*2017-07-01*2017-09-30*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.26*0.25**1383570.084895*1351*0.0*13988842*false*10.1107*0.12*0.03*0.15*0.03*0.37*0.61*0.28*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*RENTA 4 TOP SELECCION CONSERVADOR FI*87287827*Semester 1 2017*2017-01-01*2017-06-30*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.53*0.41**1194733.448618*1249*0.0*12034561*false*10.073*0.25*0.04*0.29*0.05*0.31*0.46*0.25*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*RENTA 4 TOP SELECCION CONSERVADOR FI*87287827*Trimester 1 2017*2017-01-01*2017-03-31*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.78*0.46**470096.522925*204*0.0*4720442*false*10.0414*0.12*0.02*0.14*0.02*0.25*0.52*0.25*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA CLASE I*87287827*Semester 2 2018*2018-07-01*2018-12-31*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.91*0.25**1597130.294532*524*0.0*15206747*false*9.5213*0.25*0.0*0.25*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA CLASE R*87287827*Semester 2 2018*2018-07-01*2018-12-31*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.91*0.25**43056.283812*20*0.0*408963*false*9.4984*0.43*0.0*0.43*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA CLASE I*87287827*Trimester 3 2018*2018-07-01*2018-09-30*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.27*0.25**1836514.680557*585*0.0*18248451*false*9.9365*0.13*0.0*0.13*0.03*0.1*1.12*0.15*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA CLASE R*87287827*Trimester 3 2018*2018-07-01*2018-09-30*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.27*0.25**52704.232935*24*0.0*522892*false*9.9213*0.21*0.0*0.21*0.03*0.01*1.12*0.24*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA CLASE I*87287827*Semester 1 2018*2018-01-01*2018-06-30*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.23*0.25**2229484.46165*645*0.0*22131343*false*9.9267*0.25*0.0*0.25*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA CLASE R*87287827*Semester 1 2018*2018-01-01*2018-06-30*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.23*0.25**50084.484687*22*0.0*496849*false*9.9202*0.28*0.0*0.28*0.03*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA CLASE I*87287827*Trimester 1 2018*2018-01-01*2018-03-31*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.16*0.25**2894989.149261*715*0.0*29217195*false*10.0923*0.12*0.0*0.12*0.02*-0.3*1.6*0.15*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA CLASE R*87287827*Trimester 1 2018*2018-01-01*2018-03-31*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.16*0.25**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*-100.0*0.0*0.0*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*CLASE I*87287827*Trimester 3 2019*2019-07-01*2019-09-30*4890*gestora@renta4.es*ND*3*0.0*-0.42**1354624.83*483*0.0*13433265*false*9.9166*0.13*0.0*0.13*0.03*0.31*1.34*0.24*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*CLASE R*87287827*Trimester 3 2019*2019-07-01*2019-09-30*4890*gestora@renta4.es*ND*3*0.0*-0.42**91600.33*40*0.0*904076*false*9.8698*0.21*0.0*0.21*0.03*0.24*1.34*0.33*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
