fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RSR RV INTERNACIONAL, FI*RSR RV INTERNACIONAL, FI*87680849*Semester 2 2016*2016-07-01*2016-12-31*5095*atencionalcliente@bancoalcala.com*NA*7 en una escala del 1 al 7*0.0*0.0**249991.34*23*0.0*2526541*false*10.1065*0.11*0.09*0.2*0.01***0.34*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174115008
RSR RV INTERNACIONAL, FI*RSR RV INTERNACIONAL, FI*87680849*Trimester 3 2017*2017-07-01*2017-09-30*5095*gesalcala@bancoalcala.com*NA*7 en una escala del 1 al 7*0.01*-0.02**385220.62*117*0.0*4181600*false*10.8551*0.34*0.16*0.5*0.02*3.14*6.3*0.43*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174115008
RSR RV INTERNACIONAL, FI*RSR RV INTERNACIONAL, FI*87680849*Semester 1 2017*2017-01-01*2017-06-30*5095*gesalcala@bancoalcala.com*NA*7 en una escala del 1 al 7*0.48*-0.63**403419.1*108*0.0*4245981*false*10.525*0.68*0.18*0.86*0.03*-0.68*6.21*0.39*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174115008
RSR RV INTERNACIONAL, FI*RSR RV INTERNACIONAL, FI*87680849*Trimester 1 2017*2017-01-01*2017-03-31*5095*atencionalcliente@bancoalcala.com*NA*7 en una escala del 1 al 7*0.22*-1.07**368899.18*61*0.0*3909108*false*10.5967*0.34*0.23*0.57*0.02*4.85*5.06*0.41*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174115008
RSR RV INTERNACIONAL, FI*RSR RV INTERNACIONAL, FI*87680849*Semester 2 2016*2016-07-01*2016-12-31*5095*atencionalcliente@bancoalcala.com*NA*7 en una escala del 1 al 7*0.0*0.0**249991.34*23*0.0*2526541*false*10.1065*0.11*0.09*0.2*0.01***0.34*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174115008
RSR RV INTERNACIONAL, FI*RSR RV INTERNACIONAL, FI*87680849*Semester 2 2018*2018-07-01*2018-12-31*5095*gesalcala@bancoalcala.com*NA*5 en una escala del 1 al 7*0.28*0.0**402064.94*125*0.0*3387368*false*8.4249*0.68*-0.18*0.5*0.04*-17.64*16.49*0.39*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174115008
RSR RV INTERNACIONAL, FI*RSR RV INTERNACIONAL, FI*87680849*Trimester 3 2018*2018-07-01*2018-09-30*5095*gesalcala@bancoalcala.com*NA*5 en una escala del 1 al 7*0.16*0.0**406891.25*127*0.0*4162017*false*10.2288*0.34*-0.18*0.16*0.02*-10.59*9.45*0.41*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174115008
RSR RV INTERNACIONAL, FI*RSR RV INTERNACIONAL, FI*87680849*Semester 1 2018*2018-01-01*2018-06-30*5095*gesalcala@bancoalcala.com*NA*5 en una escala del 1 al 7*0.66*-0.01**369473.73*126*0.0*4226727*false*11.4399*0.67*0.21*0.88*0.03*5.06*9.4*0.39*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174115008
RSR RV INTERNACIONAL, FI*RSR RV INTERNACIONAL, FI*87680849*Trimester 1 2018*2018-01-01*2018-03-31*5095*gesalcala@bancoalcala.com*NA*5 en una escala del 1 al 7*0.33*-0.01**330570.87*121*0.0*3599648*false*10.8892*0.33*0.0*0.33*0.02*-1.1*12.49*0.38*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174115008
RSR RV INTERNACIONAL, FI*RSR RV INTERNACIONAL, FI*87680849*Semester 2 2019*2019-07-01*2019-12-31*5095*gesalcala@bancoalcala.com*NA*5 en una escala del 1 al 7*0.61*-0.02**404449.03*114*0.0*4285632*false*10.5962*0.68*0.0*0.68*0.04*9.55*14.76*0.39*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174115008
RSR RV INTERNACIONAL, FI*RSR RV INTERNACIONAL, FI*87680849*Trimester 3 2019*2019-07-01*2019-09-30*5095*gesalcala@bancoalcala.com*NA*5 en una escala del 1 al 7*0.34*0.0**452347.11*121*0.0*4375253*false*9.6723*0.34*0.0*0.34*0.02*2.27*16.42*0.4*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174115008
