fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 2 2012*2012-07-01*2012-12-31*2522*fondos@bankia.com*BA2*MUY ALTO*0.2*0.05**1207320.04*54*0.0*9406472*false*7.7912*1.13*0.0*1.13*0.05*6.91**0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 3 2012*2012-07-01*2012-09-30*2522*fondos@bankia.com*BA2*MUY ALTO*0.18*0.08**1274693.06*51*0.0*9289326*false*7.2875*0.57*0.0*0.57*0.03*8.29**0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 1 2012*2012-01-01*2012-06-30*2522*fondos@bankia.com*BA2*MUY ALTO*0.09*0.09**1291555.14*47*0.0*8692037*false*6.7299*1.21*0.0*1.21*0.05***0.61*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EURO STOCK MARKET, FI*83095505*Trimester 1 2012*2012-01-01*2012-03-31*2522*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Muy Alto*0.21*0.33**1349465.67*36*0.0*9687935*false*7.1791*0.56*0.0*0.56*0.02*6.91*28.87*0.61*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 3 2013*2013-07-01*2013-09-30*2522*fondos@bankia.com*B1*MUY ALTO*0.0*0.01**1138795.98*118*0.0*9807994*false*8.6126*0.57*0.0*0.57*0.03*10.93*16.89*0.67*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 1 2013*2013-01-01*2013-06-30*2522*fondos@bankia.com*BA2*MUY ALTO*0.61*0.01**1150731.88*92*0.0*8934052*false*7.7638*1.12*0.0*1.12*0.05*1.02*19.41*0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 1 2013*2013-01-01*2013-03-31*2522*fondos@bankia.com*BA2*MUY ALTO*0.53*0.01**1165514.0*51*0.0*8957325*false*7.6853*0.56*0.0*0.56*0.02*-1.36**0.59*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 2 2012*2012-07-01*2012-12-31*2522*fondos@bankia.com*BA2*MUY ALTO*0.2*0.05**1207320.04*54*0.0*9406472*false*7.7912*1.13*0.0*1.13*0.05*6.91**0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 2 2014*2014-07-01*2014-12-31*2522*fondos@bankia.com*B1*7, en una escala del 1 al 7*0.0*0.01**1373369.58*111*0.0*12965982*false*9.441*1.13*0.0*1.13*0.05*-2.73*16.95*0.58*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 3 2014*2014-07-01*2014-09-30*2522*fondos@bankia.com*B1*7, en una escala del 1 al 7*0.0*0.01**1331979.83*113*0.0*12928463*false*9.7062*0.57*0.0*0.57*0.03*-0.35*13.94*0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 1 2014*2014-01-01*2014-03-31*2522*fondos@bankia.com*B1*7, en una escala del 1 al 7*0.0*0.01**1249549.31*114*0.0*11723272*false*9.382*0.55*0.0*0.55*0.02*1.46*15.85*0.59*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 2 2013*2013-07-01*2013-12-31*2522*fondos@bankia.com*B1*7, en una escala del 1 al 7*0.0*0.01**1214915.09*117*0.0*11233955*false*9.2467*1.13*0.0*1.13*0.05*7.36*16.4*0.61*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 3 2015*2015-07-01*2015-09-30*2522*fondos@bankia.com*BB*6, en una escala del 1 al 7*0.12*0.0**1487086.73*111*0.0*13950509*false*9.3811*0.57*0.0*0.57*0.03*-9.85*23.87*0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 1 2015*2015-01-01*2015-06-30*2522*fondos@bankia.com*B1*7, en una escala del 1 al 7*0.11*0.01**1441891.62*112*0.0*15004180*false*10.4059*1.12*0.0*1.12*0.05*-5.91*19.98*0.59*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 1 2015*2015-01-01*2015-03-31*2522*fondos@bankia.com*B1*7, en una escala del 1 al 7*0.06*0.01**1385497.68*111*0.0*15323050*false*11.0596*0.55*0.0*0.55*0.02*17.14*17.82*0.59*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 2 2014*2014-07-01*2014-12-31*2522*fondos@bankia.com*B1*7, en una escala del 1 al 7*0.0*0.01**1373369.58*111*0.0*12965982*false*9.441*1.13*0.0*1.13*0.05*-2.73*16.95*0.58*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 2 2016*2016-07-01*2016-12-31*2522*fondos@bankia.com*BB+*6, en una escala del 1 al 7*0.0*0.0**1704449.36*100*0.0*17170111*false*10.0737*1.13*0.0*1.13*0.05*9.37*22.0*0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 3 2016*2016-07-01*2016-09-30*2522*fondos@bankia.com*BB+*6, en una escala del 1 al 7*0.06*0.0**1659528.42*105*0.0*15285252*false*9.2106*0.57*0.0*0.57*0.03*4.39*23.47*0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 1 2016*2016-01-01*2016-06-30*2522*fondos@bankia.com*BB+*6, en una escala del 1 al 7*0.0*0.0**1626765.55*106*0.0*14354091*false*8.8237*1.12*0.0*1.12*0.05*-2.65*26.75*0.59*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 1 2016*2016-01-01*2016-03-31*2522*fondos@bankia.com*BB*6, en una escala del 1 al 7*0.0*0.0**1567011.83*111*0.0*14203709*false*9.0642*0.56*0.0*0.56*0.02*-8.2*25.0*0.59*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 3 2017*2017-07-01*2017-09-30*2522*fondos@bankia.com*BBB-*6, en una escala del 1 al 7*0.0*0.0**1845317.08*107*0.0*20488925*false*11.1032*0.56*0.0*0.56*0.03*4.13*11.05*0.59*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 1 2017*2017-01-01*2017-06-30*2522*fondos@bankia.com*BBB-*6, en una escala del 1 al 7*0.0*0.0**1789676.05*107*0.0*19082600*false*10.6626*1.11*0.0*1.11*0.05*-0.36*12.65*0.59*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 1 2017*2017-01-01*2017-03-31*2522*fondos@bankia.com*BBB-*6, en una escala del 1 al 7*0.0*0.0**1751942.69*102*0.0*18746838*false*10.7006*0.55*0.0*0.55*0.02*6.22*18.08*0.58*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 2 2016*2016-07-01*2016-12-31*2522*fondos@bankia.com*BB+*6, en una escala del 1 al 7*0.0*0.0**1704449.36*100*0.0*17170111*false*10.0737*1.13*0.0*1.13*0.05*9.37*22.0*0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 3 2018*2018-07-01*2018-09-30*2522*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.14*0.0**1714003.4*110*0.0*18199459*false*10.6181*0.56*0.0*0.56*0.03*-0.27*11.93*0.59*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 1 2018*2018-01-01*2018-06-30*2522*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.0*0.0**1699812.92*111*0.0*18097398*false*10.6467*1.11*0.0*1.11*0.05*2.83*11.77*0.59*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 1 2018*2018-01-01*2018-03-31*2522*fondos@bankia.com*BBB-*6, en una escala del 1 al 7*0.0*0.0**1817448.7*117*0.0*18816410*false*10.3532*0.55*0.0*0.55*0.02*-4.17*11.71*0.58*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 2 2017*2017-07-01*2017-12-31*2522*fondos@bankia.com*BBB-*6, en una escala del 1 al 7*0.0*0.0**1857595.94*120*0.0*20068538*false*10.8035*1.13*0.0*1.13*0.05*-2.7*10.19*0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 3 2019*2019-07-01*2019-09-30*2522*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.02*0.0**1919029.07*128*0.0*21612681*false*11.2623*0.56*0.0*0.56*0.03*2.43*14.14*0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 1 2019*2019-01-01*2019-06-30*2522*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.0*0.0**1926890.45*128*0.0*21185775*false*10.9948*1.11*0.0*1.11*0.05*5.21*12.19*0.59*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 1 2019*2019-01-01*2019-03-31*2522*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.0*0.0**1934146.29*129*0.0*20212602*false*10.4504*0.55*0.0*0.55*0.02*11.76*12.9*0.58*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 2 2018*2018-07-01*2018-12-31*2522*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.01*0.0**1916981.83*130*0.0*17924547*false*9.3504*1.13*0.0*1.13*0.05*-11.94*13.76*0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 2 2020*2020-07-01*2020-12-31*2522*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.06*-0.43**1739018.25*123*0.0*19447267*false*11.1829*1.13*0.0*1.13*0.05*10.86*21.62*0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 3 2020*2020-07-01*2020-09-30*2522*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.07*-0.39**1769739.92*128*0.0*17852959*false*10.0879*0.57*0.0*0.57*0.03*-1.43*20.18*0.6*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Semester 1 2020*2020-01-01*2020-06-30*2522*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.02*-0.33**1758699.26*132*0.0*17999408*false*10.2345*1.11*0.0*1.11*0.05*16.92*33.25*0.59*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
LIBERTY EURO STOCK MARKET, FI*LIBERTY EUROSTOCK MARKET*83095505*Trimester 1 2020*2020-01-01*2020-03-31*2522*fondos@bankia.com*BBB*6, en una escala del 1 al 7*0.0*-0.34**1773965.88*134*0.0*15527878*false*8.7532*0.56*0.0*0.56*0.02*-25.7*47.26*0.58*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0179172038
