fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Semester 2 2009*2009-07-01*2009-12-31*2028*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.0*0.2**1905355.19*1920*0.0*15693621*false*8.2366***0.83*0.05*9.9*15.03*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Trimester 3 2009*2009-07-01*2009-09-30*2028*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.0*0.2**1524133.22*1691*0.0*11423180*false*7.4949***0.42*0.03*14.8*16.53*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Semester 1 2009*2009-01-01*2009-06-30*2028*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.12*0.9**1436216.28*1600*0.0*9376518*false*6.5286***0.82*0.05*26.36*24.7*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Semester 2 2010*2010-07-01*2010-12-31*2028*bbk.gestion@grupobbk.com*A (IBCA)*Muy alto*0.13*0.31**2565928.15*3099*0.0*25720797*false*10.024***0.83*0.05*6.99*10.38*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Trimester 3 2010*2010-07-01*2010-09-30*2028*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.1*0.19**2367599.83*2806*0.0*22182990*false*9.3694***0.42*0.03*6.15*11.81*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Semester 1 2010*2010-01-01*2010-06-30*2028*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.0*0.12**2220778.55*2581*0.0*19602194*false*8.8267***0.82*0.05*0.59*22.62*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Trimester 1 2010*2010-01-01*2010-03-31*2028*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.0*0.12**2163443.21*2278*0.0*18983310*false*8.7746***0.41*0.02*6.53*15.67*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Semester 2 2011*2011-07-01*2011-12-31*2028*bbk.gestion@grupobbk.com*A (IBCA)*Muy alto*0.14*0.54**3332867.73*2564*0.0*27944011*false*8.3844*0.83*0.0*0.83*0.05*8.23*16.27*0.75*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Trimester 3 2011*2011-07-01*2011-09-30*2028*bbk.gestion@grupobbk.com*A (IBCA)*Muy alto*0.15*0.61**3375634.51*2634*0.0*26149821*false*7.7466***0.42*0.03*-17.1*23.23*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Semester 1 2011*2011-01-01*2011-06-30*2028*bbk.gestion@grupobbk.com*A (IBCA)*Muy alto*0.0*0.48**3428187.52*2675*0.0*32034757*false*9.3445***0.82*0.05*-2.7*11.29*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Trimester 1 2011*2011-01-01*2011-03-31*2028*bbk.gestion@grupobbk.com*A (IBCA)*Muy alto*0.0*0.42**3486311.11*2613*0.0*33480712*false*9.6035***0.41*0.02*-4.19*12.72*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
