fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
EVO FONDO INTELIGENTE, FI*EVO FONDO INTELIGENTE FI*87472312*Semester 2 2016*2016-07-01*2016-12-31*4978*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**131120.7*404*0.0*1447533*false*11.0397*0.5*0.0*0.5*0.05*6.65*13.26*0.84*GESCONSULT, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*
EVO FONDO INTELIGENTE, FI*EVO FONDO INTELIGENTE FI*87472312*Trimester 3 2016*2016-07-01*2016-09-30*4978*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**15661.87*15*0.0*162121*false*10.3513*0.25*0.0*0.25*0.03*7.58*17.27*0.5*GESCONSULT, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*
EVO FONDO INTELIGENTE, FI*EVO FONDO INTELIGENTE FI*87472312*Semester 1 2016*2016-01-01*2016-06-30*4978*N/D*ND*7 en una escala de 1 a 7*2.02*0.21**15000.0*1*0.0*144323*false*9.6215*0.23*0.0*0.23*0.02***0.53*GESCONSULT, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*
EVO FONDO INTELIGENTE, FI*EVO FONDO INTELIGENTE FI*87472312*Semester 2 2017*2017-07-01*2017-12-31*4978*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**653533.9*2293*0.0*7848714*false*12.0097*0.5*0.0*0.5*0.05*-2.61*14.02*0.3*GESCONSULT, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*
EVO FONDO INTELIGENTE, FI*EVO FONDO INTELIGENTE FI*87472312*Trimester 3 2017*2017-07-01*2017-09-30*4978*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**546760.1*2295*0.0*6742610*false*12.3319*0.25*0.0*0.25*0.03*-0.37*11.95*0.32*GESCONSULT, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*
EVO FONDO INTELIGENTE, FI*EVO FONDO INTELIGENTE FI*87472312*Semester 1 2017*2017-01-01*2017-06-30*4978*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**509664.5*2015*0.0*6308588*false*12.3779*0.49*0.0*0.49*0.05*0.67*13.25*0.31*GESCONSULT, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*
EVO FONDO INTELIGENTE, FI*EVO FONDO INTELIGENTE FI*87472312*Trimester 1 2017*2017-01-01*2017-03-31*4978*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**297922.0*1376*0.0*3663183*false*12.2958*0.25*0.0*0.25*0.02*11.38*11.28*0.31*GESCONSULT, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*
EVO FONDO INTELIGENTE, FI*EVO FONDO INTELIGENTE FI*87472312*Semester 2 2018*2018-07-01*2018-12-31*4978*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**789086.23*1757*0.0*8297887*false*10.5158*0.5*0.0*0.5*0.05*-8.25*15.81*0.3*GESCONSULT, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*
EVO FONDO INTELIGENTE, FI*EVO FONDO INTELIGENTE FI*87472312*Trimester 3 2018*2018-07-01*2018-09-30*4978*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**748126.49*1924*0.0*8574399*false*11.4612*0.25*0.0*0.25*0.03*-2.13*10.54*0.32*GESCONSULT, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*
EVO FONDO INTELIGENTE, FI*EVO FONDO INTELIGENTE FI*87472312*Semester 1 2018*2018-01-01*2018-06-30*4978*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**760607.73*2063*0.0*8906827*false*11.7101*0.5*0.0*0.5*0.05*1.81*12.74*0.31*GESCONSULT, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*
EVO FONDO INTELIGENTE, FI*EVO FONDO INTELIGENTE FI*87472312*Trimester 1 2018*2018-01-01*2018-03-31*4978*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**776490.11*2215*0.0*8931115*false*11.5019*0.25*0.0*0.25*0.02*-4.23*14.41*0.33*GESCONSULT, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*
