fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 2 2009*2009-07-01*2009-12-31*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.14*0.44**11684.33*568*0.0*6939978*false*593.9561***1.13*0.1*4.26*6.63*0.73*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 3 2009*2009-07-01*2009-09-30*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.16*0.5**11849.65*576*0.0*6750602*false*569.6879***0.57*0.05*7.38*6.4*0.67*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 1 2009*2009-01-01*2009-06-30*1569*atencion.cliente.gescooperativo@cajarural.com*A*Medio / Alto*0.3*0.98**11929.28*577*0.0*6328740*false*530.5214***1.12*0.1*7.78*9.64*0.75*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 2 2010*2010-07-01*2010-12-31*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.0*0.54**13601.99*629*0.0*8956304*false*658.4553***1.13*0.1*5.87*5.41*0.63*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 3 2010*2010-07-01*2010-09-30*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.0*0.45**13320.53*623*0.0*8284510*false*621.9357***0.57*0.05*1.55*6.93*0.72*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 1 2010*2010-01-01*2010-06-30*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.06*0.36**13553.18*622*0.0*8300767*false*612.4591***1.12*0.1*-2.03*9.73*0.67*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 1 2010*2010-01-01*2010-03-31*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.06*0.33**11927.18*579*0.0*7456513*false*625.1699***0.56*0.05*5.26*6.77*0.67*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 2 2011*2011-07-01*2011-12-31*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.05*0.92**11988.81*562*0.0*7209429*false*601.3467*1.14**1.14*0.1*6.53*11.73*0.89*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 3 2011*2011-07-01*2011-09-30*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.06*1.0**12452.8*586*0.0*7029512*false*564.4927***0.57*0.05*-12.11*15.72*0.63*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 1 2011*2011-01-01*2011-06-30*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.08*0.86**12824.18*599*0.0*8236531*false*642.2658***1.12*0.1*-1.27*6.28*0.62*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 1 2011*2011-01-01*2011-03-31*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.13*0.64**13050.04*615*0.0*8489210*false*650.512***0.55*0.05*-1.21*7.59*0.62*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
