fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 2 2009*2009-07-01*2009-12-31*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.44**50850.34*1935*0.0*36564397*false*719.0591***0.0*0.01*0.32*1.81*0.02*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*R. CESTA CONSERVADORA 20 FIMF*83021766*Trimester 3 2009*2009-07-01*2009-09-30*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.06*0.5**48228.81*1885*0.0*34569797*false*716.7873***0.0*0.01*2.47*1.93*0.02*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*R. CESTA CONSERVADORA 20 FIMF*83021766*Semester 1 2009*2009-01-01*2009-06-30*2463*atencion.cliente.gescooperativo@cajarural.com*A*Medio*0.38*1.09**50923.32*2012*0.0*35622564*false*699.5334***0.0*0.05*1.62*1.76*0.02*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 2 2010*2010-07-01*2010-12-31*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.55**52638.2*1887*0.0*37446409*false*711.3922***0.0*0.01*-1.13*1.8*0.01*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Trimester 3 2010*2010-07-01*2010-09-30*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.03*0.45**55587.77*1982*0.0*39996629*false*719.5221***0.0*0.01*2.38*2.53*0.02*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 1 2010*2010-01-01*2010-06-30*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.35**58045.01*2070*0.0*40793523*false*702.7912***0.0*0.02*-2.29*5.27*0.02*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Trimester 1 2010*2010-01-01*2010-03-31*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.03*0.34**57234.44*2068*0.0*41167633*false*719.2808***0.0*0.01*0.03*2.09*0.02*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 2 2011*2011-07-01*2011-12-31*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.14*0.89**25740.64*1205*0.0*17932399*false*696.6571*0.0**0.0*0.05*-0.17*3.38*0.34*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Trimester 3 2011*2011-07-01*2011-09-30*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*1.0**44187.02*1638*0.0*30834060*false*697.8082***0.0*0.02*-2.61*2.68*0.04*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 1 2011*2011-01-01*2011-06-30*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.08*0.86**45526.42*1700*0.0*32619793*false*716.5024***0.0*0.03*-0.51*1.67*0.04*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Trimester 1 2011*2011-01-01*2011-03-31*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.02*0.67**47321.4*1736*0.0*34081236*false*720.2078***0.0*0.01*1.24*1.71*0.02*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
