fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UNIFOND SMALL & MID CAPS, FI*UNIFOND SMALL & MID CAPS, CL A*93600575*Trimester 3 2018*2018-07-01*2018-09-30*5275*apoyoredunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala del 1 al 7*0.44*-0.04**906214.0*445*0.0*5271746*false*5.8173*0.39*[]*0.39*0.04*[]*[]*0.52*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND SMALL & MID CAPS, FI*UNIFOND SMALL & MID CAPS, CL A*93600575*Trimester 3 2019*2019-07-01*2019-09-30*5275*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*6 en una escala del 1 al 7*0.24*-0.17**1080345.91*552*0.0*5249835*false*4.8594*0.42*[]*0.42*0.04*-3.37*11.41*0.5*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND SMALL & MID CAPS, FI*UNIFOND SMALL & MID CAPS, CL C*93600575*Trimester 3 2019*2019-07-01*2019-09-30*5275*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*6 en una escala del 1 al 7*0.24*-0.17**500000.0*1*0.0*2461394*false*4.9228*0.16*[]*0.16*0.02*-3.1*11.41*0.22*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND SMALL & MID CAPS, FI*UNIFOND SMALL & MID CAPS, CL A*93600575*Semester 1 2019*2019-01-01*2019-06-30*5275*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala del 1 al 7*1.44*-0.21**1151891.24*587*0.0*5792654*false*5.0288*0.82*[]*0.82*0.08*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND SMALL & MID CAPS, FI*UNIFOND SMALL & MID CAPS, CL C*93600575*Semester 1 2019*2019-01-01*2019-06-30*5275*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala del 1 al 7*1.44*-0.21**500000.0*1*0.0*2540155*false*5.0803*0.32*[]*0.32*0.03*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND SMALL & MID CAPS, FI*UNIFOND SMALL & MID CAPS, CL A*93600575*Trimester 1 2019*2019-01-01*2019-03-31*5275*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala del 1 al 7*0.73*-0.24**1219590.07*625*0.0*6253396*false*5.1275*0.41*[]*0.41*0.04*3.69*10.94*0.47*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND SMALL & MID CAPS, FI*UNIFOND SMALL & MID CAPS, CL C*93600575*Trimester 1 2019*2019-01-01*2019-03-31*5275*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala del 1 al 7*0.73*-0.24**500000.0*1*0.0*2582885*false*5.1658*0.16*[]*0.16*0.02*3.97*10.96*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND SMALL & MID CAPS, FI*UNIFOND SMALL & MID CAPS, CL A*93600575*Semester 2 2018*2018-07-01*2018-12-31*5275*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala del 1 al 7*0.14*-0.02**1231819.7*650*0.0*6091566*false*4.9452*0.82*[]*0.82*0.08*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND SMALL & MID CAPS, FI*UNIFOND SMALL & MID CAPS, CL C*93600575*Semester 2 2018*2018-07-01*2018-12-31*5275*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala del 1 al 7*0.14*-0.02**500000.0*1*0.0*2484316*false*4.9686*0.3*[]*0.3*0.03*[]*[]*[]*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND SMALL & MID CAPS, FI*UNIF. SMALL & MID CAPS, CL A*93600575*Trimester 3 2020*2020-07-01*2020-09-30*5275*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*5 en una escala del 1 al 7*0.39*-0.25**830410.39*436*0.0*3590159*false*4.3234*0.41*[]*0.41*0.04*1.74*15.54*0.5*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
UNIFOND SMALL & MID CAPS, FI*UNIF. SMALL & MID CAPS, CL C*93600575*Trimester 3 2020*2020-07-01*2020-09-30*5275*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*5 en una escala del 1 al 7*0.39*-0.25**500000.0*1*0.0*2214114*false*4.4282*0.16*[]*0.16*0.02*2.02*15.54*0.22*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*
