fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Semester 2 2017*2017-07-01*2017-12-31*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**565704.62*1526*0.0*63570478*false*112.374*0.88*[]*0.88*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Trimester 3 2017*2017-07-01*2017-09-30*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.04*0.0**505631.88*1367*0.0*56081126*false*110.913*0.44*[]*0.44*0.01*1.01*4.86*0.45*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Trimester 3 2017*2017-07-01*2017-09-30*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.04*0.0**137423.24*197*0.0*15223676*false*110.7795*0.5*[]*0.5*0.01*0.94*4.86*0.52*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Semester 1 2017*2017-01-01*2017-06-30*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**432345.63*1162*0.0*47474785*false*109.8075*0.56*[]*0.56*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Semester 1 2017*2017-01-01*2017-06-30*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**106066.06*127*0.0*11640164*false*109.7445*0.49*[]*0.49*0.01*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Trimester 1 2017*2017-01-01*2017-03-31*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**277713.52*693*0.0*28704281*false*103.3593*0.07*[]*0.07*0.0*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Trimester 3 2018*2018-07-01*2018-09-30*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.03*0.0**705856.07*2115*0.0*72715085*false*103.0169*0.44*[]*0.44*0.01*-3.09*5.55*0.45*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Trimester 3 2018*2018-07-01*2018-09-30*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.03*0.0**232616.61*428*0.0*23874837*false*102.636*0.5*[]*0.5*0.01*-3.15*5.55*0.52*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Semester 1 2018*2018-01-01*2018-06-30*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.03*0.0**695296.11*2029*0.0*73910244*false*106.3004*0.87*[]*0.87*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Semester 1 2018*2018-01-01*2018-06-30*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.03*0.0**233864.64*427*0.0*24783599*false*105.9741*0.99*[]*0.99*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Trimester 1 2018*2018-01-01*2018-03-31*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**676000.06*1906*0.0*73988736*false*109.4508*0.43*[]*0.43*0.01*-2.6*9.38*0.44*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
