fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 2 2010*2010-07-01*2010-12-31*4292*35049900@bancopopular.es*Aa3*Muy alto*0.96*0.16**3094.35*5*0.0*310317*false*100.2849***0.11*0.01****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 2 2011*2011-07-01*2011-12-31*4292*35049900@bancopopular.es*BBB+*Muy alto*1.25*1.18**40583.1*93*0.0*3968101*false*97.7772*0.66**0.66*0.05*1.8*5.07*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 3 2011*2011-07-01*2011-09-30*4292*35049900@bancopopular.es*A-*Muy alto*0.73*1.21**40703.87*96*0.0*3909595*false*96.0497***0.33*0.03*-3.68*5.84*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 1 2011*2011-01-01*2011-06-30*4292*35049900@bancopopular.es*A-*Muy alto*2.29*0.74**42183.24*102*0.0*4206524*false*99.7203***0.65*0.05*0.29*2.77*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 1 2011*2011-01-01*2011-03-31*4292*35049900@bancopopular.es*Aa3*Muy alto*0.84*0.56**11078.83*23*0.0*1101614*false*99.4341***0.32*0.02*-0.85*3.47*0.44*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 2 2012*2012-07-01*2012-12-31*4292*35049900@bancopopular.es*BB+*Muy alto*0.69*0.12**50548.26*134*0.0*5697214*false*112.7084*0.65**0.65*0.05*1.71*2.82*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 3 2012*2012-07-01*2012-09-30*4292*35049900@bancopopular.es*BB+*Muy alto*0.2*0.14**52297.82*182*0.0*5795168*false*110.8109*0.33**0.33*0.03*5.07*4.88*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 1 2012*2012-01-01*2012-06-30*4292*35049900@bancopopular.es*BBB-*Muy alto*0.71*0.4**46335.48*172*0.0*4886776*false*105.4651*0.65**0.65*0.05*2.84*4.8*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 1 2012*2012-01-01*2012-03-31*4292*35049900@bancopopular.es*BBB-*Muy alto*0.63*0.58**42074.83*160*0.0*4314936*false*102.5539*0.32**0.32*0.02*4.89*4.6*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 3 2013*2013-07-01*2013-09-30*4292*35049900@bancopopular.es*BB-*Medio/Alto*0.24*0.09**27994.67*99*0.0*2912092*false*104.0231*0.33**0.33*0.03*-1.65*4.73*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 1 2013*2013-01-01*2013-06-30*4292*35049900@bancopopular.es*BB-*Medio/Alto*0.95*0.06**31595.94*120*0.0*3341903*false*105.77*0.65**0.65*0.05*-5.82*6.25*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
