fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Semester 2 2009*2009-07-01*2009-12-31*625*attcliente.unigest@unicorp.es*A+  (Standars and Poors)*Bajo*0.43*1.33**4963198.2*2334*0.0*46668637*false*9.4029***0.31*0.03****UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Trimester 3 2009*2009-07-01*2009-09-30*625*attcliente.unigest@unicorp.es*A+  (Standars and Poors)*Bajo*0.0*0.39**4610022.56*2318*0.0*43052378*false*9.3389***0.14*0.01*0.23*0.26*0.16*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Semester 1 2009*2009-01-01*2009-06-30*625*attcliente.unigest@unicorp.es*A+  (Standars and Poors)*Bajo*0.0*1.03**5318539.49*2610*0.0*49557214*false*9.3178***0.28*0.02*0.37*0.05*0.16*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Semester 2 2010*2010-07-01*2010-12-31*625*attclienteunigest@grupounicaja.es*A+  (Standars and Poors)*Bajo*0.01*3.08**4606907.84*2142*0.0*42345762*false*9.1918***0.35*0.03*-2.78*2.02*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Trimester 3 2010*2010-07-01*2010-09-30*625*attcliente.unigest@unicorp.es*A+  (Standars and Poors)*Bajo*0.0*3.07**4719337.78*2196*0.0*44618170*false*9.4543***0.18*0.01*0.59*2.03*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Semester 1 2010*2010-01-01*2010-06-30*625*attcliente.unigest@unicorp.es*A+  (Standars and Poors)*Bajo*0.0*3.02**4790088.29*2228*0.0*45022681*false*9.3991***0.35*0.02*-2.25*2.9*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Trimester 1 2010*2010-01-01*2010-03-31*625*attcliente.unigest@unicorp.es*A+  (Standars and Poors)*Bajo*0.0*3.01**4870021.92*2270*0.0*46825847*false*9.6151***0.17*0.01*2.26*1.27*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Semester 2 2011*2011-07-01*2011-12-31*625*attclienteunigest@grupounicaja.es*A   (Standars and Poors)*Bajo*0.0*3.07**4319360.83*1999*0.0*40852079*false*9.4579*0.35**0.35*0.03*-0.56*3.17*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Trimester 3 2011*2011-07-01*2011-09-30*625*attclienteunigest@grupounicaja.es*A   (Standars and Poors)*Bajo*0.0*3.07**4399531.72*2030*0.0*41843653*false*9.5109***0.18*0.01*1.63*3.79*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Semester 1 2011*2011-01-01*2011-06-30*625*attclienteunigest@grupounicaja.es*A   (Standars and Poors)*Bajo*0.0*3.02**4456627.43*2068*0.0*41706208*false*9.3582***0.35*0.02*1.3*1.77*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Trimester 1 2011*2011-01-01*2011-03-31*625*attclienteunigest@grupounicaja.es*A   (Standars and Poors)*Bajo*0.0*3.01**4521585.83*2105*0.0*41772426*false*9.2384***0.17*0.01*0.51*1.95*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Semester 2 2012*2012-07-01*2012-12-31*625*attclienteunigest@grupounicaja.es*BB+*Bajo*0.01*1.78**4009796.49*1828*0.0*39757091*false*9.915*0.35**0.35*0.03*3.71*1.24*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Trimester 3 2012*2012-07-01*2012-09-30*625*attclienteunigest@grupounicaja.es*BB+ (Standars and Poors)*Bajo*0.01*2.04**4060664.21*1859*0.0*38820734*false*9.5602*0.18**0.18*0.01*3.27*3.14*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Semester 1 2012*2012-01-01*2012-06-30*625*attclienteunigest@grupounicaja.es*BB+ (Standars and Poors)*Bajo*0.0*2.35**4141994.93*1905*0.0*38344923*false*9.2576*0.35**0.35*0.02*-3.94*3.58*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
