fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 2 2009*2009-07-01*2009-12-31*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.0*0.27**2029370.13*213*0.0*11867705*false*5.848***0.74*0.05*3.28*5.57*0.06*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 3 2009*2009-07-01*2009-09-30*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.0*0.26**2216895.55*213*0.0*12553216*false*5.6625***0.37*0.02*4.11*5.49*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 1 2009*2009-01-01*2009-06-30*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.13*0.97**1868562.01*135*0.0*10162637*false*5.4387***0.87*0.05*2.81*5.96*0.46*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 2 2010*2010-07-01*2010-12-31*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.23*0.5**2006371.03*212*0.0*12049221*false*6.0055***0.73*0.05*3.05*5.25*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 3 2010*2010-07-01*2010-09-30*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.12*0.41**2006015.99*214*0.0*11690677*false*5.8278***0.37*0.03*1.58*7.07*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 1 2010*2010-01-01*2010-06-30*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.21*0.35**2005694.42*215*0.0*11507170*false*5.7373***0.72*0.05*-3.98*10.32*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 1 2010*2010-01-01*2010-03-31*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.15*0.35**2022150.17*215*0.0*12082789*false*5.9752***0.36*0.02*2.18*5.65*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 3 2011*2011-07-01*2011-09-30*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.0*0.99**1993905.86*199*0.0*11258292*false*5.6464***0.37*0.02***0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 1 2011*2011-01-01*2011-06-30*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.08*0.78**1985599.03*203*0.0*11838092*false*5.962***0.72*0.04*-0.41*4.88*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 1 2011*2011-01-01*2011-03-31*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.05*0.58**1997918.02*206*0.0*11960914*false*5.9867***0.36*0.02*-0.31*5.78*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 2 2010*2010-07-01*2010-12-31*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.23*0.5**2006371.03*212*0.0*12049221*false*6.0055***0.73*0.05*3.05*5.25*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 2 2012*2012-07-01*2012-12-31*1916*fondos@segurosbilbao.com*BBB- (S&P)*Moderadamente agresivo*0.03*0.26**1901444.81*192*0.0*11928151*false*6.2732*0.73*0.0*0.73*0.04*-0.24*4.31*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 3 2012*2012-07-01*2012-09-30*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.04*0.26**1929124.14*193*0.0*12130400*false*6.288*0.36*0.0*0.36*0.02*3.04*5.55*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 1 2012*2012-01-01*2012-06-30*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.15*0.28**1941320.1*193*0.0*11846735*false*6.1024*0.72*0.0*0.72*0.04*-1.19*6.33*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 1 2012*2012-01-01*2012-03-31*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.07*0.27**1957113.67*194*0.0*12086523*false*6.1757*0.36*0.0*0.36*0.02*3.69*4.28*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 2 2013*2013-07-01*2013-12-31*1916*fondos@segurosbilbao.com*BBB- (S&P)*Moderadamente agresivo*0.19*0.4**1503238.85*192*0.0*10209747*false*6.7918*0.73*0.0*0.73*0.04*3.46*4.5*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 3 2013*2013-07-01*2013-09-30*1916*fondos@segurosbilbao.com*BBB- (S&P)*Moderadamente agresivo*0.0*0.47**1534252.5*192*0.0*10071446*false*6.5644*0.37*0.0*0.37*0.02*1.56*4.63*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 1 2013*2013-01-01*2013-06-30*1916*fondos@segurosbilbao.com*BBB- (S&P)*Moderadamente agresivo*0.06*0.25**1534274.16*193*0.0*9916832*false*6.4635*0.72*0.0*0.72*0.04*-0.43*6.7*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 1 2013*2013-01-01*2013-03-31*1916*fondos@segurosbilbao.com*BBB- (S&P)*Moderadamente agresivo*0.0*0.12**1564916.83*192*0.0*10158265*false*6.4912*0.36*0.0*0.36*0.02*3.48*4.13*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 2 2014*2014-07-01*2014-12-31*1916*fondos@segurosbilbao.com*BBB (S&P)*Moderadamente agresivo*0.07*0.2**1412425.27*189*0.0*10346260*false*7.3252*0.73*0.0*0.73*0.04*1.09*8.69*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 3 2014*2014-07-01*2014-09-30*1916*fondos@segurosbilbao.com*BBB (S&P)*Moderadamente agresivo*0.04*0.25**1427246.15*188*0.0*10341619*false*7.2459*0.37*0.0*0.37*0.02*3.15*5.57*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 1 2014*2014-01-01*2014-06-30*1916*fondos@segurosbilbao.com*BBB (S&P)*Moderadamente agresivo*0.08*0.25**1437646.53*189*0.0*10098656*false*7.0244*0.72*0.0*0.72*0.04*2.71*3.93*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 1 2014*2014-01-01*2014-03-31*1916*fondos@segurosbilbao.com*BBB- (S&P)*Moderadamente agresivo*0.1*0.25**1456093.25*190*0.0*9958393*false*6.8391*0.36*0.0*0.36*0.02*0.7*5.69*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 2 2015*2015-07-01*2015-12-31*1916*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderadamente agresivo*0.15*0.14**933754.19*204*0.0*7119124*false*7.6242*0.73*0.0*0.73*0.03*4.14*9.14*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
