fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Trimester 3 2015*2015-07-01*2015-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.26*0.0**116134.52*201*0.0*1120385*true*9.6463*0.5*0.0*0.5*0.04*-2.47*16.63*0.08*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Semester 1 2015*2015-01-01*2015-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**33938.45*30*0.0*335679*true*9.8911*0.15*0.04*0.15*0.01*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Semester 1 2015*2015-01-01*2015-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**87521.25*32*0.0*865900*true*9.8936*0.12*0.04*0.12*0.01*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Semester 1 2015*2015-01-01*2015-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**22182.28*24*0.0*219931*true*9.9147*0.11*0.0*0.11*0.01*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Semester 1 2015*2015-01-01*2015-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**23738.4*25*0.0*235257*true*9.9104*0.08*0.0*0.08*0.01*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Semester 1 2015*2015-01-01*2015-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**99.9*1*0.0*990*true*9.9133*0.04*0.0*0.04*0.0*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Semester 1 2015*2015-01-01*2015-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**99.9*1*0.0*990*true*9.9133*0.04*0.0*0.04*0.0*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Semester 2 2016*2016-07-01*2016-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.09*-0.1**522069.74*740*0.0*5202919*true*9.9659*1.0*0.0*1.0*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Semester 2 2016*2016-07-01*2016-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.09*-0.1**426195.86*344*0.0*4276858*true*10.035*0.78*0.0*0.78*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Semester 2 2016*2016-07-01*2016-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.09*-0.1**256763.48*250*0.16*2455044*true*9.5615*1.0*0.0*1.0*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Semester 2 2016*2016-07-01*2016-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.09*-0.1**287928.71*198*0.16*2771658*true*9.6262*0.78*0.0*0.78*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Semester 2 2016*2016-07-01*2016-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.09*-0.1**486768.93*370*0.0*4951205*true*10.1716*0.4*0.0*0.4*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Semester 2 2016*2016-07-01*2016-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.09*-0.1**752773.74*462*0.16*7337057*true*9.7467*0.4*0.0*0.4*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Trimester 3 2016*2016-07-01*2016-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.09*0.0**460830.21*703*0.0*4833358*true*10.4884*0.5*0.0*0.5*0.04*-2.3*12.37*0.56*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
