fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GEF ALBORAN GLOBAL, FI*GEF ALBORAN GLOBAL, FI*87505053*Trimester 3 2016*2016-07-01*2016-09-30*4973*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.11*0.04**268927.68785*69*0.0*2686326*false*9.989*0.33*0.01*0.34*0.03*0.15*1.42*0.44*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0141176000
GEF ALBORAN GLOBAL, FI*GEF ALBORAN GLOBAL, FI*87505053*Semester 1 2016*2016-01-01*2016-06-30*4973*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.0*0.17**283102.293014*57*0.0*2823757*false*9.9743*0.42*0.0*0.42*0.03*-0.21*1.68*0.53*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0141176000
GEF ALBORAN GLOBAL, FI*GEF ALBORAN GLOBAL, FI*87505053*Trimester 1 2016*2016-01-01*2016-03-31*4973*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.0*0.09**30000.0*1*0.0*299873*false*9.9958*0.04*0.0*0.04*0.0*-0.04*0.03*0.13*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0141176000
GEF ALBORAN GLOBAL, FI*GEF ALBORAN GLOBAL, FI*87505053*Semester 2 2017*2017-07-01*2017-12-31*4973*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.22*0.27**264363.692819*110*0.0*2669939*false*10.0995*0.66*0.09*0.75*0.05*-0.2*2.15*0.49*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0141176000
GEF ALBORAN GLOBAL, FI*GEF ALBORAN GLOBAL, FI*87505053*Trimester 3 2017*2017-07-01*2017-09-30*4973*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.17*0.29**294097.042202*113*0.0*2976128*false*10.1195*0.33*0.1*0.43*0.02*1.1*2.56*0.47*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0141176000
GEF ALBORAN GLOBAL, FI*GEF ALBORAN GLOBAL, FI*87505053*Semester 1 2017*2017-01-01*2017-06-30*4973*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.58*0.36**316633.234677*115*0.0*3169434*false*10.0098*0.64*0.0*0.64*0.05*-0.64*1.51*0.44*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0141176000
GEF ALBORAN GLOBAL, FI*GEF ALBORAN GLOBAL, FI*87505053*Trimester 1 2017*2017-01-01*2017-03-31*4973*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.32*0.44**310796.680823*116*0.0*3131080*false*10.0744*0.32*0.06*0.38*0.02*0.76*1.57*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0141176000
GEF ALBORAN GLOBAL, FI*GEF ALBORAN GLOBAL, FI*87505053*Semester 2 2018*2018-07-01*2018-12-31*4973*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.17*0.25**275909.411435*111*0.0*2569039*false*9.3112*0.65*0.0*0.65*0.05*-6.74*8.27*0.58*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0141176000
GEF ALBORAN GLOBAL, FI*GEF ALBORAN GLOBAL, FI*87505053*Trimester 3 2018*2018-07-01*2018-09-30*4973*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.06*0.25**275444.390612*112*0.0*2750177*false*9.9845*0.33*0.0*0.33*0.02*-0.05*2.27*0.52*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0141176000
GEF ALBORAN GLOBAL, FI*GEF ALBORAN GLOBAL, FI*87505053*Semester 1 2018*2018-01-01*2018-06-30*4973*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.97*0.25**280212.034954*113*0.0*2799155*false*9.9894*0.64*0.0*0.64*0.05*-0.73*3.09*0.47*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0141176000
GEF ALBORAN GLOBAL, FI*GEF ALBORAN GLOBAL, FI*87505053*Trimester 1 2018*2018-01-01*2018-03-31*4973*gestora@renta4.es*NA*7, de una escala del 1 al 7*0.52*0.25**270597.088113*110*0.0*2723051*false*10.0631*0.32*0.0*0.32*0.02*-0.36*5.3*0.48*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0141176000
