fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Trimester 3 2014*2014-07-01*2014-09-30*4672*N/D*ND*6 (en una escala del 1 al 7)*0.0*0.22**4428454.97*2*0.0*48700565*false*10.9972*0.1*0.0*0.1*0.01*2.0*9.51*0.11*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Semester 1 2014*2014-01-01*2014-06-30*4672*N/D*ND*6 (en una escala del 1 al 7)*0.02*0.36**2631747.07*2*0.0*28373693*false*10.7813*0.2*0.0*0.2*0.02*4.84*0.0*0.11*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Trimester 1 2014*2014-01-01*2014-03-31*4672*N/D*ND*6 (en una escala del 1 al 7)*0.02*0.38**2631747.07*2*0.0*27063712*false*10.2836*0.1*0.0*0.1*0.01*0.75*0.0*0.11*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Semester 2 2013*2013-07-01*2013-12-31*4672*N/D*ND*6 (en una escala del 1 al 7)*0.0*0.12**2631747.07*2*0.0*26862227*false*10.207*0.04*0.0*0.04*0.01***0.06*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Trimester 3 2015*2015-07-01*2015-09-30*4672*N/D*ND*6 (en una escala del 1 al 7)*0.08*0.0**4441475.31*100*0.0*47293021*false*10.648*0.1*0.0*0.1*0.01*-6.36*20.98*0.12*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Semester 1 2015*2015-01-01*2015-06-30*4672*N/D*ND*6 (en una escala del 1 al 7)*0.17*0.25**4441206.14*103*0.0*50501262*false*11.3711*0.2*0.0*0.2*0.02*0.85*10.22*0.12*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Trimester 1 2015*2015-01-01*2015-03-31*4672*N/D*ND*6 (en una escala del 1 al 7)*0.16*0.31**4441206.32*105*0.0*50073686*false*11.2748*0.1*0.0*0.1*0.01*-0.78*14.61*0.12*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Semester 2 2014*2014-07-01*2014-12-31*4672*N/D*ND*6 (en una escala del 1 al 7)*0.04*0.25**4428464.23*104*0.0*50324195*false*11.3638*0.2*0.0*0.2*0.03*3.33*13.87*0.13*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Semester 2 2016*2016-07-01*2016-12-31*4672*N/D*ND*6 (en una escala del 1 al 7)*0.0*0.0**20549855.47*202*0.0*255884632*false*12.4519*0.2*0.0*0.2*0.03*3.35*8.32*0.11*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Trimester 3 2016*2016-07-01*2016-09-30*4672*N/D*ND*6 (en una escala del 1 al 7)*0.0*0.0**20550295.38*203*0.0*247593633*false*12.0482*0.1*0.0*0.1*0.01*3.2*9.14*0.11*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Semester 1 2016*2016-01-01*2016-06-30*4672*N/D*ND*6 (en una escala del 1 al 7)*0.0*0.09**4617327.52*100*0.0*53905952*false*11.6747*0.2*0.0*0.2*0.02*1.77*13.3*0.12*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
