fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*"Compositum
                Gestion F.I."*61812582*Semester 2 2009*2009-07-01*2009-12-31*1714*info@gvcgaesco.es*AA+*medio-alto*0.76*0.6**707986.37*103*0.0*4919792*false*6.949***0.25*0.05*3.65*7.71*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*"Compositum
                Gestion F.I."*61812582*Trimester 3 2009*2009-07-01*2009-09-30*1714*info@gvcgaesco.es*AA+*medio-alto*0.26*0.24**715111.23*99*0.0*4794210*false*6.7041***0.13*0.02*10.62*10.55*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*"Compositum
                Gestion F.I."*61812582*Semester 1 2009*2009-01-01*2009-06-30*1714*info@gvcgaesco.es*AA+*medio-alto*0.73*0.12**728094.14*98*0.0*4412446*false*6.0603***0.25*0.05*3.34*13.89*0.17*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 2 2010*2010-07-01*2010-12-31*1714*info@gvcgaesco.es*AA+*medio-alto*0.17*0.6**678381.79*105*0.0*4869469*false*7.1781***0.25*0.05*5.7*6.83*0.17*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Trimester 3 2010*2010-07-01*2010-09-30*1714*info@gvcgaesco.es*AA+*medio-alto*0.06*0.48**682918.71*102*0.0*4637499*false*6.7907***0.13*0.03*0.81*7.23*0.15*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 1 2010*2010-01-01*2010-06-30*1714*info@gvcgaesco.es*AA+*medio-alto*0.36*0.48**692785.04*102*0.0*4666646*false*6.7361***0.25*0.05*-5.71*12.05*0.16*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*"Compositum
                Gestion F.I."*61812582*Trimester 1 2010*2010-01-01*2010-03-31*1714*info@gvcgaesco.es*AA+*medio-alto*0.21*0.12**699874.13*102*0.0*4999796*false*7.1438***0.12*0.02*2.8*8.68*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 2 2011*2011-07-01*2011-12-31*1714*info@gvcgaesco.es*AA+*Alto*0.56*0.7**650992.76*103*0.0*4064682*false*6.2438*0.25*0.0*0.25*0.05*3.13*11.1*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Trimester 3 2011*2011-07-01*2011-09-30*1714*info@gvcgaesco.es*AA+*Alto*0.15*0.77**655758.43*103*0.0*3970202*false*6.0544***0.13*0.03*-11.79*15.08*0.17*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 1 2011*2011-01-01*2011-06-30*1714*info@gvcgaesco.es*AA+*Alto*0.17*0.84**671510.42*103*0.0*4608862*false*6.8634***0.25*0.05*-2.32*7.24*0.17*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Trimester 1 2011*2011-01-01*2011-03-31*1714*info@gvcgaesco.es*AA+*medio-alto*0.12*0.6**676069.79*105*0.0*4750445*false*7.0266***0.12*0.02*-2.11*7.33*0.17*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Trimester 3 2012*2012-07-01*2012-09-30*1714*info@gvcgaesco.es*A+*Alto*0.84*0.0**628687.98*102*0.0*4140655*false*6.5862*0.13*0.0*0.13*0.03*2.27*5.68*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
