fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Semester 2 2009*2009-07-01*2009-12-31*2470*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.33*0.84**1817327.78*758*0.0*8666895*false*4.769***1.13*0.02*0.41*11.24*0.61*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Trimester 3 2009*2009-07-01*2009-09-30*2470*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.0*1.09**1771371.61*750*0.0*8421854*false*4.7497***0.57*0.01*-2.27*14.63*0.63*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Semester 1 2009*2009-01-01*2009-06-30*2470*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.0*1.09**1753577.05*727*0.0*8516440*false*4.8602***1.12*0.02*17.19*44.11*0.29*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Semester 2 2010*2010-07-01*2010-12-31*2470*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.29*0.7**1839770.94*721*0.0*8567730*false*4.657***1.13*0.03*9.5*12.37*0.59*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Trimester 3 2010*2010-07-01*2010-09-30*2470*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.24*0.57**1890926.6*780*0.0*8037114*false*4.2528***0.57*0.01*-3.1*17.18*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Semester 1 2010*2010-01-01*2010-06-30*2470*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.5*0.5**1924384.31*808*0.0*8445756*false*4.3888***1.12*0.02*-14.9*19.66*0.6*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Trimester 1 2010*2010-01-01*2010-03-31*2470*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.05*0.51**1835000.05*758*0.0*9479314*false*5.1571***0.55*0.01*8.14*14.82*0.58*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Trimester 3 2011*2011-07-01*2011-09-30*2470*FondosdeInversion@cajalaboral.es*A*Alto*0.04*1.36**1790218.03*630*0.0*6892937*false*3.8503***0.57*0.01*-11.94*18.51*0.59*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Semester 1 2011*2011-01-01*2011-06-30*2470*FondosdeInversion@cajalaboral.es*A*riesgo alto*0.1*1.04**1794040.69*639*0.0*7843958*false*4.3722***1.12*0.02*-1.98*12.22*0.58*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Trimester 1 2011*2011-01-01*2011-03-31*2470*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.0*0.99**1790749.6*649*0.0*7987582*false*4.4605***0.55*0.01*-4.22*30.76*0.58*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Semester 2 2010*2010-07-01*2010-12-31*2470*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.29*0.7**1839770.94*721*0.0*8567730*false*4.657***1.13*0.03*9.5*12.37*0.59*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japï¿½n, FI*20729596*Semester 2 2012*2012-07-01*2012-12-31*2470*FondosdeInversion@cajalaboral.es*BBB*7 (En una escala del 1 al 7) *0.19*0.33**1688050.79*505*0.0*7141509*false*4.2306*1.13*0.0*1.13*0.03*13.6*12.37*0.87*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Trimester 3 2012*2012-07-01*2012-09-30*2470*FondosdeInversion@cajalaboral.es*BBB*Alto*0.04*0.41**1754177.23*528*0.0*6532736*false*3.7241*0.57*0.0*0.57*0.01*-4.02*13.89*0.89*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Semester 1 2012*2012-01-01*2012-06-30*2470*FondosdeInversion@cajalaboral.es*BBB*Alto*0.05*1.02**1750403.3*551*0.0*6791473*false*3.8799*1.12*0.0*1.12*0.02*-10.57*16.84*0.9*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Trimester 1 2012*2012-01-01*2012-03-31*2470*FondosdeInversion@cajalaboral.es*BBB+*Alto*0.03*1.15**1751626.64*579*0.0*7599606*false*4.3386*0.56*0.0*0.56*0.01*16.78*12.61*0.9*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japï¿½n, FI*20729596*Semester 2 2013*2013-07-01*2013-12-31*2470*FondosdeInversion@cajalaboral.es*BBB*7 (En una escala del 1 al 7) *0.19*0.25**1007233.14*572*0.0*5837481*false*5.7956*1.13*0.0*1.13*0.03*6.91*12.61*0.79*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Trimester 3 2013*2013-07-01*2013-09-30*2470*FondosdeInversion@cajalaboral.es*BBB*7 (En una escala del 1 al 7) *0.26*0.25**962994.57*574*0.0*5217357*false*5.4209*0.57*0.0*0.57*0.01*4.51*19.64*0.81*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Semester 1 2013*2013-01-01*2013-06-30*2470*FondosdeInversion@cajalaboral.es*BBB*7 (En una escala del 1 al 7) *0.1*0.25**939155.01*560*0.0*4871338*false*5.1869*1.12*0.0*1.12*0.02*6.7*29.47*0.83*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Trimester 1 2013*2013-01-01*2013-03-31*2470*FondosdeInversion@cajalaboral.es*BBB*7 (En una escala del 1 al 7) *0.11*0.25**882992.65*511*0.0*4292345*false*4.8611*0.56*0.0*0.56*0.01*14.9*13.42*0.8*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
