fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SMART US EQUITIES, FI*NB BOLSA INDICE 65, FI*86954187*Semester 2 2014*2014-07-01*2014-12-31*4718*info@novobanco.es*B2 (Moody's)*2 en una escala del 1 al 7*0.0*1.52**964093.23*301*0.0*9691581*false*10.0525*0.5*0.0*0.5*0.02*-0.98*9.51*0.28*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*ESAF BOLSA INDICE 65, FI*86954187*Trimester 3 2014*2014-07-01*2014-09-30*4718*info@grupobes.es*B2 (Moody's)*2 en una escala del 1 al 7*0.0*1.52**1160551.88*359*0.0*11782246*false*10.1523*0.25*0.0*0.25*0.01*-0.81*7.85*0.27*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*ESAF BOLSA INDICE 65, FI*86954187*Semester 1 2014*2014-01-01*2014-06-30*4718*info@grupobes.es*Ba3 (Moody's)*2 en una escala del 1 al 7*0.3*1.28**1177031.55*367*0.0*12047445*false*10.2354*0.36*0.0*0.36*0.02*2.32*6.09*0.26*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*ESAF BOLSA INDICE 65, FI*86954187*Trimester 1 2014*2014-01-01*2014-03-31*4718*info@grupobes.es*Ba3 (Moody's)*2 en una escala del 1 al 7*0.0*0.94**1095416.89*347*0.0*10957481*false*10.003*0.06*0.0*0.06*0.01***0.07*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA INDICE 65, FI*86954187*Trimester 3 2015*2015-07-01*2015-09-30*4718*info@gruponovobanco.es*B2 (Moody's)*2 en una escala del 1 al 7*0.0*1.53**835230.44*244*0.0*7930088*false*9.4945*0.25*0.0*0.25*0.01*-7.91*10.19*0.27*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA INDICE 65, FI*86954187*Semester 1 2015*2015-01-01*2015-06-30*4718*info@novobanco.es*B2 (Moody's)*2 en una escala del 1 al 7*0.07*1.49**838375.83*245*0.0*8643634*false*10.31*0.47*0.0*0.47*0.02*-4.89*9.06*0.26*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA INDICE 65, FI*86954187*Trimester 1 2015*2015-01-01*2015-03-31*4718*info@novobanco.es*B2 (Moody's)*2 en una escala del 1 al 7*0.0*1.48**962177.25*300*0.0*10429580*false*10.8396*0.24*0.0*0.24*0.01*7.83*8.28*0.26*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA INDICE 65, FI*86954187*Semester 2 2014*2014-07-01*2014-12-31*4718*info@novobanco.es*B2 (Moody's)*2 en una escala del 1 al 7*0.0*1.52**964093.23*301*0.0*9691581*false*10.0525*0.5*0.0*0.5*0.02*-0.98*9.51*0.28*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Semester 2 2016*2016-07-01*2016-12-31*4718*info@gruponovobanco.es*Caa1 (Moody's)*2 en una escala del 1 al 7*0.44*1.51**577120.28*184*0.0*5182739*false*8.9803*0.5*0.0*0.5*0.03*3.35*3.5*0.3*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Trimester 3 2016*2016-07-01*2016-09-30*4718*info@gruponovobanco.es*Caa1 (Moody's)*2 en una escala del 1 al 7*0.38*1.51**612224.96*196*0.0*5319650*false*8.689*0.25*0.0*0.25*0.01*2.73*3.32*0.3*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Semester 1 2016*2016-01-01*2016-06-30*4718*info@gruponovobanco.es*Caa1 (Moody's)*2 en una escala del 1 al 7*0.6*1.53**615724.72*195*0.0*5207825*false*8.458*0.5*0.0*0.5*0.02*-0.17*7.87*0.3*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, F.I.*86954187*Trimester 1 2016*2016-01-01*2016-03-31*4718*info@gruponovobanco.es*Caa1 (Moody's)*2 en una escala del 1 al 7*0.16*1.5**807547.79*232*0.0*6841756*false*8.4723*0.25*0.0*0.25*0.01*-2.64*8.85*0.29*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Trimester 3 2017*2017-07-01*2017-09-30*4718*info@gruponovobanco.es*NR (S&P)*2 en una escala del 1 al 7*0.42*1.52**489977.78*156*0.0*4459037*false*9.1005*0.25*0.0*0.25*0.01*-1.29*4.38*0.3*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Semester 1 2017*2017-01-01*2017-06-30*4718*info@gruponovobanco.es*Caa1 (Moody's)*2 en una escala del 1 al 7*0.08*1.49**489977.78*156*0.0*4517255*false*9.2193*0.5*0.0*0.5*0.02*-0.3*4.7*0.3*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Trimester 1 2017*2017-01-01*2017-03-31*4718*info@gruponovobanco.es*Caa1 (Moody's)*2 en una escala del 1 al 7*0.0*1.49**574120.7*183*0.0*5308677*false*9.2466*0.25*0.0*0.25*0.01*2.97*2.84*0.29*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Semester 2 2016*2016-07-01*2016-12-31*4718*info@gruponovobanco.es*Caa1 (Moody's)*2 en una escala del 1 al 7*0.44*1.51**577120.28*184*0.0*5182739*false*8.9803*0.5*0.0*0.5*0.03*3.35*3.5*0.3*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
