fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 2 2009*2009-07-01*2009-12-31*2996*pbp@privatbank.es*AA (S&P)*Muy Alto*0.0*0.27**684764.63*100*0.0*3151480*false*4.6023***0.49*0.05*-3.12*3.12*0.4*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 3 2009*2009-07-01*2009-09-30*2996*pbp@privatbank.es*AA (S&P)*Muy Alto*0.06*0.25**40083.33*100*0.0*190416*false*4.7505***0.25*0.03*2.71*1.89*0.71*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 1 2009*2009-01-01*2009-06-30*2996*pbp@privatbank.es*AA (S&P)*Muy Alto*0.0*0.77**47884.0*100*0.0*221463*false*4.625***0.5*0.05*5.88*8.01*0.39*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 2 2010*2010-07-01*2010-12-31*2996*pbp@privatbank.es*AA (S&P)*Muy Alto*4.63*0.27**862535.45*100*0.0*4021085*false*4.6619***0.25*0.05*2.12*1.75*0.18*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 3 2010*2010-07-01*2010-09-30*2996*pbp@privatbank.es*AA (S&P)*Muy Alto*2.27*0.21**862535.45*100*0.0*3937576*false*4.5651***0.13*0.03*9.21*3.86*0.19*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 1 2010*2010-01-01*2010-06-30*2996*pbp@privatbank.es*AA (S&P)*Muy Alto*2.04*0.15**796453.29*101*0.0*3329397*false*4.1803***0.33*0.05*-8.95*11.91*0.18*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 1 2010*2010-01-01*2010-03-31*2996*pbp@privatbank.es*AA (S&P)*Muy Alto*0.76*0.21**749728.26*101*0.0*3442084*false*4.5911***0.2*0.02*-0.24*2.56*0.25*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 3 2011*2011-07-01*2011-09-30*2996*pbp@privatbank.es*AA (S&P)*Muy Alto*0.35*0.32**843972.85*102*0.0*3437679*false*4.0732***0.13*0.03*-11.17*8.89*0.19*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 1 2011*2011-01-01*2011-06-30*2996*pbp@privatbank.es*AA (S&P)*Muy Alto*2.18*0.36**862544.01*103*0.0*3955097*false*4.5854***0.25*0.05*-0.46*2.43*0.18*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 1 2011*2011-01-01*2011-03-31*2996*pbp@privatbank.es*AA (S&P)*Muy Alto*1.72*0.15**862535.45*100*0.0*3973467*false*4.6067***0.12*0.02*-1.18*2.05*0.19*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 2 2010*2010-07-01*2010-12-31*2996*pbp@privatbank.es*AA (S&P)*Muy Alto*4.63*0.27**862535.45*100*0.0*4021085*false*4.6619***0.25*0.05*2.12*1.75*0.18*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 2 2012*2012-07-01*2012-12-31*2996*pbp@privatbank.es*AA- (S&P)*5 en una escala del 1 al 7*0.0*0.05**12776.46*100*0.0*50518*false*3.954*0.25*0.0*0.25*0.05*-2.44*0.78*1.73*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
