fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO*50847847*Semester 2 2009*2009-07-01*2009-12-31*2243*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Alto*0.19*0.91**367697.44*602*0.0*4472859*false*12.1645***0.96*0.1*-1.79*17.83*0.55*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO*50847847*Trimester 3 2009*2009-07-01*2009-09-30*2243*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Alto*0.25*0.91**370444.43*592*0.0*4588515*false*12.3865***0.48*0.05*26.04*18.11*0.56*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO*50847847*Semester 1 2009*2009-01-01*2009-06-30*2243*participes.ibercajagestion@ibercaja.net*A2*Alto*0.5*1.22**247799.3*430*0.0*2435203*false*9.8273***0.94*0.1*28.13*26.09*0.57*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO*50847847*Semester 2 2010*2010-07-01*2010-12-31*2243*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Alto*0.26*0.91**224947.99*385*0.0*2959854*false*13.1579***0.96*0.1*8.34*10.84*0.56*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO*50847847*Trimester 3 2010*2010-07-01*2010-09-30*2243*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Alto*0.17*0.91**242704.51*405*0.0*2947576*false*12.1447***0.48*0.05*6.69*15.17*0.56*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO*50847847*Semester 1 2010*2010-01-01*2010-06-30*2243*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Alto*0.03*0.9**274317.82*445*0.0*3102528*false*11.3829***0.94*0.1*-8.76*27.5*0.55*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO*50847847*Trimester 1 2010*2010-01-01*2010-03-31*2243*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Alto*0.0*0.9**321139.47*493*0.0*4006300*false*12.4753***0.47*0.05*2.55*13.43*0.54*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 3 2011*2011-07-01*2011-09-30*2243*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Alto*0.14*1.47**229759.98*399*0.0*2570312*false*11.1869*[]*[]*0.48*0.05*-18.36*29.07*0.56*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 3 2011*2011-07-01*2011-09-30*2243*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Alto*0.14*1.47**0.42*1*0.0*5*false*11.2869*[]*[]*0.0*0.0*-17.87*28.89*0.0*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 1 2011*2011-01-01*2011-06-30*2243*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Alto*0.0*1.04**246999.68*421*0.0*3384478*false*13.7024*[]*[]*0.94*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 1 2011*2011-01-01*2011-06-30*2243*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Alto*0.0*1.04**0.42*1*0.0*6*false*13.7426*[]*[]*0.0*0.0*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
