fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 2 2009*2009-07-01*2009-12-31*1508*info@gvcgaesco.es*AA+*Moderado*0.81*0.36**763237.84*179*0.0*7668728*false*10.0476***0.5*0.05*1.37*5.59*0.58*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 3 2009*2009-07-01*2009-09-30*1508*info@gvcgaesco.es*AA+*Moderado*0.22*0.24**770352.22*185*0.0*7635362*false*9.9115***0.25*0.02*8.5*7.9*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*NOVAFONDISA, FI*61685194*Semester 1 2009*2009-01-01*2009-06-30*1508*atencionalcliente@gesiuris.com*AA (IBCA)*Moderado*0.26*0.94**816970.0*178*0.0*7463231*false*9.1353***0.5*0.05*10.66*8.52*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 2 2010*2010-07-01*2010-12-31*1508*info@gvcgaesco.es*AA+*Moderado*0.89*0.98**724205.04*164*0.0*7278291*false*10.05***0.5*0.05*3.21*8.67*0.32*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 3 2010*2010-07-01*2010-09-30*1508*info@gvcgaesco.es*AA+*Moderado*0.62*1.12**761062.21*167*0.0*7411172*false*9.7379***0.25*0.03*4.3*9.14*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 1 2010*2010-01-01*2010-06-30*1508*info@gvcgaesco.es*AA+*Moderado*1.34*0.72**765325.59*171*0.0*7145637*false*9.3367***0.5*0.06*-6.5*21.31*0.33*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 1 2010*2010-01-01*2010-03-31*1508*info@gvcgaesco.es*AA+*Moderado*0.5*0.36**761115.16*175*0.0*7599982*false*9.9853***0.25*0.03*-0.62*9.34*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 2 2011*2011-07-01*2011-12-31*1508*info@gvcgaesco.es*AA+*Moderado*1.05*1.52**687307.89*149*0.0*5966499*false*8.681*0.5*0.0*0.5*0.05*2.5*17.97*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 3 2011*2011-07-01*2011-09-30*1508*info@gvcgaesco.es*AA+*Moderado*0.47*1.32**709914.72*155*0.0*6012310*false*8.4691***0.25*0.03*-16.08*20.62*0.32*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 1 2011*2011-01-01*2011-06-30*1508*info@gvcgaesco.es*AA+*Moderado*1.67*0.89**711118.25*158*0.0*7176597*false*10.092***0.5*0.05*-0.16*9.02*0.34*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 1 2011*2011-01-01*2011-03-31*1508*info@gvcgaesco.es*AA+*Moderado*0.92*0.87**713878.01*157*0.0*7216297*false*10.1086***0.25*0.02*0.58*8.81*0.33*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
