fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
LABORAL KUTXA FUTUR, FI*LABORAL KUTXA FUTUR, FI*75192286*Semester 2 2018*2018-07-01*2018-12-31*5250*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.15*0.0**4582662.96*1838*0.0*25201364*false*5.4993*0.85*0.0*0.85*0.05*-13.23*16.54*0.66*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0142529009
LABORAL KUTXA FUTUR, FI*LABORAL KUTXA FUTUR, FI*75192286*Trimester 3 2018*2018-07-01*2018-09-30*5250*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.19*0.0**3629797.32*1588*0.0*23006028*false*6.3381*0.43*0.0*0.43*0.03*2.38*6.5*0.65*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0142529009
LABORAL KUTXA FUTUR, FI*LABORAL KUTXA FUTUR, FI*75192286*Semester 1 2018*2018-01-01*2018-06-30*5250*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.38*0.0**2329831.83*1077*0.0*14423690*false*6.1909*0.55*0.0*0.55*0.03*3.36*7.91*0.63*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0142529009
LABORAL KUTXA FUTUR, FI*LABORAL KUTXA FUTUR, FI*75192286*Trimester 1 2018*2018-01-01*2018-03-31*5250*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.0*0.0**50000.0*1*0.0*299477*false*5.9895*0.07*0.0*0.07*0.0***0.17*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0142529009
LABORAL KUTXA FUTUR, FI*LABORAL KUTXA FUTUR, FI*75192286*Semester 2 2019*2019-07-01*2019-12-31*5250*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.06*0.0**8550437.27*4289*0.0*58548030*false*6.8474*0.86*0.0*0.86*0.05*7.73*8.95*0.66*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0142529009
LABORAL KUTXA FUTUR, FI*LABORAL KUTXA FUTUR, FI*75192286*Trimester 3 2019*2019-07-01*2019-09-30*5250*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.0*0.0**7707593.97*3827*0.0*48990234*false*6.3561*0.43*0.0*0.43*0.03*-0.01*10.95*0.66*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0142529009
LABORAL KUTXA FUTUR, FI*LABORAL KUTXA FUTUR, FI*75192286*Semester 1 2019*2019-01-01*2019-06-30*5250*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.0*0.0**7103167.38*3448*0.0*45154203*false*6.3569*0.84*0.0*0.84*0.05*1.87*9.01*0.65*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0142529009
LABORAL KUTXA FUTUR, FI*LABORAL KUTXA FUTUR, FI*75192286*Trimester 1 2019*2019-01-01*2019-03-31*5250*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.0*0.0**5610299.76*2484*0.0*35009581*false*6.2402*0.42*0.0*0.42*0.02*13.47*9.47*0.65*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0142529009
LABORAL KUTXA FUTUR, FI*LABORAL KUTXA FUTUR, FI*75192286*Semester 2 2020*2020-07-01*2020-12-31*5250*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.28*-0.26**12682666.67*5592*0.0*100446142*false*7.92*0.85*0.0*0.85*0.05*10.06*10.58*0.67*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0142529009
LABORAL KUTXA FUTUR, FI*LABORAL KUTXA FUTUR, FI*75192286*Trimester 3 2020*2020-07-01*2020-09-30*5250*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.3*-0.13**11206546.8*5045*0.0*80639858*false*7.1958*0.43*0.0*0.43*0.03*6.54*12.42*0.67*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0142529009
LABORAL KUTXA FUTUR, FI*LABORAL KUTXA FUTUR, FI*75192286*Semester 1 2020*2020-01-01*2020-06-30*5250*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.09*0.0**10527181.01*4866*0.0*71104073*false*6.7543*0.84*0.0*0.84*0.05*18.24*21.0*0.66*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0142529009
LABORAL KUTXA FUTUR, FI*LABORAL KUTXA FUTUR, FI*75192286*Trimester 1 2020*2020-01-01*2020-03-31*5250*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.09*0.0**9522142.04*4669*0.0*54392959*false*5.7123*0.42*0.0*0.42*0.02*-16.58*33.15*0.66*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0142529009
