fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MAGNUS INTERNATIONAL ALLOCATION, FI*DOLPHIN INVESTMENTS FUND FI*66850454*Semester 2 2016*2016-07-01*2016-12-31*5072*atencionalcliente@gesiuris.com*A3 (Moody's)*4*0.0*0.0**73974.47*6*0.0*733158*false*9.911*0.34*0.0*0.34*0.02*-0.89*1.17*0.76*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126969007
MAGNUS INTERNATIONAL ALLOCATION, FI*DOLPHIN INVESTMENTS FUND FI*66850454*Trimester 3 2016*2016-07-01*2016-09-30*5072*atencionalcliente@gesiuris.com*A3 (Moody's)*4 en una escala del 1 al 7*0.0*0.0**30000.0*1*0.0*300000*false*10.0*0.0*0.0*0.0*0.0***0.0*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126969007
MAGNUS INTERNATIONAL ALLOCATION, FI*DOLPHIN INVESTMENTS FUND FI*66850454*Semester 2 2017*2017-07-01*2017-12-31*5072*atencionalcliente@gesiuris.com*A3 (Moody's)*3 en una escala del 1 al 7.*0.75*0.0**299629.1*117*0.0*2944139*false*9.8259*0.6*0.0*0.6*0.04*-0.93*2.36*0.31*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126969007
MAGNUS INTERNATIONAL ALLOCATION, FI*DOLPHIN INVESTMENTS FUND FI*66850454*Trimester 3 2017*2017-07-01*2017-09-30*5072*atencionalcliente@gesiuris.com*A3 (Moody's)*3 en una escala del 1 al 7*0.33*0.0**303967.62*117*0.0*3014832*false*9.9183*0.3*0.0*0.3*0.02*-0.53*1.12*0.36*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126969007
MAGNUS INTERNATIONAL ALLOCATION, FI*DOLPHIN INVESTMENTS FUND FI*66850454*Semester 1 2017*2017-01-01*2017-06-30*5072*atencionalcliente@gesiuris.com*A3 (Moody's)*4 en una escala del 1 al 7*0.0*0.0**302505.81*28*0.0*3016317*false*9.9711*0.59*0.0*0.59*0.04*0.34*0.64*0.37*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126969007
MAGNUS INTERNATIONAL ALLOCATION, FI*DOLPHIN INVESTMENTS FUND FI*66850454*Trimester 1 2017*2017-01-01*2017-03-31*5072*atencionalcliente@gesiuris.com*A3 (Moody's)*4 en una escala del 1 al 7*0.0*0.0**179997.38*21*0.0*1788630*false*9.937*0.29*0.0*0.29*0.02*0.26*0.73*0.43*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126969007
MAGNUS INTERNATIONAL ALLOCATION, FI*MAGNUS INTERNATIONAL ALLOCATION FI*66850454*Semester 2 2018*2018-07-01*2018-12-31*5072*atencionalcliente@gesiuris.com*A2 (Moody's)*4 en una escala del 1 al 7,*0.23*-0.66**337260.2*96*0.0*3030447*false*8.9855*0.63*0.0*0.63*0.04***0.42*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126969007
MAGNUS INTERNATIONAL ALLOCATION, FI*DOLPHIN INVESTMENTS FUND FI*66850454*Trimester 3 2018*2018-07-01*2018-09-30*5072*atencionalcliente@gesiuris.com*A2 (Moody's)*3 en una escala del 1 al 7*0.01*-0.57**272213.45*65*0.0*2624285*false*9.6405*0.3*0.0*0.3*0.02*0.16*2.64*0.36*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126969007
MAGNUS INTERNATIONAL ALLOCATION, FI*DOLPHIN INVESTMENTS FUND FI*66850454*Semester 1 2018*2018-01-01*2018-06-30*5072*atencionalcliente@gesiuris.com*A2 (Moody's)*3 en una escala del 1 al 7.*0.0*-0.07**176975.0*61*0.0*1703426*false*9.6252*0.6*0.0*0.6*0.04*-0.69*2.82*0.37*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126969007
MAGNUS INTERNATIONAL ALLOCATION, FI*DOLPHIN INVESTMENTS FUND FI*66850454*Trimester 1 2018*2018-01-01*2018-03-31*5072*atencionalcliente@gesiuris.com*A3 (Moody's)*3 en una escala del 1 al 7*0.0*0.0**173809.44*112*0.0*1684616*false*9.6923*0.3*0.0*0.3*0.02*-1.36*3.69*0.35*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126969007
MAGNUS INTERNATIONAL ALLOCATION, FI*MAGNUS INTERNATIONAL ALLOCATION FI*66850454*Semester 2 2019*2019-07-01*2019-12-31*5072*atencionalcliente@gesiuris.com*A2 (Moody's)*4 en una escala del 1 al 7*0.14*-0.46**335245.66*109*0.0*3313488*false*9.8838*0.68*0.0*0.68*0.04*2.04*3.47*0.44*GESIURIS ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0126969007
