fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Semester 2 2015*2015-07-01*2015-12-31*4844*DWS.ES@DB.COM*Aa3*3*0.0*0.05**1024195.39*386*0.0*9739128*false*9.5091*0.76**0.76*0.03*7.91*14.87*0.55*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Trimester 3 2015*2015-07-01*2015-09-30*4844*DWS.ES@DB.COM*Aa3*3*0.0*0.1**1003050.33*378*0.0*8838739*false*8.8119*0.38**0.38*0.02*-8.54*24.01*0.55*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Semester 1 2015*2015-01-01*2015-06-30*4844*DWS.ES@DB.COM*Aa3*3*0.0*0.16**947173.58*337*0.0*9125596*false*9.6346*0.73**0.73*0.03*-3.56*13.57*0.56*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Trimester 1 2015*2015-01-01*2015-03-31*4844*DWS.ES@DB.COM*Aa3*3*0.0*0.21**398075.49*140*0.0*3976765*false*9.99*0.34**0.34*0.02***0.7*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Trimester 3 2016*2016-07-01*2016-09-30*4844*DWS.ES@DB.COM*Aa3*3*0.0*0.0**764983.96*311*0.0*7191895*false*9.4014*0.38**0.38*0.02*3.57*7.9*0.51*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Semester 1 2016*2016-01-01*2016-06-30*4844*DWS.ES@DB.COM*Aa3*3*0.0*0.0**850726.98*328*0.0*7722419*false*9.0774*0.75**0.75*0.03*1.65*11.45*0.5*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Trimester 1 2016*2016-01-01*2016-03-31*4844*DWS.ES@DB.COM*Aa3*3*0.0*0.0**946334.96*358*0.0*8451049*false*8.9303*0.37**0.37*0.01*-6.09*17.79*0.5*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Semester 2 2015*2015-07-01*2015-12-31*4844*DWS.ES@DB.COM*Aa3*3*0.0*0.05**1024195.39*386*0.0*9739128*false*9.5091*0.76**0.76*0.03*7.91*14.87*0.55*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Semester 2 2017*2017-07-01*2017-12-31*4844*DWS.ES@DB.COM*BBB+(S&p)*5*0.08*0.0**540587.95*235*0.0*5865945*false*10.851*0.76**0.76*0.03*3.33*7.4*0.52*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Trimester 3 2017*2017-07-01*2017-09-30*4844*DWS.ES@DB.COM*Aa3*3*0.0*0.0**535093.13*231*0.0*5619339*false*10.5016*0.38**0.38*0.02*0.52*8.15*0.51*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Semester 1 2017*2017-01-01*2017-06-30*4844*DWS.ES@DB.COM*Aa3*3*0.0*0.0**544910.75*242*0.0*5692869*false*10.4473*0.74**0.74*0.03*-1.64*6.89*0.5*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
