fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Trimester 3 2009*2009-07-01*2009-09-30*3591*gestora@fineco.com*AA  (S&P)*medio*0.21*0.22**4977486.94*157*0.0*40303252*true*8.0971***0.06*0.01*2.0*1.62*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Semester 1 2009*2009-01-01*2009-06-30*3591*gestora@fineco.com*AA  (S&P)*medio alto*0.0*0.96**4933834.82*156*0.0*39166412*true*7.9383***0.13*0.02*1.4*1.28*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Trimester 3 2010*2010-07-01*2010-09-30*3591*gestora@fineco.com*AA  (S&P)*medio*0.09*0.32**8538383.42*242*0.0*70461972*true*8.2524***0.06*0.01*0.87*1.12*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Semester 1 2010*2010-01-01*2010-06-30*3591*gestora@fineco.com*AA  (S&P)*medio*0.01*0.22**8054278.74*225*0.0*65891014*true*8.1809***0.12*0.02*-0.03*1.77*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Trimester 1 2010*2010-01-01*2010-03-31*3591*gestora@fineco.com*AA  (S&P)*medio*0.0*0.22**7374800.34*206*0.0*60347995*true*8.183***0.06*0.01*1.72*1.16*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Semester 2 2009*2009-07-01*2009-12-31*3591*gestora@fineco.com*AA  (S&P)*medio*0.27*0.25**5901057.99*164*0.15*47470265*true*8.0444***0.13*0.03*1.25*1.82*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Trimester 3 2011*2011-07-01*2011-09-30*3591*gestora@fineco.com*AA  (S&P)*medio*0.0*1.05**8168256.22*253*0.0*66383042*true*8.127***0.06*0.01*0.96*1.11*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Semester 1 2011*2011-01-01*2011-06-30*3591*gestora@fineco.com*AA  (S&P)*medio*0.0*0.76**7748594.41*232*0.0*62374584*true*8.0498***0.12*0.02*0.73*0.78*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Trimester 1 2011*2011-01-01*2011-03-31*3591*gestora@fineco.com*AA  (S&P)*medio*0.0*0.55**8150230.28*225*0.0*65135653*true*7.9919***0.06*0.01*-0.13*1.24*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Semester 2 2010*2010-07-01*2010-12-31*3591*gestora@fineco.com*AA  (S&P)*medio*0.06*0.44**8133700.02*229*0.25*65088986*true*8.0024***0.13*0.03*-0.02*1.1*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/A*95444667*Semester 2 2012*2012-07-01*2012-12-31*3591*gestora@fineco.com*AA- (S&P)*3 en una escala de 1 a 7*1.45*0.1**861265.96*110*0.0*6888052*false*7.9976*0.0*[]*0.0*0.04*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
