fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IGVF FI*IGVF FI*86359544*Semester 2 2011*2011-07-01*2011-12-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*0.01**60000.0*1*0.0*298961*false*4.9827*0.02**0.02*0.0****ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 3 2012*2012-07-01*2012-09-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.46*0.1**984775.13*5*0.0*4947883*false*5.0244*0.09**0.09*0.03*5.92*10.96*0.13*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 1 2012*2012-01-01*2012-06-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.96*0.23**984775.13*5*0.0*4671519*false*4.7437*0.17**0.17*0.05*-5.31*9.44*0.13*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 1 2012*2012-01-01*2012-03-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.93*0.22**562319.49*5*0.0*2817038*false*5.0097*0.09**0.09*0.02*0.54*4.1*0.14*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 2 2011*2011-07-01*2011-12-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*0.01**60000.0*1*0.0*298961*false*4.9827*0.02**0.02*0.0****ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 2 2013*2013-07-01*2013-12-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.81*0.06**988741.82*138*0.0*5916698*false*5.9841*0.17*1.12*1.29*0.05*5.82*7.12*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 3 2013*2013-07-01*2013-09-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.37*0.03**987728.06*138*0.0*5585745*false*5.6551*0.09*0.76*0.85*0.03*6.44*7.07*0.13*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 1 2013*2013-01-01*2013-06-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*1.33*0.03**987728.06*138*0.0*5248024*false*5.3132*0.17**0.17*0.05*-0.81*9.79*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 1 2013*2013-01-01*2013-03-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.69*0.03**986582.66*138*0.0*5284955*false*5.3568*0.08**0.08*0.02*2.12*7.29*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 3 2014*2014-07-01*2014-09-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.37*0.01**988720.77*136*0.0*6176030*false*6.2465*0.08*0.12*0.2*0.03*0.67*8.59*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 1 2014*2014-01-01*2014-06-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.74*0.13**988741.82*138*0.0*6135011*false*6.2049*0.16*0.17*0.33*0.05*2.54*7.17*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
