fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 3 2010*2010-07-01*2010-09-30*4254*gestora@fineco.com*AA  (S&P)*bajo/medio*0.0*0.24**602754.9*85*0.0*6042285*false*10.02*[]*[]*0.13*0.01*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 2 2011*2011-07-01*2011-12-31*4254*gestora@fineco.com*AA- (S&P)*bajo/medio*0.0*0.79**1487717.31*220*0.0*15179346*false*10.2*0.28*[]*0.28*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 2 2011*2011-07-01*2011-12-31*4254*gestora@fineco.com*AA- (S&P)*bajo/medio*0.0*0.79**5642333.57*142*0.0*57807817*false*10.25*0.13*[]*0.13*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 3 2011*2011-07-01*2011-09-30*4254*gestora@fineco.com*AA  (S&P)*bajo/medio*0.02*0.9**1458043.74*208*0.0*14845291*false*10.18*[]*[]*0.14*0.01*1.28*2.27*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 3 2011*2011-07-01*2011-09-30*4254*gestora@fineco.com*AA  (S&P)*bajo/medio*0.02*0.9**6085111.55*148*0.0*62166077*false*10.22*[]*[]*0.06*0.01*1.35*2.27*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 1 2011*2011-01-01*2011-06-30*4254*gestora@fineco.com*AA  (S&P)*bajo/medio*0.0*0.71**1438382.43*200*0.0*14460496*false*10.05*[]*[]*0.27*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 1 2011*2011-01-01*2011-06-30*4254*gestora@fineco.com*AA  (S&P)*bajo/medio*0.0*0.71**5701218.24*136*0.0*57466513*false*10.08*[]*[]*0.12*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 1 2011*2011-01-01*2011-03-31*4254*gestora@fineco.com*AA  (S&P)*bajo/medio*0.0*0.49**1087747.64*156*0.0*10864305*false*9.99*[]*[]*0.14*0.01*1.02*1.73*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 1 2011*2011-01-01*2011-03-31*4254*gestora@fineco.com*AA  (S&P)*bajo/medio*0.0*0.49**4913572.79*130*0.0*49168249*false*10.01*[]*[]*0.06*0.01*1.09*0.01*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 3 2012*2012-07-01*2012-09-30*4254*gestora@fineco.com*AA- (S&P)*bajo/medio*0.0*0.1**2052696.46*317*0.0*21664505*false*10.55*0.14*[]*0.14*0.01*2.89*2.49*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 3 2012*2012-07-01*2012-09-30*4254*gestora@fineco.com*AA- (S&P)*bajo/medio*0.0*0.1**6491763.98*187*0.0*68953660*false*10.62*0.06*[]*0.06*0.01*2.97*2.49*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
