fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
LORETO PREMIUM RENTA VARIABLE MIXTA, FI*LORETO PREMIUM RV MIXTA CL I*88137955*Trimester 3 2018*2018-07-01*2018-09-30*5289*info@loretoinversiones.com*A+*4 en una escala del 1 al 7.*0.0*0.0**20000.0*1*0.0*19907652*false*995.3826*0.03*[]*0.03*0.01*[]*[]*0.05*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA VARIABLE MIXTA, FI*LORETO PREMIUM RV MIXTA CL I*88137955*Trimester 3 2019*2019-07-01*2019-09-30*5289*info@loretoinversiones.com*A+*4 en una escala del 1 al 7.*1.19*-0.23**25022.58*1*0.0*24799845*false*991.0986*0.1*[]*0.1*0.02*0.91*9.5*0.12*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA VARIABLE MIXTA, FI*LORETO PREMIUM RV MIXTA CL R*88137955*Trimester 3 2019*2019-07-01*2019-09-30*5289*info@loretoinversiones.com*A+*4 en una escala del 1 al 7.*1.19*-0.23**234622.5*118*0.0*2391908*false*10.1947*0.2*[]*0.2*0.02*0.8*9.51*0.22*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA VARIABLE MIXTA, FI*LORETO PREMIUM RV MIXTA CL I*88137955*Semester 1 2019*2019-01-01*2019-06-30*5289*info@loretoinversiones.com*A+*4 en una escala del 1 al 7.*2.08*-0.25**20000.0*1*0.0*19643971*false*982.1985*0.2*[]*0.2*0.03*[]*[]*[]*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA VARIABLE MIXTA, FI*LORETO PREMIUM RV MIXTA CL R*88137955*Semester 1 2019*2019-01-01*2019-06-30*5289*info@loretoinversiones.com*A+*4 en una escala del 1 al 7.*2.08*-0.25**195445.14*102*0.0*1976605*false*10.1134*0.39*[]*0.39*0.03*[]*[]*[]*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA VARIABLE MIXTA, FI*LORETO PREMIUM RV MIXTA CL I*88137955*Trimester 1 2019*2019-01-01*2019-03-31*5289*info@loretoinversiones.com*A+*4 en una escala del 1 al 7.*0.95*-0.27**20000.0*1*0.0*19539637*false*976.9819*0.1*[]*0.1*0.02*5.54*8.08*0.12*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA VARIABLE MIXTA, FI*LORETO PREMIUM RV MIXTA CL R*88137955*Trimester 1 2019*2019-01-01*2019-03-31*5289*info@loretoinversiones.com*A+*4 en una escala del 1 al 7.*0.95*-0.27**90859.54*42*0.0*914926*false*10.0697*0.19*[]*0.19*0.02*5.44*8.08*0.22*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA VARIABLE MIXTA, FI*LORETO PREMIUM RV MIXTA CL I*88137955*Semester 2 2018*2018-07-01*2018-12-31*5289*info@loretoinversiones.com*A+*4 en una escala del 1 al 7.*0.75*0.0**20000.0*1*0.0*18513893*false*925.6947*0.13*[]*0.13*0.02*[]*[]*[]*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA VARIABLE MIXTA, FI*LORETO PREMIUM RV MIXTA CL R*88137955*Semester 2 2018*2018-07-01*2018-12-31*5289*info@loretoinversiones.com*A+*4 en una escala del 1 al 7.*0.75*0.0**14084.24*6*0.0*134511*false*9.5505*0.12*[]*0.12*0.01*[]*[]*[]*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA VARIABLE MIXTA, FI*LORETO PREMIUM RV MIXTA CL I*88137955*Semester 2 2020*2020-07-01*2020-12-31*5289*info@loretoinversiones.com*A+*5 en una escala del 1 al 7.*0.0*-0.32**45448.41*1*0.0*46127658*false*1014.9454*0.2*[]*0.2*0.04*[]*[]*[]*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
LORETO PREMIUM RENTA VARIABLE MIXTA, FI*LORETO PREMIUM RV MIXTA CL R*88137955*Semester 2 2020*2020-07-01*2020-12-31*5289*info@loretoinversiones.com*A+*5 en una escala del 1 al 7.*0.0*-0.32**364671.92*153*0.0*3788156*false*10.3878*0.4*[]*0.4*0.04*[]*[]*[]*LORETO INVERSIONES, SGIIC, SA*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
