fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 3 2009*2009-07-01*2009-09-30*1854*gestora@fineco.com*AA  (S&P)*medio alto*0.0*0.23**2783611.61*161*0.0*40377757*false*14.5055***0.13*0.03*4.55*4.66*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 1 2009*2009-01-01*2009-06-30*1854*gestora@fineco.com*AA  (S&P)*medio alto*0.01*0.89**3099496.97*162*0.0*43004154*false*13.8746***0.25*0.05*15.43*11.76*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 3 2010*2010-07-01*2010-09-30*1854*gestora@fineco.com*AA  (S&P)*medio alto*0.0*0.25**3801960.68*337*0.0*58830462*false*15.4737***0.19*0.03*3.09*3.73*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 1 2010*2010-01-01*2010-06-30*1854*gestora@fineco.com*AA  (S&P)*medio alto*0.0*0.22**3604900.6*313*0.0*54109781*false*15.0101***0.37*0.05*-0.16*8.37*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 1 2010*2010-01-01*2010-03-31*1854*gestora@fineco.com*AA  (S&P)*medio alto*0.0*0.23**3336784.77*275*0.0*50166747*false*15.0345***0.18*0.02*1.44*3.48*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 2 2009*2009-07-01*2009-12-31*1854*gestora@fineco.com*AA  (S&P)*medio alto*0.0*0.26**2827251.93*215*0.0*41903941*false*14.8214***0.27*0.05****G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 2 2011*2011-07-01*2011-12-31*1854*gestora@fineco.com*AA- (S&P)*alto*0.35*1.02**3098187.62*397*0.0*49093400*false*15.8458*0.38**0.38*0.05*7.19*19.63*0.23*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 3 2011*2011-07-01*2011-09-30*1854*gestora@fineco.com*AA  (S&P)*alto*0.0*1.09**3871648.2*423*0.0*57234480*false*14.783***0.19*0.03*-8.53*22.17*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 1 2011*2011-01-01*2011-06-30*1854*gestora@fineco.com*AA  (S&P)*alto*0.0*0.77**3855831.33*406*0.0*62313768*false*16.1609***0.37*0.05*1.42*2.36*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 1 2011*2011-01-01*2011-03-31*1854*gestora@fineco.com*AA  (S&P)*medio alto*0.0*0.56**3411401.07*334*0.0*54360159*false*15.9348***0.19*0.02*3.31*3.37*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 2 2012*2012-07-01*2012-12-31*1854*gestora@fineco.com*A-  (S&P)*alto*0.0*0.1**3535294.02*543*0.0*60812312*false*17.2015*0.38**0.38*0.05*0.92*0.83*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
