fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 2 2014*2014-07-01*2014-12-31*4660*marchgestion@marchgestion.com*Baa3 (Moody's)*6, en una escala del 1 al 7.*0.55*0.03**17807.07*204*0.0*15648078*false*878.7563*0.68*-0.19*0.49*0.04*0.69*8.6*0.37*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 3 2014*2014-07-01*2014-09-30*4660*marchgestion@marchgestion.com*Baa3 (Moody's)*6, en una escala del 1 al 7.*0.13*0.06**19717.68*211*0.0*17208613*false*872.7505*0.34*-0.23*0.11*0.02*-2.17*5.18*0.37*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 1 2014*2014-01-01*2014-06-30*4660*marchgestion@marchgestion.com*Baa3 (Moody's)*6, en una escala del 1 al 7.*0.3*0.22**19865.29*181*0.0*17722329*false*892.1256*0.65*0.46*1.11*0.04*2.66*3.98*0.37*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 1 2014*2014-01-01*2014-03-31*4660*marchgestion@marchgestion.com*Baa3 (Moody's)*6, en una escala del 1 al 7.*0.09*0.21**21404.91*161*0.0*18601358*false*869.0231*0.31*0.21*0.52*0.02*1.68*5.92*0.34*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 3 2015*2015-07-01*2015-09-30*4660*marchgestion@marchgestion.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.01*0.01**19570.36*292*0.0*16936414*false*865.4114*0.34*-0.59*-0.25*0.02*-7.91*11.69*0.37*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 1 2015*2015-01-01*2015-06-30*4660*marchgestion@marchgestion.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.87*-0.01**17857.48*251*0.0*16781126*false*939.7254*0.67*0.64*1.32*0.05*-2.29*6.68*0.37*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 1 2015*2015-01-01*2015-03-31*4660*marchgestion@marchgestion.com*Baa3 (Moody's)*6, en una escala del 1 al 7.*0.21*-0.01**17150.24*206*0.0*16494373*false*961.7576*0.33*0.88*1.21*0.02*9.45*6.24*0.36*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 2 2014*2014-07-01*2014-12-31*4660*marchgestion@marchgestion.com*Baa3 (Moody's)*6, en una escala del 1 al 7.*0.55*0.03**17807.07*204*0.0*15648078*false*878.7563*0.68*-0.19*0.49*0.04*0.69*8.6*0.37*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 2 2016*2016-07-01*2016-12-31*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.0*0.0**14306.89*271*0.0*13333895*false*931.9912*0.68*0.24*0.92*0.05*1.59*4.45*0.58*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 3 2016*2016-07-01*2016-09-30*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.0*0.0**13611.54*277*0.0*12487735*false*917.437*0.34*0.08*0.42*0.02*4.55*5.89*0.57*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 1 2016*2016-01-01*2016-06-30*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.39*0.0**13894.23*281*0.0*12191980*false*877.4849*0.67*0.0*0.67*0.05*-0.92*9.85*0.55*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
