fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*LORETO SUMA*87263802*Trimester 3 2015*2015-07-01*2015-09-30*4880*gesalcala@bancoalcala.com*NA*4 en una escala de 1 a 7*0.0*0.01**1009598.76*1*0.0*10058233*false*9.9626*0.1*0.0*0.1*0.02*-0.19*2.2*0.14*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*LORETO SUMA*87263802*Semester 1 2015*2015-01-01*2015-06-30*4880*gesalcala@bancoalcala.com*NA*4 en una escala de 1 a 7*0.0*0.0**30000.0*1*0.0*299451*false*9.9817*0.0**0.0*0.0***0.18*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*LORETO SUMA, FI*87263802*Semester 2 2016*2016-07-01*2016-12-31*4880*atencionalcliente@bancoalcala.com*NA*4 en una escala del 1 al 7*0.0*-2.93**1266267.79*105*0.0*12885360*false*10.1759*0.2*0.0*0.2*0.05*1.99*1.58*0.14*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*LORETO SUMA, FI*87263802*Trimester 3 2016*2016-07-01*2016-09-30*4880*atencionalcliente@bancoalcala.com*NA*4 en una escala del 1 al 7*0.0*-0.36**1180065.32*104*0.0*11773348*false*9.9769*0.1*0.0*0.1*0.03*0.24*2.44*0.13*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*LORETO SUMA, FI*87263802*Semester 1 2016*2016-01-01*2016-06-30*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.34*-0.12**1075993.7*101*0.0*10709438*false*9.9531*0.2*0.0*0.2*0.05*-0.35*3.07*0.14*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*LORETO SUMA, FI*87263802*Trimester 1 2016*2016-01-01*2016-03-31*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.26*-0.04**1023394.17*27*0.0*10221804*false*9.9881*0.1*0.0*0.1*0.02*0.22*3.81*0.14*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*LORETO SUMA, FI*87263802*Semester 2 2017*2017-07-01*2017-12-31*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.0*-8.27**1608446.49*106*0.0*16502915*false*10.2602*0.2*0.0*0.2*0.05*-0.09*1.24*0.14*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*LORETO SUMA, FI*87263802*Trimester 3 2017*2017-07-01*2017-09-30*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.0*-7.87**1663382.47*106*0.0*17082650*false*10.2698*0.1*0.0*0.1*0.03*0.13*1.66*0.15*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*LORETO SUMA, FI*87263802*Semester 1 2017*2017-01-01*2017-06-30*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.0*-6.58**1458395.36*105*0.0*14957566*false*10.2562*0.2*0.0*0.2*0.05*0.14*1.31*0.13*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*LORETO SUMA, FI*87263802*Trimester 1 2017*2017-01-01*2017-03-31*4880*atencionalcliente@bancoalcala.com*NA*4 en una escala del 1 al 7*0.01*-7.55**1318444.8*106*0.0*13502691*false*10.2414*0.1*0.0*0.1*0.02*0.64*0.96*0.13*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*ALCALA GESTION FLEXIBLE, FI*87263802*Trimester 3 2018*2018-07-01*2018-09-30*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.23*0.0**1538769.79*111*0.0*15714184*false*10.2122*0.1*0.0*0.1*0.03***0.13*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*LORETO SUMA, FI*87263802*Semester 1 2018*2018-01-01*2018-06-30*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.84*-7.04**1545222.66*101*0.0*15723595*false*10.1756*0.2*0.0*0.2*0.05*-0.67*2.66*0.14*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*LORETO SUMA, FI*87263802*Trimester 1 2018*2018-01-01*2018-03-31*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.0*-11.28**1568978.88*103*0.0*16073453*false*10.2445*0.1*0.0*0.1*0.02*-0.15*1.97*0.13*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*LORETO SUMA, FI*87263802*Semester 2 2017*2017-07-01*2017-12-31*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.0*-8.27**1608446.49*106*0.0*16502915*false*10.2602*0.2*0.0*0.2*0.05*-0.09*1.24*0.14*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*ALCALA GESTION FLEXIBLE SOSTEN*87263802*Semester 2 2019*2019-07-01*2019-12-31*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.57*-0.33**2510080.43*187*0.0*26190548*false*10.4341*0.2*0.0*0.2*0.05*1.32*2.48*0.17*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*ALCALA GESTION FLEXIBLE SOSTEN*87263802*Trimester 3 2019*2019-07-01*2019-09-30*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.79*-0.25**1626765.05*118*0.0*16751961*false*10.2977*0.1*0.0*0.1*0.03***0.19*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*ALCALA GESTION FLEXIBLE SOSTEN*87263802*Semester 1 2019*2019-01-01*2019-06-30*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.8*-1.26**1353586.05*103*0.0*13657439*false*10.0898*0.2*0.0*0.2*0.05*1.23*2.8*0.14*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*ALCALA GESTION FLEXIBLE, FI*87263802*Trimester 1 2019*2019-01-01*2019-03-31*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.68*-1.14**1363437.14*99*0.0*13589230*false*9.9669*0.1*0.0*0.1*0.02*3.09*3.19*0.13*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*ALCALA GESTION FLEXIBLE SOSTEN*87263802*Trimester 3 2020*2020-07-01*2020-09-30*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.27*0.0**2948522.15*218*0.0*30638887*false*10.3913*0.1*0.0*0.1*0.03*1.24*4.41*0.17*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*ALCALA GESTION FLEXIBLE SOSTEN*87263802*Semester 1 2020*2020-01-01*2020-06-30*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.33*-0.32**2915152.59*213*0.0*29920272*false*10.2637*0.2*0.0*0.2*0.05*3.34*10.53*0.17*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
CREAND GESTION FLEXIBLE SOSTENIBLE, FI*ALCALA GESTION FLEXIBLE SOSTEN*87263802*Trimester 1 2020*2020-01-01*2020-03-31*4880*gesalcala@bancoalcala.com*NA*4 en una escala del 1 al 7*0.16*-0.41**2797288.66*178*0.0*27782335*false*9.9319*0.1*0.0*0.1*0.02*-4.81*11.01*0.16*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0158577009
