fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER GENERACION 3, FI*S. Generaciï¿½n 3, F.I. - Clase A*87448791*Semester 2 2016*2016-07-01*2016-12-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.43*-0.3**20210.59*178*0.0*2101446*false*103.9775*0.31*[]*0.31*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase A*87448791*Trimester 3 2016*2016-07-01*2016-09-30*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.0*-0.22**8596.75*64*0.0*885606*false*103.0164*0.0*[]*0.0*0.0*2.16*6.58*0.0*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase B*87448791*Trimester 3 2016*2016-07-01*2016-09-30*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.0*-0.22**39999.55*67*0.0*4119565*false*102.9903*0.0*[]*0.0*0.0*2.16*6.58*0.0*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase R*87448791*Trimester 3 2016*2016-07-01*2016-09-30*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.0*-0.22**17736.75*28*0.0*1827176*false*103.0164*0.0*[]*0.0*0.0*2.16*6.58*0.0*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase A*87448791*Semester 1 2016*2016-01-01*2016-06-30*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.16*0.0**1428.91*6*0.0*144086*false*100.8364*0.0*[]*0.0*0.0*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase B*87448791*Semester 1 2016*2016-01-01*2016-06-30*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.16*0.0**4952.73*7*0.0*499289*false*100.8109*0.0*[]*0.0*0.0*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase R*87448791*Semester 1 2016*2016-01-01*2016-06-30*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.16*0.0**4830.77*9*0.0*487118*false*100.8364*0.0*[]*0.0*0.0*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generaciï¿½n 3, F.I. - Clase A*87448791*Semester 2 2017*2017-07-01*2017-12-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.53*-0.3**152247.59*1255*0.0*16239429*false*106.6646*0.55*[]*0.55*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generaciï¿½n 3, F.I. - Clase B*87448791*Semester 2 2017*2017-07-01*2017-12-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.53*-0.3**580887.94*1325*0.0*62103651*false*106.9116*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generaciï¿½n 3, F.I. - Clase R*87448791*Semester 2 2017*2017-07-01*2017-12-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.53*-0.3**378778.41*297*0.0*40495076*false*106.9097*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase A*87448791*Trimester 3 2017*2017-07-01*2017-09-30*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.36*-0.27**115923.93*1028*0.0*12467163*false*107.5461*0.28*[]*0.28*0.02*0.99*5.3*0.32*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
