fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 2 2009*2009-07-01*2009-12-31*509*FondosdeInversion@cajalaboral.es*A+*riesgo medio*0.0*0.96**2159526.54*2391*0.0*28396425*false*13.1494***1.01*0.1*0.7*2.75*0.59*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 3 2009*2009-07-01*2009-09-30*509*FondosdeInversion@cajalaboral.es*A+*riesgo medio*0.0*1.09**2101919.3*2343*0.0*27409205*false*13.0581***0.5*0.05*5.18*3.96*0.57*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 1 2009*2009-01-01*2009-06-30*509*FondosdeInversion@cajalaboral.es*A+*riesgo medio*0.01*0.77**2091196.62*2305*0.0*25965378*false*12.4151***0.99*0.1*7.74*10.69*0.27*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 2 2010*2010-07-01*2010-12-31*509*FondosdeInversion@cajalaboral.es*A+*riesgo medio*0.0*0.72**1932080.62*2263*0.0*24324470*false*12.5898***1.01*0.1*-2.57*6.5*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 3 2010*2010-07-01*2010-09-30*509*FondosdeInversion@cajalaboral.es*A+*riesgo medio*0.0*0.58**2048301.61*2357*0.0*26392992*false*12.9215***0.5*0.05*4.38*5.55*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 1 2010*2010-01-01*2010-06-30*509*FondosdeInversion@cajalaboral.es*A+*riesgo medio*0.0*0.5**2108854.69*2407*0.0*26109128*false*12.3798***0.99*0.1*-4.23*14.19*0.54*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 1 2010*2010-01-01*2010-03-31*509*FondosdeInversion@cajalaboral.es*A+*riesgo medio*0.02*0.49**2206035.98*2442*0.0*28501555*false*12.9265***0.49*0.05*-1.69*6.67*0.55*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 3 2011*2011-07-01*2011-09-30*509*FondosdeInversion@cajalaboral.es*A*Medio*0.14*1.35**1740818.86*2024*0.0*21463881*false*12.3583***0.5*0.05*-4.56*13.37*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 1 2011*2011-01-01*2011-06-30*509*FondosdeInversion@cajalaboral.es*A*riesgo medio*0.17*1.04**1805544.16*2068*0.0*23340405*false*12.9484***0.99*0.1*-0.23*6.32*0.55*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 1 2011*2011-01-01*2011-03-31*509*FondosdeInversion@cajalaboral.es*A+*riesgo medio*0.2*0.99**1859751.42*2142*0.0*24107144*false*12.9786***0.49*0.05*3.09*5.41*0.55*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 2 2010*2010-07-01*2010-12-31*509*FondosdeInversion@cajalaboral.es*A+*riesgo medio*0.0*0.72**1932080.62*2263*0.0*24324470*false*12.5898***1.01*0.1*-2.57*6.5*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
