fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*95044061*Semester 2 2009*2009-07-01*2009-12-31*1914*fondos@segurosbilbao.com*ND*Moderado*0.2*0.27**1396920.24*465*0.0*10882910*false*7.7906***0.63*0.04*0.15*0.5*0.35*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138333036
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*95044061*Trimester 3 2009*2009-07-01*2009-09-30*1914*fondos@segurosbilbao.com*ND*Moderado*0.06*0.26**1397931.35*417*0.0*10874877*false*7.7793***0.32*0.02*0.74*0.66*0.35*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138333036
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*95044061*Semester 1 2009*2009-01-01*2009-06-30*1914*fondos@segurosbilbao.com*ND*Moderado*0.31*0.99**1466451.45*398*0.0*11324132*false*7.7221***0.62*0.04*0.71*0.57*0.34*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138333036
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*95044061*Semester 2 2010*2010-07-01*2010-12-31*1914*fondos@segurosbilbao.com*ND*Moderado*0.0*0.51**1291456.26*420*0.0*9988166*false*7.734***0.63*0.04*-0.39*0.83*0.35*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138333036
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*95044061*Trimester 3 2010*2010-07-01*2010-09-30*1914*fondos@segurosbilbao.com*ND*Moderado*0.0*0.42**1334177.58*443*0.0*10359042*false*7.7644***0.32*0.02*0.63*0.47*0.35*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138333036
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*95044061*Semester 1 2010*2010-01-01*2010-06-30*1914*fondos@segurosbilbao.com*ND*Moderado*0.16*0.35**1367016.53*460*0.0*10547731*false*7.7159***0.62*0.04*-1.3*1.1*0.34*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138333036
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*95044061*Trimester 1 2010*2010-01-01*2010-03-31*1914*fondos@segurosbilbao.com*ND*Moderado*0.14*0.32**1402339.67*472*0.0*10963092*false*7.8177***0.31*0.02*0.35*0.34*0.34*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138333036
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*95044061*Trimester 3 2011*2011-07-01*2011-09-30*1914*fondos@segurosbilbao.com*ND*Moderado*0.06*1.01**1210556.8*372*0.0*9437799*false*7.7962***0.32*0.02***0.35*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138333036
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*95044061*Semester 1 2011*2011-01-01*2011-06-30*1914*fondos@segurosbilbao.com*ND*Moderado*0.08*0.77**1232341.28*387*0.0*9592371*false*7.7839***0.62*0.04*0.22*0.4*0.35*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138333036
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*95044061*Trimester 1 2011*2011-01-01*2011-03-31*1914*fondos@segurosbilbao.com*ND*Moderado*0.0*0.57**1279753.06*399*0.0*9939593*false*7.7668***0.31*0.02*0.42*0.53*0.34*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138333036
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*95044061*Semester 2 2010*2010-07-01*2010-12-31*1914*fondos@segurosbilbao.com*ND*Moderado*0.0*0.51**1291456.26*420*0.0*9988166*false*7.734***0.63*0.04*-0.39*0.83*0.35*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138333036
