fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 2 2009*2009-07-01*2009-12-31*409*bbvafondos@grupobbva.com*No Disponible*Medio-Alto*0.82*0.31**4249917.08*154*0.0*55479000*false*13.0542***0.08*0.03*0.1*0.23*-0.02*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 3 2009*2009-07-01*2009-09-30*409*bbvafondos@grupobbva.com*No Disponible*Medio-Alto*0.0*0.03**4405878.9*155*0.0*57459000*false*13.0414***0.17*0.04*-0.05*0.01*0.13*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*554*80618655*Semester 1 2009*2009-01-01*2009-06-30*409*bbvafondos@grupobbva.com*No Disponible*MEDIO-ALTO*0.0*0.32**4405857.43*156*0.0*57486000*false*13.0477***0.22*0.02*0.04*0.02*0.13*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 2 2010*2010-07-01*2010-12-31*409*bbvafondos@grupobbva.com*No Disponible*Medio-Alto*3.81*0.54**4248249.57*150*0.0*55682000*false*13.107***0.08*0.03*0.16*0.52*0.05*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 3 2010*2010-07-01*2010-09-30*409*bbvafondos@grupobbva.com*No Disponible*Medio-Alto*1.91*0.45**4249887.25*151*0.0*55615000*false*13.0863***0.04*0.01*0.15*0.41*0.05*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 1 2010*2010-01-01*2010-06-30*409*bbvafondos@grupobbva.com*No Disponible*Medio-Alto*2.69*0.26**4249910.24*152*0.0*55532000*false*13.0667***0.07*0.02*0.03*0.32*0.05*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 1 2010*2010-01-01*2010-03-31*409*bbvafondos@grupobbva.com*No Disponible*Medio-Alto*1.23*0.18**4249917.31*152*0.0*55516000*false*13.0629***0.04*0.01*0.07*0.22*0.05*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 3 2011*2011-07-01*2011-09-30*409*bbvafondos@grupobbva.com*No Disponible*Medio-Alto*0.11*1.4**476794.72*141*0.0*6367000*false*13.3529***0.11*0.01*0.89*2.34*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 1 2011*2011-01-01*2011-06-30*409*bbvafondos@grupobbva.com*No Disponible*Medio-Alto*0.46*0.65**476796.45*141*0.0*6311000*false*13.2352***0.09*0.02*0.77*1.28*0.11*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 1 2011*2011-01-01*2011-03-31*409*bbvafondos@grupobbva.com*No Disponible*Medio-Alto*0.1*0.24**476803.04*143*0.0*6262000*false*13.1342***0.04*0.01*0.21*0.13*0.05*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 2 2010*2010-07-01*2010-12-31*409*bbvafondos@grupobbva.com*No Disponible*Medio-Alto*3.81*0.54**4248249.57*150*0.0*55682000*false*13.107***0.08*0.03*0.16*0.52*0.05*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
