fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 2 2009*2009-07-01*2009-12-31*3906*bbvafondos@grupobbva.com*No Disponible*Medio-Bajo*0.47*0.11**17702467.54*1321*0.0*178253000*false*10.0694***0.41*0.04*1.47*2.88*0.27*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Trimester 3 2009*2009-07-01*2009-09-30*3906*bbvafondos@grupobbva.com*No Disponible*Medio-Bajo*0.45*0.11**9942775.61*693*0.0*98634000*false*9.9202***0.33*0.07*1.77*2.42*0.27*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*4221*85238665*Semester 1 2009*2009-01-01*2009-06-30*3906*bbvafondos@grupobbva.com*No Disponible*MEDIO-BAJO*1.46*0.38**9048104.81*619*0.0*88196000*false*9.7475***0.46*0.05*3.07*2.6*0.26*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 2 2010*2010-07-01*2010-12-31*3906*bbvafondos@grupobbva.com*No Disponible*Medio-Bajo*2.25*0.49**34941324.35*2752*0.0*352135000*false*10.0779***0.5*0.05*0.44*4.22*0.28*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Trimester 3 2010*2010-07-01*2010-09-30*3906*bbvafondos@grupobbva.com*No Disponible*Medio-Bajo*0.42*0.51**39999569.75*3028*0.0*400808000*false*10.0203***0.25*0.03*0.28*6.31*0.28*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 1 2010*2010-01-01*2010-06-30*3906*bbvafondos@grupobbva.com*No Disponible*Medio-Bajo*1.53*0.14**41842343.38*3098*0.0*418101000*false*9.9923***0.49*0.05*-1.9*5.85*0.27*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Trimester 1 2010*2010-01-01*2010-03-31*3906*bbvafondos@grupobbva.com*No Disponible*Medio-Bajo*0.36*0.26**31979216.22*2364*0.0*325718000*false*10.1853***0.24*0.02*1.15*2.37*0.27*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Trimester 3 2011*2011-07-01*2011-09-30*3906*bbvafondos@grupobbva.com*No Disponible*Medio-Bajo*0.84*1.08**25306874.66*2111*0.0*256219000*false*10.1245***0.25*0.03*-0.38*7.52*0.3*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 1 2011*2011-01-01*2011-06-30*3906*bbvafondos@grupobbva.com*No Disponible*Medio-Bajo*1.4*1.37**27378744.56*2214*0.0*278250000*false*10.163***0.5*0.05*0.71*2.2*0.28*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Trimester 1 2011*2011-01-01*2011-03-31*3906*bbvafondos@grupobbva.com*No Disponible*Medio-Bajo*1.04*1.89**30010591.47*2408*0.0*302861000*false*10.0918***0.25*0.02*0.28*3.07*0.27*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 2 2010*2010-07-01*2010-12-31*3906*bbvafondos@grupobbva.com*No Disponible*Medio-Bajo*2.25*0.49**34941324.35*2752*0.0*352135000*false*10.0779***0.5*0.05*0.44*4.22*0.28*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 2 2012*2012-07-01*2012-12-31*3906*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.14*0.11**37241926.01*3300*0.0*409039000*false*10.9833*0.5*0.0*0.5*0.05*0.37*2.2*0.37*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Trimester 3 2012*2012-07-01*2012-09-30*3906*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.28*0.1**32773995.88*2842*0.0*358629000*false*10.9425*0.25*0.0*0.25*0.03*1.55*2.25*0.4*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 1 2012*2012-01-01*2012-06-30*3906*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.97*0.28**28851238.34*2498*0.0*310892000*false*10.7757*0.5*0.0*0.5*0.05*2.03*2.28*0.44*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Trimester 1 2012*2012-01-01*2012-03-31*3906*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.47*0.29**25248698.96*2159*0.0*266657000*false*10.5612*0.25*0.0*0.25*0.02*1.99*2.15*0.44*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 2 2013*2013-07-01*2013-12-31*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*1.5*0.21**35242689.51*3652*0.0*384599000*false*10.9129*0.51*0.0*0.51*0.05*-0.7*1.73*0.35*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Trimester 3 2013*2013-07-01*2013-09-30*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.66*0.15**43049395.46*4285*0.0*473094000*false*10.9896*0.25*0.0*0.25*0.03*0.42*1.77*0.39*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 1 2013*2013-01-01*2013-06-30*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.19*0.08**44806290.59*4307*0.0*490315000*false*10.943*0.5*0.0*0.5*0.05*-0.52*2.23*0.35*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Trimester 1 2013*2013-01-01*2013-03-31*3906*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.03*0.05**42690476.6*3951*0.0*469574000*false*10.9995*0.25*0.0*0.25*0.02*0.15*2.08*0.35*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Trimester 3 2014*2014-07-01*2014-09-30*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.35*0.18**24965534.27*2690*0.0*273038000*false*10.9366*0.25*0.0*0.25*0.03*-0.24*1.45*0.34*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
