fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 3 2010*2010-07-01*2010-09-30*4250*bbvafondos@grupobbva.com*0*Alto*0.0*0.35**48020.84*13*0.0*465000*false*9.6883***0.0*0.0*0.0*0.0*0.08*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 3 2011*2011-07-01*2011-09-30*4250*bbvafondos@grupobbva.com*No Disponible*Alto*0.49*1.41**474771.5*125*0.0*4267000*false*8.9865***0.34*0.05*-2.6*20.25*0.41*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 1 2011*2011-01-01*2011-06-30*4250*bbvafondos@grupobbva.com*No Disponible*Alto*0.91*0.98**508388.25*132*0.0*4691000*false*9.2266***0.67*0.1*-0.67*13.64*0.4*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 1 2011*2011-01-01*2011-03-31*4250*bbvafondos@grupobbva.com*No Disponible*Alto*0.97*0.78**509761.45*129*0.0*4735000*false*9.2888***0.33*0.05*-5.3*9.5*0.39*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 2 2010*2010-07-01*2010-12-31*4250*bbvafondos@grupobbva.com*No Disponible*Alto*5.6*0.19**286456.59*79*0.0*2810000*false*9.8086***0.0*0.0*1.24*6.78*0.0*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 2 2012*2012-07-01*2012-12-31*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.0*0.23**1063565.64*324*0.0*11298000*false*10.6226*0.68*0.12*0.8*0.1*-0.47*5.08*0.6*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 3 2012*2012-07-01*2012-09-30*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.0*0.18**930970.88*292*0.0*9935000*false*10.6716*0.34*0.17*0.51*0.05*2.41*7.18*0.57*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 1 2012*2012-01-01*2012-06-30*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*1.7*0.34**829356.8*251*0.0*8642000*false*10.4201*0.67*0.48*1.15*0.1*3.56*6.93*0.51*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 1 2012*2012-01-01*2012-03-31*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.2*0.36**718044.54*203*0.0*7225000*false*10.0615*0.33*0.14*0.48*0.05*2.66*8.03*0.52*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 2 2013*2013-07-01*2013-12-31*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.64*0.19**659839.17*202*0.0*6500000*false*9.8502*0.68*0.0*0.68*0.1*1.06*6.2*0.57*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 3 2013*2013-07-01*2013-09-30*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.32*0.21**821694.59*247*0.0*8009000*false*9.747*0.34*0.0*0.34*0.05*-2.21*7.95*0.55*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 1 2013*2013-01-01*2013-06-30*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.18*0.22**1090532.76*299*0.0*10869000*false*9.9667*0.67*0.0*0.67*0.1*-7.53*10.47*0.58*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 1 2013*2013-01-01*2013-03-31*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.0*0.25**1260652.86*343*0.0*13557000*false*10.7543*0.33*0.12*0.45*0.05*1.47*7.66*0.58*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 3 2014*2014-07-01*2014-09-30*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.0*0.16**595674.16*175*0.0*6506000*false*10.9224*0.34*0.83*1.17*0.05*3.92*6.48*0.6*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 1 2014*2014-01-01*2014-06-30*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.31*0.2**407359.2*137*0.0*4281000*false*10.5103*0.67*0.0*0.67*0.1*5.6*5.23*0.65*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 1 2014*2014-01-01*2014-03-31*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.14*0.2**419004.11*129*0.0*4170000*false*9.9527*0.34*0.0*0.34*0.05*0.0*0.0*0.63*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 2 2013*2013-07-01*2013-12-31*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.64*0.19**659839.17*202*0.0*6500000*false*9.8502*0.68*0.0*0.68*0.1*1.06*6.2*0.57*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 2 2015*2015-07-01*2015-12-31*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*1.49*0.04**1045283.33*444*0.0*10204000*false*9.762*0.68*-0.4*0.28*0.1*-0.26*9.69*0.6*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 3 2015*2015-07-01*2015-09-30*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*1.13*0.03**1121604.33*486*0.0*10978000*false*9.7876*0.34*-0.37*-0.03*0.05*-14.38*17.86*0.61*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 1 2015*2015-01-01*2015-06-30*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.87*0.05**1286711.43*548*0.0*14708000*false*11.4308*0.67*0.39*1.06*0.1*-2.76*10.57*0.61*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 1 2015*2015-01-01*2015-03-31*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.0*0.06**1062395.25*412*0.0*12489000*false*11.7556*0.33*0.78*1.11*0.05*9.98*9.09*0.59*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 3 2016*2016-07-01*2016-09-30*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.19*0.0**969200.19*490*0.0*10294000*false*10.6211*0.34*0.0*0.34*0.05*1.81*9.0*0.39*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 1 2016*2016-01-01*2016-06-30*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*1.39*0.0**851873.35*414*0.0*8887000*false*10.4323*0.67*0.0*0.67*0.1*5.93*8.53*0.4*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 1 2016*2016-01-01*2016-03-31*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.06*0.04**906806.08*408*0.0*8931000*false*9.8483*0.34*0.0*0.34*0.05*0.88*9.08*0.59*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 2 2015*2015-07-01*2015-12-31*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*1.49*0.04**1045283.33*444*0.0*10204000*false*9.762*0.68*-0.4*0.28*0.1*-0.26*9.69*0.6*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 2 2017*2017-07-01*2017-12-31*4250*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*1.48*-0.3**1177871.34*887*0.0*12788000*false*10.8565*0.68*0.04*0.73*0.1*0.92*6.96*0.6*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 3 2017*2017-07-01*2017-09-30*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.0*-0.31**1325808.69*938*0.0*14263000*false*10.7579*0.34*0.0*0.34*0.05*0.27*6.89*0.6*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
