fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*61690376*Semester 2 2009*2009-07-01*2009-12-31*1552*bankpimesgiic@bankpime.es*ND*Alto*0.33*0.23**985374.34*1022*0.0*6075171*false*6.1653***0.68*0.1*8.84*11.5*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*61690376*Trimester 3 2009*2009-07-01*2009-09-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.14*0.41**909418.3*1055*0.0*5151275*false*5.6644***0.34*0.05*9.19*14.04*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*61690376*Semester 1 2009*2009-01-01*2009-06-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.51*1.16**883874.09*1075*0.0*4585269*false*5.1877***0.67*0.1*5.68*17.25*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*61690376*Semester 2 2010*2010-07-01*2010-12-31*1552*bankpimesgiic@bankpime.es*ND*Alto*0.34*0.22**1587750.99*1058*0.0*10979842*false*6.9153***0.83*0.1*6.7*11.14*0.48*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*61690376*Trimester 3 2010*2010-07-01*2010-09-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.17*0.15**1445719.8*1073*0.0*9369499*false*6.4809***0.42*0.05*-0.94*15.31*0.48*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*61690376*Semester 1 2010*2010-01-01*2010-06-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.34*0.06**1439111.66*1098*0.0*9415537*false*6.5426***0.72*0.1*-4.56*16.0*0.45*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*61690376*Trimester 1 2010*2010-01-01*2010-03-31*1552*bankpimesgiic@bankpime.es*ND*Alto*0.29*0.03**1242735.12*1059*0.0*8519427*false*6.8554***0.33*0.05*11.19*12.58*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Semester 2 2011*2011-07-01*2011-12-31*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Alto*0.19*0.76**1408447.53*918*0.0*9995400*false*7.0968*0.83*0.0*0.83*0.1*9.77*14.88*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*61690376*Trimester 3 2011*2011-07-01*2011-09-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.14*0.71**1605285.37*990*0.0*10378767*false*6.4654***0.42*0.05*-8.14*21.05*0.48*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*61690376*Semester 1 2011*2011-01-01*2011-06-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.29*0.35**1608722.22*1016*0.0*11322193*false*7.038***0.82*0.1*3.39*10.08*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*61690376*Trimester 1 2011*2011-01-01*2011-03-31*1552*bankpimesgiic@bankpime.es*ND*Alto*0.08*0.38**1645504.4*1021*0.0*11201534*false*6.8074***0.41*0.05*-1.56*12.27*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Trimester 3 2012*2012-07-01*2012-09-30*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Alto*1.32*0.08**1093560.93*1228*0.0*9566750*false*8.7483*0.41*0.0*0.41*0.05*7.51*10.14*0.48*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Semester 1 2012*2012-01-01*2012-06-30*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*Alto*1.57*0.34**968324.33*955*0.0*7879141*false*8.1369*0.82*0.0*0.82*0.1*7.44*10.54*0.48*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Trimester 1 2012*2012-01-01*2012-03-31*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Alto*0.02*0.37**1009445.25*893*0.0*7644853*false*7.5733*0.41*0.0*0.41*0.05*6.71*14.42*0.48*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Semester 2 2011*2011-07-01*2011-12-31*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*A*Alto*0.19*0.76**1408447.53*918*0.0*9995400*false*7.0968*0.83*0.0*0.83*0.1*9.77*14.88*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Semester 2 2013*2013-07-01*2013-12-31*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*6 - Alto*3.08*0.08**6165031.35*4884*0.0*68618981*false*11.1304*0.83*0.0*0.83*0.1*7.69*9.26*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Trimester 3 2013*2013-07-01*2013-09-30*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*6 - Alto*1.82*0.08**5809258.1*4373*0.0*60043980*false*10.3359*0.42*0.0*0.42*0.05*3.35*8.76*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
