fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 2 2014*2014-07-01*2014-12-31*4725*InformesParticipes@gesduero.es*n.d.*4 (de una escala de 1 A 7)*0.0*0.41**250861.67*724*0.0*16043731*false*63.9545*0.08**0.08*0.03*0.58*2.64*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Trimester 3 2014*2014-07-01*2014-09-30*4725*InformesParticipes@gesduero.es*B2  (MOODY'S)*4 (de una escala de 1 A 7)*0.0*0.29**251751.22*726*0.0*16007080*false*63.5829*0.04**0.04*0.01*1.75*3.55*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 1 2014*2014-01-01*2014-06-30*4725*InformesParticipes@gesduero.es*n.d.*4 (de una escala de 1 A 7)*0.0*0.18**252451.23*728*0.0*15775046*false*62.4875*0.04**0.04*0.02*4.16*8.52*0.05*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Trimester 1 2014*2014-01-01*2014-03-31*4725*InformesParticipes@gesduero.es*n.d.*4 (de una escala de 1 A 7)*0.0*0.06**38839.9*100*0.0*2330052*false*59.9912*0.0**0.0*0.0***0.02*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 2 2015*2015-07-01*2015-12-31*4725*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*4 (de una escala de 1 A 7)*0.0*0.47**237521.36*674*0.0*15405106*false*64.8578*0.08**0.08*0.03*1.24*2.4*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Trimester 3 2015*2015-07-01*2015-09-30*4725*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*4 (de una escala de 1 A 7)*0.0*0.93**241850.17*687*0.0*15493709*false*64.0633*0.04**0.04*0.01*0.26*2.89*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 1 2015*2015-01-01*2015-06-30*4725*InformesParticipes@gesduero.es*n.d.*4 (de una escala de 1 A 7)*0.0*1.0**243988.3*696*0.0*15589524*false*63.8946*0.07**0.07*0.02*-2.74*3.6*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Trimester 1 2015*2015-01-01*2015-03-31*4725*InformesParticipes@gesduero.es*n.d.*4 (de una escala de 1 A 7)*0.0*0.99**250432.79*723*0.0*16451260*false*65.6913*0.04**0.04*0.01*2.72*2.7*0.05*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 2 2016*2016-07-01*2016-12-31*4725*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*4 (de una escala de 1 A 7)*0.0*0.0**231648.22*663*0.0*15363172*false*66.3211*0.08**0.08*0.03*0.8*1.35*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Trimester 3 2016*2016-07-01*2016-09-30*4725*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*4 (de una escala de 1 A 7)*0.0*0.01**233416.17*663*0.0*15357293*false*65.7936*0.04**0.04*0.01*1.36*0.98*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 1 2016*2016-01-01*2016-06-30*4725*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*4 (de una escala de 1 A 7)*0.0*0.01**233642.86*666*0.0*15165316*false*64.9081*0.07**0.07*0.02*1.93*1.86*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
