fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2009*2009-07-01*2009-12-31*3441*gestora@renta4.es*NA*bajo*0.0*0.24**17744936.646176*9313*0.230235*196790771*false*11.09***0.5*0.07*0.73*0.29*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2009*2009-07-01*2009-09-30*3441*gestora@renta4.es*NA*bajo*0.0*0.24**14425048.607938*7841*0.149961*158815366*false*11.009694***0.35*0.05*1.39*0.42*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2009*2009-01-01*2009-06-30*3441*gestora@renta4.es*NA*bajo*0.0*0.96**6936374.123582*4858*0.356157*75319887*false*10.858683***0.37*0.05*2.26*0.6*0.44*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2010*2010-07-01*2010-12-31*3441*gestora@renta4.es*NA*Bajo*0.38*0.48**11786609.364431*7942*0.0*131619143*false*11.1668***0.88*0.12*-0.28*0.61*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2010*2010-07-01*2010-09-30*3441*gestora@renta4.es*NA*Bajo*0.35*0.36**13241734.258343*8542*0.0*148280727*false*11.198***0.67*0.09*1.37*0.32*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2010*2010-01-01*2010-06-30*3441*gestora@renta4.es*NA*Bajo*0.08*0.36**14222684.182629*8830*0.0*157108492*false*11.0463***0.37*0.05*-1.01*1.2*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2010*2010-01-01*2010-03-31*3441*gestora@renta4.es*NA*bajo*0.06*0.24**18695174.223283*10090*0.0*208626923*false*11.1594***0.18*0.02*0.63*0.39*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2011*2011-07-01*2011-09-30*3441*gestora@renta4.es*NA*Bajo*0.0*1.21**15129166.096378*9942*0.0*171448706*false*11.3323***0.5*0.07*-0.43*0.97*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2011*2011-01-01*2011-06-30*3441*gestora@renta4.es*NA*Bajo*0.17*0.72**14956138.493593*9436*0.0*170218398*false*11.3812***0.37*0.05*0.6*0.4*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2011*2011-01-01*2011-03-31*3441*gestora@renta4.es*NA*Bajo*0.0*0.6**12418991.633553*8271*0.0*140506345*false*11.3138***0.18*0.02*1.32*0.63*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2010*2010-07-01*2010-12-31*3441*gestora@renta4.es*NA*Bajo*0.38*0.48**11786609.364431*7942*0.0*131619143*false*11.1668***0.88*0.12*-0.28*0.61*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2012*2012-07-01*2012-12-31*3441*gestora@renta4.es*NA*Bajo*0.63*0.47**18097297.950542*11978*0.0*216633030*false*11.9705*0.38*0.0*0.38*0.05*1.91*0.48*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2012*2012-07-01*2012-09-30*3441*gestora@renta4.es*NA*Bajo*0.18*0.12**16464888.86525*11181*0.0*193392263*false*11.7457*0.19*0.0*0.19*0.03*1.98*1.03*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2012*2012-01-01*2012-06-30*3441*gestora@renta4.es*NA*Bajo*0.52*0.24**17320871.782426*11721*0.0*199489218*false*11.5173*0.37*0.0*0.37*0.05*-0.97*0.83*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2012*2012-01-01*2012-03-31*3441*gestora@renta4.es*NA*Bajo*0.69*0.24**18049265.762773*12027*0.0*209910905*false*11.6299*0.19*0.0*0.19*0.02*2.45*0.81*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2013*2013-07-01*2013-12-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.32*0.5**50384840.907555*28599*0.0*631867278*false*12.5408*0.37*0.0*0.37*0.05*1.52*0.57*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2013*2013-07-01*2013-09-30*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.04*0.42**41589198.425639*24702*0.0*513751173*false*12.353*0.19*0.0*0.19*0.03*1.51*0.59*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2013*2013-01-01*2013-06-30*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.29*0.48**32089036.548566*19325*0.0*390502031*false*12.1693*0.37*0.0*0.37*0.05*0.62*0.84*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2013*2013-01-01*2013-03-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.29*0.45**24090019.396065*15036*0.0*291350907*false*12.0943*0.18*0.0*0.18*0.02*1.03*0.45*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2014*2014-07-01*2014-12-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.24*0.07**87397090.80322*46264*0.0*1130884907*false*12.9396*0.38*0.0*0.38*0.05*0.04*1.12*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2014*2014-07-01*2014-09-30*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.14*0.08**85149002.776426*45030*0.0*1101404076*false*12.935*0.19*0.0*0.19*0.02*0.41*0.81*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2014*2014-01-01*2014-06-30*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.57*0.49**78132622.491856*41035*0.0*1006490904*false*12.8818*0.37*0.0*0.37*0.05*1.17*0.79*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2014*2014-01-01*2014-03-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.43*0.48**65274664.197962*35456*0.0*831150386*false*12.7331*0.18*0.0*0.18*0.02*1.53*0.62*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2015*2015-07-01*2015-12-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.0*0.05**74554653.172606*43061*0.0*964243063*false*12.9334*0.38*0.0*0.38*0.05*0.83*1.25*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2015*2015-07-01*2015-09-30*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.0*0.04**78546701.054114*44597*0.0*1007553605*false*12.8274*0.19*0.0*0.19*0.03*-1.24*1.55*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2015*2015-01-01*2015-06-30*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.24*0.06**82707731.160318*45468*0.0*1074264034*false*12.9887*0.37*0.0*0.37*0.05*-0.6*0.97*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2015*2015-01-01*2015-03-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.24*0.05**86216780.995649*46569*0.0*1126627310*false*13.0674*0.18*0.0*0.18*0.02*0.99*1.03*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2016*2016-07-01*2016-09-30*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.04*0.27**77627559.578915*49446*0.0*1025673194*false*13.2127*0.18*0.0*0.18*0.02*0.89*0.62*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2016*2016-01-01*2016-06-30*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.21*0.25**70242703.010754*43237*0.0*919901755*false*13.096*0.37*0.0*0.37*0.05*0.54*1.46*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2016*2016-01-01*2016-03-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.16*0.24**68152970.828727*40472*0.0*887736820*false*13.0257*0.19*0.0*0.19*0.02*0.71*2.14*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2015*2015-07-01*2015-12-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.0*0.05**74554653.172606*43061*0.0*964243063*false*12.9334*0.38*0.0*0.38*0.05*0.83*1.25*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2017*2017-07-01*2017-12-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.34*0.25**119770816.933565*80127*0.0*1609311296*false*13.4366*0.38*0.0*0.38*0.05*0.25*0.27*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2017*2017-07-01*2017-09-30*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.19*0.25**112952101.639807*75633*0.0*1513878945*false*13.4028*0.19*0.0*0.19*0.03*0.33*0.26*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2017*2017-01-01*2017-06-30*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.53*0.2**104964194.734628*69606*0.0*1402234643*false*13.3592*0.37*0.0*0.37*0.05*0.43*0.41*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2017*2017-01-01*2017-03-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.19*0.2**94932751.576748*61948*0.0*1262816806*false*13.3022*0.18*0.0*0.18*0.02*0.44*0.3*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2018*2018-07-01*2018-12-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.27*0.25**106847155.277304*82801*0.0*1412517952*false*13.22*0.37*0.0*0.37*0.05*-0.83*0.8*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2018*2018-07-01*2018-09-30*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.16*0.25**115543391.516284*85432*0.0*1540280825*false*13.3308*0.18*0.0*0.18*0.03*0.33*0.58*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
