fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI*95354585*Trimester 3 2009*2009-07-01*2009-09-30*3126*gestora@fineco.com*AA  (S&P)*alto*0.04*0.22**648331.37*134*0.0*5450208*false*8.4065***0.19*0.03*14.43*15.87*0.23*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI*95354585*Semester 1 2009*2009-01-01*2009-06-30*3126*gestora@fineco.com*AA  (S&P)*alto*0.0*0.86**468930.68*116*0.0*3444845*false*7.3462***0.37*0.05*17.25*23.83*0.24*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Semester 2 2010*2010-07-01*2010-12-31*3126*gestora@fineco.com*AA  (S&P)*alto*0.0*0.44**1249286.71*183*0.0*12418357*false*9.94*[]*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Trimester 3 2010*2010-07-01*2010-09-30*3126*gestora@fineco.com*AA  (S&P)*alto*0.0*0.33**1187933.56*178*0.0*10698859*false*9.01*[]*[]*0.19*0.03*10.11*17.24*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Semester 1 2010*2010-01-01*2010-06-30*3126*gestora@fineco.com*AA  (S&P)*alto*0.0*0.22**1290530.1*173*0.0*10555791*false*8.18*[]*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Trimester 1 2010*2010-01-01*2010-03-31*3126*gestora@fineco.com*AA  (S&P)*alto*0.0*0.22**1097529.82*161*0.0*10214588*false*9.31*[]*[]*0.18*0.02*4.72*12.18*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Semester 2 2011*2011-07-01*2011-12-31*3126*gestora@fineco.com*AA- (S&P)*alto*1.01*0.95**1407512.77*203*0.0*13548114*false*9.63*0.38*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Trimester 3 2011*2011-07-01*2011-09-30*3126*gestora@fineco.com*AA  (S&P)*alto*0.53*1.03**1229337.46*190*0.0*10751884*false*8.75*[]*[]*0.19*0.03*-15.54*28.76*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Semester 1 2011*2011-01-01*2011-06-30*3126*gestora@fineco.com*AA  (S&P)*alto*0.16*0.79**1176226.53*178*0.0*12180348*false*10.36*[]*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Trimester 1 2011*2011-01-01*2011-03-31*3126*gestora@fineco.com*AA  (S&P)*alto*0.38*0.6**1161645.57*170*0.0*12153322*false*10.46*[]*[]*0.18*0.02*5.25*12.08*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Semester 2 2012*2012-07-01*2012-12-31*3126*gestora@fineco.com*A-  (S&P)*alto*0.0*0.1**1519183.59*242*0.0*16301471*false*10.7304*0.38*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Trimester 3 2012*2012-07-01*2012-09-30*3126*gestora@fineco.com*A-  (S&P)*alto*0.0*0.13**1635812.02*240*0.0*17740039*false*10.84*0.19*[]*0.19*0.03*5.34*11.25*0.39*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Semester 1 2012*2012-01-01*2012-06-30*3126*gestora@fineco.com*A-  (S&P)*alto*0.58*0.24**1632915.1*236*0.0*16811608*false*10.3*0.37*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Trimester 1 2012*2012-01-01*2012-03-31*3126*gestora@fineco.com*A+  (S&P)*alto*0.59*0.22**1640258.27*229*0.0*17786507*false*10.84*0.19*[]*0.19*0.02*12.66*9.55*0.4*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Trimester 3 2013*2013-07-01*2013-09-30*3126*gestora@fineco.com*A+  (S&P)*alto*0.0*0.02**1762217.95*326*0.0*22566195*false*12.8056*0.19*[]*0.19*0.03*6.32*8.21*0.4*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Semester 1 2013*2013-01-01*2013-06-30*3126*gestora@fineco.com*A+  (S&P)*alto*0.0*0.03**1693178.54*301*0.0*20393367*false*12.0444*0.37*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Trimester 1 2013*2013-01-01*2013-03-31*3126*gestora@fineco.com*A+  (S&P)*alto*0.0*0.03**1654083.41*277*0.0*19555327*false*11.8225*0.18*[]*0.18*0.02*10.18*8.99*0.4*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Semester 2 2012*2012-07-01*2012-12-31*3126*gestora@fineco.com*A-  (S&P)*alto*0.0*0.1**1519183.59*242*0.0*16301471*false*10.7304*0.38*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Semester 2 2014*2014-07-01*2014-12-31*3126*gestora@fineco.com*BBB+*alto*0.0*0.0**2244285.89*570*0.0*35104900*false*15.6419*0.38*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Trimester 3 2014*2014-07-01*2014-09-30*3126*gestora@fineco.com*A+  (S&P)*alto*0.0*0.01**2031710.76*479*0.0*29952674*false*14.7426*0.19*[]*0.19*0.03*1.08*7.36*0.39*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Semester 1 2014*2014-01-01*2014-06-30*3126*gestora@fineco.com*A+  (S&P)*alto*1.4*0.13**1914949.3*431*0.0*27929974*false*14.5852*0.37*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI SERIE A*95354585*Trimester 1 2014*2014-01-01*2014-03-31*3126*gestora@fineco.com*A+  (S&P)*alto*0.02*0.13**1869167.3*398*0.0*26163140*false*13.9972*0.18*[]*0.18*0.02*0.72*9.97*0.37*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Semester 2 2015*2015-07-01*2015-12-31*3126*gestora@fineco.com*A-*6 en una escala del 1 al 7*0.0*0.0**3037792.59*913*0.0*48415817*false*15.9378*0.38*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Trimester 3 2015*2015-07-01*2015-09-30*3126*gestora@fineco.com*A-*6 en una escala del 1 al 7*0.0*0.0**2943816.19*863*0.0*43842477*false*14.8931*0.19*[]*0.19*0.03*-6.92*19.48*0.38*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Semester 1 2015*2015-01-01*2015-06-30*3126*gestora@fineco.com*BBB+*6 en una escala del 1 al 7*0.0*0.0**2726623.09*790*0.0*43627140*false*16.0004*0.37*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Trimester 1 2015*2015-01-01*2015-03-31*3126*gestora@fineco.com*BBB+*6 en una escala del 1 al 7*0.0*0.0**2612251.09*710*0.0*42268269*false*16.1808*0.18*[]*0.18*0.02*3.45*12.77*0.37*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Semester 2 2016*2016-07-01*2016-12-31*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*0.0**3090199.34*986*0.0*52195005*false*16.8905*0.38*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Trimester 3 2016*2016-07-01*2016-09-30*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*0.0**2984673.46*958*0.0*49660689*false*16.6386*0.19*[]*0.19*0.03*2.8*8.15*0.39*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Semester 1 2016*2016-01-01*2016-06-30*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*0.0**3013872.26*966*0.0*48782066*false*16.1858*0.37*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Trimester 1 2016*2016-01-01*2016-03-31*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*0.0**3123739.82*964*0.0*49736112*false*15.922*0.19*[]*0.19*0.02*-0.1*15.27*0.37*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Semester 2 2017*2017-07-01*2017-12-31*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.41*-0.3**3019486.72*993*0.0*59588366*false*19.7346*0.38*[]*0.38*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Trimester 3 2017*2017-07-01*2017-09-30*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.09*-0.3**2903270.81*1037*0.0*54525946*false*18.7809*0.19*[]*0.19*0.01*2.39*5.85*0.38*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Semester 1 2017*2017-01-01*2017-06-30*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.2*-0.3**3075582.0*1059*0.0*56414312*false*18.3426*0.37*[]*0.37*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Trimester 1 2017*2017-01-01*2017-03-31*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.3*0.0**3218896.43*1040*0.0*57517241*false*17.8686*0.18*[]*0.18*0.02*5.79*6.16*0.38*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI -A-*95354585*Semester 2 2018*2018-07-01*2018-12-31*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.23*-0.3**3520407.77*1240*0.0*62651663*false*17.7967*0.38*[]*0.38*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI -A-*95354585*Trimester 3 2018*2018-07-01*2018-09-30*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**3424196.22*1188*0.0*71813163*false*20.9723*0.19*[]*0.19*0.01*5.69*6.47*0.36*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI -A-*95354585*Semester 1 2018*2018-01-01*2018-06-30*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**3423989.06*1146*0.0*67943354*false*19.8433*0.37*[]*0.37*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI CLASE A*95354585*Trimester 1 2018*2018-01-01*2018-03-31*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**3325824.23*1104*0.0*64586928*false*19.4198*0.18*[]*0.18*0.01*-1.6*14.34*0.36*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI -A-*95354585*Semester 2 2019*2019-07-01*2019-12-31*3126*gestora@fineco.com*A+*5 en una escala del 1 al 7*0.0*-0.33**3715881.36*1526*0.0*83027282*false*22.3439*0.38*[]*0.38*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI -A-*95354585*Trimester 3 2019*2019-07-01*2019-09-30*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**3761221.29*1485*0.0*79260517*false*21.0731*0.19*[]*0.19*0.01*0.23*13.75*0.35*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI -A-*95354585*Semester 1 2019*2019-01-01*2019-06-30*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**3862021.48*1448*0.0*81201548*false*21.0257*0.37*[]*0.37*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO AMERICA, FI*MULTIFONDO AMERICA FI -A-*95354585*Trimester 1 2019*2019-01-01*2019-03-31*3126*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**4010515.93*1396*0.0*80987038*false*20.1937*0.18*[]*0.18*0.01*13.47*11.99*0.31*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
