fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*87643474*Semester 2 2016*2016-07-01*2016-12-31*5087*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**45541.12*4*0.0*450203*false*9.8856*0.26*0.0*0.26*0.01***1.69*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0108210008
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*87643474*Trimester 3 2017*2017-07-01*2017-09-30*5087*N/D*ND*3 en una escala de 1 a 7*0.53*0.0**1022535.83*149*0.0*10235522*false*10.0099*0.45*0.0*0.45*0.03*0.5*1.92*0.55*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0108210008
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*87643474*Semester 1 2017*2017-01-01*2017-06-30*5087*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**995424.11*29*0.0*9914824*false*9.9604*0.88*0.0*0.88*0.05*0.63*1.39*0.59*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0108210008
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*87643474*Trimester 1 2017*2017-01-01*2017-03-31*5087*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**694510.97*21*0.0*6874285*false*9.898*0.44*0.0*0.44*0.02*0.13*0.89*0.59*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0108210008
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*87643474*Semester 2 2016*2016-07-01*2016-12-31*5087*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**45541.12*4*0.0*450203*false*9.8856*0.26*0.0*0.26*0.01***1.69*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0108210008
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*87643474*Semester 2 2018*2018-07-01*2018-12-31*5087*N/D*ND*3 en una escala de 1 a 7*1.59*-0.28**741865.58*129*0.0*7006437*false*9.4443*0.91*0.0*0.91*0.05*-4.87*6.68*0.53*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0108210008
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*87643474*Trimester 3 2018*2018-07-01*2018-09-30*5087*N/D*ND*3 en una escala de 1 a 7*1.11*-0.27**1178382.19*150*0.0*11698420*false*9.9275*0.45*0.0*0.45*0.03*0.63*2.69*0.63*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0108210008
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*87643474*Semester 1 2018*2018-01-01*2018-06-30*5087*N/D*ND*3 en una escala de 1 a 7*2.14*-0.19**1212394.64*152*0.0*11960921*false*9.8655*0.89*0.0*0.89*0.05*2.14*3.8*0.59*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0108210008
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*87643474*Trimester 1 2018*2018-01-01*2018-03-31*5087*N/D*ND*3 en una escala de 1 a 7*0.26*-0.15**1033370.92*149*0.0*9981411*false*9.6591*0.44*0.0*0.44*0.02*-2.3*4.42*0.5*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0108210008
VOLATILITY CONTROL HEDGE 5, FI*VOLATILITY CONTROL HEDGE 5, FI*87643474*Semester 2 2019*2019-07-01*2019-12-31*5087*N/D*ND*3 en una escala de 1 a 7*0.05*-0.41**728110.24*127*0.0*6952379*false*9.5485*0.91*0.0*0.91*0.05*0.79*7.83*0.52*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0108210008
VOLATILITY CONTROL HEDGE 5, FI*VOLATILITY CONTROL HEDGE 5, FI*87643474*Trimester 3 2019*2019-07-01*2019-09-30*5087*N/D*ND*3 en una escala de 1 a 7*0.0*-0.35**721754.75*127*0.0*6837540*false*9.4735*0.45*0.0*0.45*0.03*1.44*2.1*0.5*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0108210008
VOLATILITY CONTROL HEDGE 5, FI*ALIANZA FLEXIBLE FI*87643474*Semester 1 2019*2019-01-01*2019-06-30*5087*N/D*ND*3 en una escala de 1 a 7*0.11*-0.32**715386.13*127*0.0*6681236*false*9.3393*0.89*0.0*0.89*0.05*-0.6*0.02*0.46*INVERSIS GESTIÓN, S.A., SGIIC*BANCO INVERSIS, S.A.*ES0108210008
