fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DUX MULTIGESTIÓN, FI*DUX MULTIGESTION MODERADO FI*87352803*Trimester 3 2015*2015-07-01*2015-09-30*4901*info@duxinversores.com*Baa1(MOODYS)*7, en una escala del 1 al 7*0.0*0.0**30000.0*1*0.0*298236*false*9.9412*0.0**0.0*0.01***0.6*DUX INVERSORES, SGIIC, S.A.*BANKINTER, S.A.*
DUX MULTIGESTIÓN, FI*DUX MULTIGESTION MODERADO FI*87352803*Semester 2 2016*2016-07-01*2016-12-31*4901*info@duxinversores.com*Baa1(MOODYS)*4, en una escala del 1 al 7*0.0*0.0**1167849.39*118*0.0*11750980*false*10.0621*0.4*0.08*0.48*0.05*0.46*2.88*0.47*DUX INVERSORES, SGIIC, S.A.*BANKINTER, S.A.*
DUX MULTIGESTIÓN, FI*DUX MULTIGESTION MODERADO FI*87352803*Trimester 3 2016*2016-07-01*2016-09-30*4901*info@duxinversores.com*Baa1(MOODYS)*4, en una escala del 1 al 7*0.01*0.0**1082634.83*107*0.0*10843671*false*10.016*0.2*0.06*0.26*0.03*1.37*3.05*0.47*DUX INVERSORES, SGIIC, S.A.*BANKINTER, S.A.*
DUX MULTIGESTIÓN, FI*DUX MULTIGESTION MODERADO FI*87352803*Semester 1 2016*2016-01-01*2016-06-30*4901*info@duxinversores.com*Baa1(MOODYS)*4, en una escala del 1 al 7*0.33*0.0**1031087.88*35*0.0*10187634*false*9.8805*0.4**0.4*0.05*0.78*3.49*0.46*DUX INVERSORES, SGIIC, S.A.*BANKINTER, S.A.*
DUX MULTIGESTIÓN, FI*DUX MULTIGESTION MODERADO FI*87352803*Trimester 1 2016*2016-01-01*2016-03-31*4901*info@duxinversores.com*Baa1(MOODYS)*4, en una escala del 1 al 7*0.05*0.0**925363.38*24*0.0*9071999*false*9.8037*0.2**0.2*0.02*-1.15*4.08*0.47*DUX INVERSORES, SGIIC, S.A.*BANKINTER, S.A.*
DUX MULTIGESTIÓN, FI*DUX MULTIGESTION MODERADO FI*87352803*Semester 2 2017*2017-07-01*2017-12-31*4901*info@duxinversores.com*Baa1(MOODYS)*4, en una escala del 1 al 7*0.39*0.0**1829881.37*188*0.0*19031298*false*10.4003*0.4*0.05*0.45*0.05*0.64*1.94*0.46*DUX INVERSORES, SGIIC, S.A.*BANKINTER, S.A.*
DUX MULTIGESTIÓN, FI*DUX MULTIGESTION MODERADO FI*87352803*Trimester 3 2017*2017-07-01*2017-09-30*4901*info@duxinversores.com*Baa1(MOODYS)*4, en una escala del 1 al 7*0.0*0.0**1502283.51*142*0.0*15525200*false*10.3344*0.2*0.02*0.22*0.03*0.28*2.01*0.47*DUX INVERSORES, SGIIC, S.A.*BANKINTER, S.A.*
DUX MULTIGESTIÓN, FI*DUX MULTIGESTION MODERADO FI*87352803*Semester 1 2017*2017-01-01*2017-06-30*4901*info@duxinversores.com*Baa1(MOODYS)*4, en una escala del 1 al 7*0.0*0.0**1430942.94*137*0.0*14746264*false*10.3053*0.4*0.12*0.52*0.05*0.41*1.94*0.46*DUX INVERSORES, SGIIC, S.A.*BANKINTER, S.A.*
DUX MULTIGESTIÓN, FI*DUX MULTIGESTION MODERADO FI*87352803*Trimester 1 2017*2017-01-01*2017-03-31*4901*info@duxinversores.com*Baa1(MOODYS)*4, en una escala del 1 al 7*0.0*0.0**1249461.11*126*0.0*12822881*false*10.2627*0.2*0.11*0.31*0.02*1.99*1.8*0.46*DUX INVERSORES, SGIIC, S.A.*BANKINTER, S.A.*
DUX MULTIGESTIÓN, FI*DUX MULTIGESTION FI*87352803*Semester 2 2018*2018-07-01*2018-12-31*4901*info@duxinversores.com*Baa1(MOODYS)*4, en una escala del 1 al 7*0.02*0.0**1485065.7*189*0.0*14371367*false*9.6773*0.4**0.4*0.05*-4.82*3.79*0.47*DUX INVERSORES, SGIIC, S.A.*BANKINTER, S.A.*
DUX MULTIGESTIÓN, FI*DUX MULTIGESTION FI*87352803*Trimester 3 2018*2018-07-01*2018-09-30*4901*info@duxinversores.com*Baa1(MOODYS)*4, en una escala del 1 al 7*0.0*0.0**1768639.02*190*0.0*17982675*false*10.1675*0.2**0.2*0.03*-0.23*1.87*0.47*DUX INVERSORES, SGIIC, S.A.*BANKINTER, S.A.*
DUX MULTIGESTIÓN, FI*DUX MULTIGESTION FI*87352803*Semester 1 2018*2018-01-01*2018-06-30*4901*info@duxinversores.com*Baa1(MOODYS)*4, en una escala del 1 al 7*0.77*0.0**1910781.11*189*0.0*19472256*false*10.1907*0.4**0.4*0.05*-0.34*2.27*0.47*DUX INVERSORES, SGIIC, S.A.*BANKINTER, S.A.*
DUX MULTIGESTIÓN, FI*DUX MULTIGESTION FI*87352803*Trimester 1 2018*2018-01-01*2018-03-31*4901*info@duxinversores.com*Baa1(MOODYS)*4, en una escala del 1 al 7*0.03*0.0**1853126.8*189*0.0*18949069*false*10.2255*0.2**0.2*0.02*-1.68*3.65*0.45*DUX INVERSORES, SGIIC, S.A.*BANKINTER, S.A.*
