fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 2 2009*2009-07-01*2009-12-31*404*bbvafondos@grupobbva.com*No Disponible*Bajo*1.81*0.08**1085465.12*127*0.0*13787000*false*12.7014***0.15*0.02*-0.03*0.53*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 3 2009*2009-07-01*2009-09-30*404*bbvafondos@grupobbva.com*No Disponible*Bajo*0.98*0.03**996435.3*126*0.0*12659000*false*12.7045***0.11*0.04*1.44*1.68*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*555*80593247*Semester 1 2009*2009-01-01*2009-06-30*404*bbvafondos@grupobbva.com*No Disponible*BAJO*1.39*0.3**996674.88*126*0.0*12482000*false*12.5238***0.15*0.02*0.93*2.01*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 2 2010*2010-07-01*2010-12-31*404*bbvafondos@grupobbva.com*No Disponible*Bajo*1.24*0.58**996170.34*122*0.0*12310000*false*12.3576***0.15*0.03*-4.51*5.27*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 3 2010*2010-07-01*2010-09-30*404*bbvafondos@grupobbva.com*No Disponible*Bajo*0.72*0.52**1000005.54*123*0.0*12949000*false*12.9494***0.08*0.01*4.47*3.62*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 1 2010*2010-01-01*2010-06-30*404*bbvafondos@grupobbva.com*No Disponible*Bajo*1.59*0.3**1000002.16*123*0.0*12396000*false*12.3959***0.15*0.02*-3.01*5.39*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 1 2010*2010-01-01*2010-03-31*404*bbvafondos@grupobbva.com*No Disponible*Bajo*0.98*0.25**1068090.81*127*0.0*13650000*false*12.78***0.07*0.01*0.62*1.48*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 3 2011*2011-07-01*2011-09-30*404*bbvafondos@grupobbva.com*No Disponible*Bajo*0.43*1.36**996118.93*118*0.0*12634000*false*12.6831***0.08*0.01*0.61*8.83*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 1 2011*2011-01-01*2011-06-30*404*bbvafondos@grupobbva.com*No Disponible*Bajo*0.44*0.91**996150.05*120*0.0*12557000*false*12.6058***0.15*0.02*0.57*3.97*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 1 2011*2011-01-01*2011-03-31*404*bbvafondos@grupobbva.com*No Disponible*Bajo*0.0*0.67**996164.05*122*0.0*12486000*false*12.5345***0.07*0.01*1.37*4.55*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 2 2010*2010-07-01*2010-12-31*404*bbvafondos@grupobbva.com*No Disponible*Bajo*1.24*0.58**996170.34*122*0.0*12310000*false*12.3576***0.15*0.03*-4.51*5.27*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
