fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Semester 2 2015*2015-07-01*2015-12-31*4863*N/D*ND*4 en una escala de 1 a 7*0.15*0.0**346876.83*267*0.0*32644553*false*94.1099*0.5*0.0*0.5*0.05*3.72*8.28*0.39*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Trimester 3 2015*2015-07-01*2015-09-30*4863*N/D*ND*4 en una escala de 1 a 7*0.04*0.0**269360.01*197*0.0*24440207*false*90.7344*0.25*0.0*0.25*0.03*-5.87*13.6*0.38*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Semester 1 2015*2015-01-01*2015-06-30*4863*N/D*ND*4 en una escala de 1 a 7*0.42*0.0**216296.89*151*0.0*20849128*false*96.3913*0.32*0.0*0.32*0.03*-3.58*6.55*0.39*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Trimester 1 2015*2015-01-01*2015-03-31*4863*N/D*ND*4 en una escala de 1 a 7*0.0*0.0**3000.0*1*0.0*299903*false*99.9676*0.01*0.0*0.01*0.0***0.03*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Semester 2 2016*2016-07-01*2016-12-31*4863*N/D*ND*4 en una escala de 1 a 7*0.41*-0.02**566550.25*427*0.0*55484654*false*97.9342*0.5*0.0*0.5*0.05*1.51*3.9*0.48*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Trimester 3 2016*2016-07-01*2016-09-30*4863*N/D*ND*4 en una escala de 1 a 7*0.2*0.0**482030.92*390*0.0*46506885*false*96.4811*0.25*0.0*0.25*0.03*3.13*4.75*0.39*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Semester 1 2016*2016-01-01*2016-06-30*4863*N/D*ND*4 en una escala de 1 a 7*0.35*0.0**430956.01*354*0.0*40318718*false*93.5565*0.5*0.0*0.5*0.05*1.56*7.14*0.39*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Trimester 1 2016*2016-01-01*2016-03-31*4863*N/D*ND*4 en una escala de 1 a 7*0.25*0.0**388821.96*320*0.0*35817701*false*92.1185*0.25*0.0*0.25*0.02*-2.12*10.9*0.39*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Trimester 3 2017*2017-07-01*2017-09-30*4863*N/D*ND*4 en una escala de 1 a 7*0.36*0.0**756865.7*538*0.0*76881313*false*101.5785*0.25*0.0*0.25*0.03*0.37*2.9*0.43*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Semester 1 2017*2017-01-01*2017-06-30*4863*N/D*ND*4 en una escala de 1 a 7*0.37*0.0**747600.0*535*0.0*75662397*false*101.2071*0.5*0.0*0.5*0.05*0.62*2.78*0.46*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Trimester 1 2017*2017-01-01*2017-03-31*4863*N/D*ND*4 en una escala de 1 a 7*0.25*0.0**652082.03*475*0.0*65589191*false*100.5843*0.25*0.0*0.25*0.02*2.71*3.09*0.46*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
