fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER GENERACION 2, FI*S. Generaciï¿½n 2, F.I. - Clase A*87446233*Semester 2 2016*2016-07-01*2016-12-31*4996*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.21*-0.22**115535.07*825*0.0*11771376*false*101.8857*0.51*[]*0.51*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase A*87446233*Trimester 3 2016*2016-07-01*2016-09-30*4996*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.0*-0.24**37453.47*245*0.0*3816575*false*101.9018*0.16*[]*0.16*0.01*1.23*3.72*0.2*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase B*87446233*Trimester 3 2016*2016-07-01*2016-09-30*4996*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.0*-0.24**211204.6*411*0.0*21494902*false*101.7729*0.14*[]*0.14*0.01*1.14*3.69*0.17*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase R*87446233*Trimester 3 2016*2016-07-01*2016-09-30*4996*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.0*-0.24**57867.46*93*0.0*5894133*false*101.8557*0.12*[]*0.12*0.01*1.16*3.69*0.16*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase A*87446233*Semester 1 2016*2016-01-01*2016-06-30*4996*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.0*0.0**5076.12*28*0.0*510971*false*100.6617*0.0*[]*0.0*0.0*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase B*87446233*Semester 1 2016*2016-01-01*2016-06-30*4996*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.0*0.0**22741.22*56*0.0*2288329*false*100.6247*0.0*[]*0.0*0.0*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase R*87446233*Semester 1 2016*2016-01-01*2016-06-30*4996*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.0*0.0**15838.56*29*0.0*1594793*false*100.6906*0.0*[]*0.0*0.0*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generaciï¿½n 2, F.I. - Clase A*87446233*Semester 2 2017*2017-07-01*2017-12-31*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.26*-0.31**1070524.06*6935*0.0*110897033*false*103.5914*0.55*[]*0.55*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generaciï¿½n 2, F.I. - Clase B*87446233*Semester 2 2017*2017-07-01*2017-12-31*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.26*-0.31**4697701.56*9632*0.0*487821762*false*103.8426*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generaciï¿½n 2, F.I. - Clase R*87446233*Semester 2 2017*2017-07-01*2017-12-31*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.26*-0.31**713999.65*1277*0.0*74142654*false*103.8413*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase A*87446233*Trimester 3 2017*2017-07-01*2017-09-30*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.12*-0.27**855095.51*5618*0.0*88940631*false*104.0125*0.28*[]*0.28*0.02*0.66*2.66*0.32*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase B*87446233*Trimester 3 2017*2017-07-01*2017-09-30*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.12*-0.27**3559285.36*7487*0.0*370921859*false*104.2125*0.24*[]*0.24*0.01*0.71*2.66*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase R*87446233*Trimester 3 2017*2017-07-01*2017-09-30*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.12*-0.27**563248.71*1056*0.0*58696791*false*104.2111*0.24*[]*0.24*0.01*0.71*2.66*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
