fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 2 2009*2009-07-01*2009-12-31*1892*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.0*0.91**2503526.07*1448*0.0*18013434*false*7.1952***0.03*0.0*1.3*2.88*0.02*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 3 2009*2009-07-01*2009-09-30*1892*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.02*0.91**2592575.86*1473*0.0*18413984*false*7.1026***0.02*0.0*3.98*2.78*0.03*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 1 2009*2009-01-01*2009-06-30*1892*participes.ibercajagestion@ibercaja.net*A2*Medio*0.0*1.24**2604613.96*1489*0.0*17790683*false*6.8304***0.05*0.01*3.92*4.25*0.04*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 2 2010*2010-07-01*2010-12-31*1892*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.01*0.91**2667653.32*1432*0.0*19776522*false*7.4135***0.04*0.0*1.27*2.86*0.03*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 3 2010*2010-07-01*2010-09-30*1892*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.01*0.91**2663815.79*1402*0.0*19501300*false*7.3208***0.02*0.0*0.97*3.7*0.02*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 1 2010*2010-01-01*2010-06-30*1892*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.0*0.9**2564963.86*1414*0.0*18684853*false*7.2504***0.03*0.0*-1.35*6.8*0.02*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 1 2010*2010-01-01*2010-03-31*1892*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.04*0.89**2500781.18*1420*0.0*18380628*false*7.35***0.01*0.0*2.15*3.19*0.02*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 3 2011*2011-07-01*2011-09-30*1892*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.04*1.49**2281877.9*1295*0.0*16301116*false*7.1437***0.01*0.0*-3.86*7.65*0.02*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 1 2011*2011-01-01*2011-06-30*1892*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.13*1.04**2396862.18*1322*0.0*17810080*false*7.4306***0.03*0.0*-0.45*3.3*0.02*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 1 2011*2011-01-01*2011-03-31*1892*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Medio*0.07*0.9**2614847.72*1402*0.0*19518350*false*7.4644***0.02*0.0*0.69*3.15*0.02*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 2 2010*2010-07-01*2010-12-31*1892*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.01*0.91**2667653.32*1432*0.0*19776522*false*7.4135***0.04*0.0*1.27*2.86*0.03*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
